,k1,k2,k3,a1,a2,a3
0,236.27853,61.010258,215.24518,36.89402,32.965145,38.98378
1,238.75368,61.43816,217.02054,36.87973,31.131384,38.739937
2,239.56865,62.20851,218.93369,36.014065,31.22559,38.67578
3,240.07776,62.419792,218.87451,36.153065,31.046507,38.664528
4,238.2089,62.550648,219.19713,36.40645,30.868866,38.527252
5,238.3431,62.68996,219.2312,36.40745,30.870287,38.45652
6,238.32947,63.048183,220.15526,36.76377,30.809305,38.48647
7,237.50725,63.017902,219.48146,36.721737,30.71421,38.371185
8,237.67697,63.062237,220.39561,36.79003,30.583334,38.615738
9,237.70589,63.579216,220.30156,37.01996,30.477215,38.40023
10,237.46552,63.7155,220.50371,37.121437,30.619038,38.50379
11,237.30424,63.544163,220.46275,37.113415,30.613987,38.23255
12,236.98051,63.75994,220.42404,36.997665,30.456753,38.188957
13,237.02785,64.002335,219.94492,37.021034,30.549343,38.2672
14,238.11182,63.751396,221.23834,36.865417,30.559834,38.345688
15,238.18341,63.739952,220.20401,36.842575,30.607662,38.300648
16,237.5578,63.72306,220.1523,37.053864,30.829294,38.25853
17,237.28448,63.372986,219.98106,37.122513,30.809479,38.20188
18,237.31465,63.749916,220.38818,36.93954,30.364254,38.223656
19,237.51245,63.67104,220.98149,37.102,30.639019,38.394188
20,236.7313,63.476433,220.19864,37.1384,30.64983,38.339043
21,236.30928,63.162136,220.11363,37.12031,30.641575,38.349445
22,236.0441,62.821995,219.86862,36.98996,30.841246,38.417953
23,236.05624,62.56695,219.81386,36.946907,30.81467,38.68213
24,236.63765,62.67759,220.31523,37.03813,30.753557,38.613632
25,236.26514,62.706367,220.49207,37.082222,30.755497,38.531868
26,235.83699,62.65567,220.41255,37.131096,30.76423,38.451397
27,236.22618,62.830475,220.53072,37.072628,30.570755,38.472626
28,236.21652,63.120754,221.08534,37.25898,30.52761,38.507248
29,235.01863,62.860508,220.90271,37.257244,30.531847,38.343536
30,235.07419,62.61584,221.30962,37.24752,30.572598,38.52977
31,234.5739,62.48901,220.4312,37.2855,30.747421,38.508266
32,235.02791,62.865955,220.74588,37.288403,30.636223,38.59044
33,236.10489,62.929413,220.50102,37.188705,30.62442,38.55133
34,236.34753,63.182842,221.18521,37.21285,30.584072,38.508812
35,235.35237,63.003536,220.89154,37.32863,30.430305,38.49224
36,234.98521,62.734653,220.70575,37.250122,30.564114,38.538948
37,235.1859,62.598083,220.80554,37.101868,30.577072,38.49905
38,235.5263,62.585663,220.88719,37.123966,30.692377,38.51458
39,235.74947,62.486897,221.1359,37.11665,30.56318,38.5246
40,234.7977,62.637123,220.40562,37.099678,30.517921,38.394638
41,234.50482,62.700924,220.21323,37.029686,30.367405,38.523033
42,235.07957,62.304184,221.26831,37.253777,30.415495,38.573803
43,233.4174,62.289818,221.25732,37.410587,30.324383,38.646057
44,233.4613,62.025627,221.73991,37.479977,30.451206,38.626926
45,233.18678,61.99645,221.1792,37.32923,30.499775,38.63453
46,233.27411,61.9439,221.11613,37.30735,30.50135,38.60979
47,233.48949,62.061,221.06079,37.319817,30.593424,38.540573
48,234.49515,62.071243,221.64136,37.30223,30.668419,38.4778
49,234.4633,62.64597,221.73177,37.52173,30.54316,38.35331
50,234.23541,62.57342,221.95126,37.32126,30.522198,38.53153
51,234.74779,62.65984,222.03676,37.321552,30.472038,38.51227
52,234.72293,62.699738,221.44249,37.262276,30.392174,38.74691
53,234.2969,62.74573,221.29924,37.33403,30.30895,38.678864
54,233.254,61.887543,221.91898,37.31987,30.486282,38.463364
55,234.51482,61.840855,221.66663,37.127403,30.65274,38.586643
56,234.82663,61.85575,220.5212,37.139275,30.684303,38.638294
57,234.33405,62.437977,220.0653,37.077667,30.852482,38.51049
58,234.3573,62.523438,219.43503,37.21461,30.514324,38.639072
59,235.10849,62.437347,219.7242,37.00889,30.513521,38.874897
60,235.12704,62.377907,219.63872,37.018517,30.616718,38.81638
61,235.4534,62.35111,219.95299,37.087906,30.58155,38.812897
62,234.15028,62.409027,220.83151,37.1933,30.460178,38.77086
63,234.83421,62.5485,220.97366,37.226585,30.470078,38.451057
64,235.29459,62.26348,220.59717,37.02987,30.625006,38.67646
65,236.01978,62.59443,221.45032,37.17405,30.614662,38.56338
66,235.76387,62.749107,221.11142,37.13113,30.436325,38.360264
67,235.09894,62.838146,221.35806,37.251907,30.384453,38.388885
68,235.13774,62.983265,221.44139,37.301735,30.432528,38.48947
69,234.93602,62.746014,221.10301,37.23638,30.471714,38.483353
70,235.51855,62.880898,220.59029,37.31939,30.625454,38.36779
71,236.13686,62.60065,220.97108,37.04802,30.65971,38.56024
72,234.70752,62.799347,220.81808,37.166965,30.523071,38.52195
73,233.85448,63.09056,220.58932,37.41816,30.275682,38.41861
74,234.13287,62.98608,220.90924,37.427296,30.478203,38.581425
75,234.23555,62.078377,220.94911,37.38617,30.663422,38.72502
76,234.47498,62.17965,220.97217,37.349964,30.68603,38.723286
77,234.54091,62.52643,220.83899,37.38262,30.561703,38.669716
78,235.09682,62.664085,221.06268,37.346966,30.507956,38.6577
79,234.73117,62.77525,220.81725,37.317345,30.547527,38.648994
80,235.53644,62.631138,221.97829,37.279514,30.604774,38.336628
81,234.71336,62.732235,220.67137,37.356445,30.403233,38.549187
82,234.92552,62.92757,221.81528,37.15353,30.374907,38.419304
83,234.86679,62.05866,222.01454,36.9452,30.638788,38.566254
84,235.01086,62.000725,219.33324,37.140343,30.914265,38.55132
