,k1,k2,k3,a1,a2,a3
0,37.843067,210.31827,41.67268,28.798767,37.438507,35.597153
1,39.06161,205.86707,40.768696,26.10016,37.186974,35.474335
2,36.89288,211.39159,43.377296,27.967297,37.19242,35.6177
3,39.93133,211.54536,43.573105,28.168175,37.38056,35.661224
4,37.831852,208.15349,42.882156,28.042088,37.077423,35.519226
5,37.739407,209.10202,42.80376,27.06315,37.161472,35.527412
6,37.39295,205.96638,42.043827,27.605625,37.412987,35.502922
7,39.01933,208.94318,40.600212,26.800373,36.86709,35.750854
8,40.415596,211.22562,43.16012,29.171455,36.81077,35.661087
9,38.510567,210.40001,42.994076,29.56326,37.03209,35.59369
10,37.738384,206.29433,44.173447,27.77737,37.25927,35.516308
11,34.635014,207.94626,40.252068,27.015882,37.20514,35.5567
12,35.708813,208.45396,44.560333,30.213436,36.996353,35.361416
13,40.32677,208.82379,42.32868,27.392216,37.229774,35.744556
14,37.86998,210.35791,40.03077,27.094435,36.917538,35.738426
15,37.762646,210.39957,41.726627,26.207726,37.09752,35.76727
16,38.003544,209.18431,44.31985,29.426117,37.31911,35.45976
17,38.570778,210.86858,41.247402,28.274588,37.311974,35.732285
18,40.14488,202.21019,41.18639,25.049852,37.706093,35.417477
19,37.365707,205.99086,42.347885,27.15578,37.32627,35.538292
20,39.321945,212.3217,43.95696,28.598244,37.310608,35.504707
21,37.988758,210.46643,42.199196,29.274738,36.917778,35.748753
22,39.334198,208.66742,41.980717,26.758877,37.021263,35.710125
23,40.458546,211.85008,43.282104,28.15777,37.03456,35.616257
24,37.56481,216.52415,42.410934,30.446339,36.917847,35.802723
25,37.708626,215.04224,42.722942,28.890442,36.81146,35.748238
26,38.144142,210.14014,43.19349,28.918583,37.016968,35.608643
27,38.554688,211.78036,42.350975,29.24542,36.858463,35.61705
28,40.30097,209.19322,43.214737,28.21254,37.176384,35.425903
29,37.12756,211.18884,41.69726,28.29202,36.95304,35.569912
30,36.469063,210.39146,43.661762,27.219702,37.352146,35.698082
31,38.075745,210.48312,43.473312,29.778702,36.957794,35.663494
32,37.01254,209.99635,40.829998,28.95873,36.93212,35.493454
33,39.413742,212.0162,42.956062,29.56548,36.975266,35.685417
34,38.943195,210.85773,42.621067,28.433939,37.071293,35.75574
35,39.122066,210.69115,42.22539,29.6046,37.094383,35.6145
36,39.208935,210.57404,41.418137,27.888226,36.929626,35.75157
37,38.056408,209.83022,41.972218,29.601257,37.068607,35.531944
38,35.54632,202.25511,40.2919,26.635664,37.25107,35.323784
39,36.716343,209.07935,41.113453,27.349998,37.198692,35.75175
40,38.087868,210.50714,41.049385,27.573124,37.357475,35.734695
41,38.538094,204.05722,42.029495,24.957052,37.19925,35.424362
42,38.192116,213.13121,42.86104,29.628876,36.869934,35.77515
43,36.042313,208.05144,41.88435,26.458221,37.071136,35.522636
44,38.539158,210.42128,41.68465,27.673744,37.10313,35.619072
45,38.380962,207.3891,42.076885,27.560654,37.408955,35.713642
46,39.734535,202.85493,43.09636,25.788473,37.63818,35.4614
47,36.837738,201.87573,40.423588,25.381786,37.353336,35.44295
48,38.296032,209.3648,43.601116,28.959185,37.60141,35.51908
49,39.028297,214.62793,44.38609,30.405924,36.834644,35.533165
50,37.842693,198.74886,40.925514,25.359539,37.666595,35.2437
51,39.51629,209.62747,41.59155,27.314302,36.788498,35.635643
52,34.5916,207.84956,41.741314,27.612938,36.625446,35.437256
53,38.24943,208.15623,44.006763,28.775974,37.225967,35.539948
54,40.32999,209.83397,43.091053,28.1548,37.17477,35.64914
55,38.646606,209.39775,42.453133,28.121208,37.377808,35.568867
56,39.007286,214.19272,43.652336,29.96263,36.97556,35.667706
57,38.057297,204.93008,40.517982,26.912046,37.17281,35.43248
58,39.38235,212.30647,43.99225,29.86448,37.04247,35.541542
59,36.928535,206.76811,40.097427,27.1981,37.072968,35.42596
60,36.99884,211.93405,43.84617,30.601492,36.812096,35.533207
61,35.699703,208.10947,41.087524,26.783829,36.486702,35.41776
62,37.917755,213.08858,42.1417,27.466274,36.674786,35.67455
63,37.532936,208.15594,40.799892,27.27515,37.32204,35.54785
64,38.446426,204.60704,42.323597,27.164259,37.55909,35.51772
65,41.3263,210.48543,42.904922,27.775034,37.099945,35.864273
66,36.362026,204.9431,42.92695,25.813492,37.28298,35.56379
67,38.623695,213.8151,41.61353,28.241169,36.709274,35.75701
68,40.69856,213.97917,42.05933,30.37011,36.79855,35.5219
69,41.494205,207.007,42.803493,27.3829,37.347847,35.5603
70,37.157482,209.85208,40.33836,28.58891,36.87098,35.57778
71,38.849957,209.69814,42.579865,27.16488,37.181007,35.70553
72,35.87834,204.69115,42.127106,27.324427,37.58178,35.482708
73,36.138794,202.89233,37.97348,26.772678,37.219994,35.48542
74,36.977543,206.08592,44.13897,28.897223,37.242577,35.28999
75,37.50078,212.80258,43.94012,28.511192,36.670776,35.635757
76,40.474022,212.06921,42.447964,28.09951,37.16298,35.791862
77,38.353397,208.20195,43.369682,28.166183,37.241936,35.53129
78,37.53787,202.98729,41.03001,26.049791,37.331184,35.364494
79,37.97884,209.9965,46.43371,29.999138,37.277946,35.511784
80,40.27927,216.43047,42.866806,30.331652,36.763756,35.755234
81,36.770782,206.28413,41.162083,26.544693,37.127354,35.43634
82,38.655437,214.16579,42.32801,29.391829,37.029335,35.857674
83,38.612484,211.85185,43.006775,28.675116,36.90463,35.74778
84,38.417187,209.76944,40.143387,27.631643,36.936226,35.587463
85,36.318295,205.14824,40.667877,27.21265,37.16214,35.384235
86,39.79122,211.76439,45.860756,31.29461,37.120583,35.60172
87,41.40983,217.29137,39.92893,29.621252,36.90261,35.675713
88,37.237656,207.5288,41.506565,27.566267,37.135773,35.42755
89,36.595802,202.90782,38.92858,24.845339,37.6883,35.522903
90,37.566185,201.73267,41.948273,26.441557,37.03939,35.27925
91,38.11633,215.68333,44.776768,30.551384,36.50811,35.627937
92,38.70401,211.86537,41.295822,27.732435,37.02722,35.732395
93,37.92875,207.79288,44.99999,29.374868,37.493397,35.655037
94,37.93982,203.48563,42.001385,25.59507,37.16952,35.59974
95,38.19642,213.16606,44.5623,29.319435,36.911293,35.66606
96,38.02764,202.99255,43.79768,27.084496,37.52689,35.34098
97,37.93064,210.49062,42.299286,27.267181,37.11055,35.553814
98,36.98247,205.11143,40.948635,26.982092,37.388794,35.404602
99,37.477795,210.33295,41.9885,27.536814,37.164104,35.40706
100,39.662636,209.96228,46.354366,28.847816,37.217052,35.640923
