,k1,k2,k3,a1,a2,a3
0,54.721523,162.87779,233.49162,39.63665,36.265175,27.99145
1,61.04424,165.73254,238.15343,39.635868,36.619335,27.723135
2,64.07437,159.49196,244.47148,39.4124,39.84399,27.694445
3,52.948895,151.86714,223.56728,39.663315,38.39348,28.304708
4,52.316,159.388,218.76749,39.193798,37.59813,27.679106
5,59.899845,156.61406,248.7515,38.28891,38.469635,28.362236
6,60.010258,155.92351,218.19096,39.798126,37.699856,28.297977
7,57.594257,156.39328,212.97737,39.50463,37.008316,28.31221
8,62.517365,156.72841,212.08955,39.878895,37.867767,28.508461
9,61.598076,159.15862,215.51918,39.73833,36.04248,29.050554
10,54.003647,165.29004,218.78111,39.757057,36.351116,29.06316
11,61.337063,163.36842,233.56003,39.84787,38.04142,27.676456
12,67.43511,168.82114,230.61635,39.75888,36.99936,27.86197
13,50.78626,162.017,225.53555,39.815453,37.315228,27.807573
14,57.34602,153.87407,231.6661,39.87236,38.34416,27.703312
15,61.482822,151.6839,236.02678,38.625954,38.660263,27.995167
16,56.92048,161.874,223.86404,39.82225,38.605804,28.557423
17,55.097218,151.96619,227.11339,39.701004,39.38728,27.831886
18,50.787716,150.83519,222.85677,39.724503,39.866043,27.258308
19,56.982487,149.13838,220.95837,39.487473,38.445217,27.902966
20,57.57235,162.78293,227.83122,39.98176,37.419178,29.103243
21,59.51436,165.62994,222.9765,39.20938,36.147125,28.926569
22,53.599537,160.43195,211.47305,39.731934,35.830063,28.497753
23,53.962322,160.50314,223.4854,39.799255,36.699486,28.459204
24,49.55513,159.8025,217.36705,39.455345,36.45328,27.81711
25,49.305023,157.55698,205.24205,39.826477,36.260345,28.0171
26,48.531754,155.64037,208.88779,39.893837,36.350037,27.78756
27,50.15723,158.72258,218.29607,39.387314,36.044853,28.16064
28,51.02645,159.46733,217.99889,39.706177,36.80631,27.872355
29,58.746494,165.57266,217.46564,39.320587,36.377,28.497908
30,55.710796,164.82292,232.54054,39.52842,36.325058,27.653654
31,57.95552,164.69495,227.51328,39.40607,37.224403,27.906973
32,55.399323,163.05832,230.10617,39.82318,36.748413,27.899971
33,54.32105,154.12476,231.18114,39.58593,35.842155,27.55615
34,53.95777,161.36073,212.1643,39.552544,36.959026,27.937786
35,67.269844,159.95401,239.58003,39.91986,38.13733,28.538742
36,53.819424,162.89107,239.1485,39.968395,37.234634,27.159317
37,52.585964,164.01038,217.59486,39.944695,37.314983,27.966398
38,52.787266,154.48944,221.47908,39.92949,37.358643,27.82687
39,59.535038,153.9127,230.27982,39.645325,39.470375,27.547825
40,54.075584,153.66922,223.31868,39.17023,39.59907,27.510082
41,61.704556,153.88365,223.23872,39.470184,38.360058,27.649912
42,56.167206,153.16298,223.64095,39.304794,38.1026,28.038889
43,55.269447,152.67108,216.7782,39.593887,38.57901,27.162828
44,53.990044,154.76234,232.7276,39.89054,37.489388,27.617107
45,55.57673,158.66855,217.48807,39.86615,37.104336,28.09197
46,54.630352,159.11438,223.62112,39.36001,37.427414,28.063797
47,56.256195,161.32196,213.98273,39.90178,37.371864,28.419672
48,63.613262,163.18828,223.40051,39.94577,36.68724,28.28655
49,63.8731,164.97353,220.6833,39.971848,36.040184,28.707048
50,53.904797,167.51248,229.8126,39.91615,35.45603,28.21931
51,56.081303,164.69028,232.34956,39.55957,35.41578,28.172665
52,52.743782,167.5686,229.15434,39.622272,35.650562,27.540182
53,58.305912,168.69154,232.97672,39.678642,35.0586,28.81144
54,53.933765,166.37001,234.61292,39.484013,36.88357,28.51028
55,63.847126,168.2595,211.30559,39.59459,36.80295,28.24288
56,71.19767,160.11661,213.29137,39.411037,36.78482,28.999016
57,58.51668,158.59468,222.92258,39.83871,38.00052,27.033682
58,51.048965,158.83832,226.4113,39.846695,38.886703,26.921621
59,53.47308,162.50711,225.19281,39.89833,35.404526,28.947845
60,57.579773,161.06271,231.87814,39.98581,37.20875,28.402748
61,56.776894,162.3697,241.35718,39.996933,37.48784,27.449703
62,66.87356,162.02696,239.88286,39.99469,38.898064,27.402601
63,58.61206,158.23148,246.42336,37.728073,39.257904,28.492989
64,56.798256,159.55327,239.47699,39.808704,38.888077,26.993956
65,56.489174,149.90263,239.07693,39.824776,38.77773,28.086857
66,62.28368,163.73958,235.06564,39.87117,37.662453,28.013466
67,59.552563,160.26076,230.95668,39.590874,37.818523,27.59544
68,58.494072,161.47221,236.06374,39.85905,39.236275,27.791815
69,60.438038,157.21921,227.50372,39.966274,39.293648,27.610289
70,57.501106,161.02133,233.48802,39.753876,37.143272,28.264193
71,58.635952,161.54726,234.7637,39.543907,38.114647,28.250639
72,60.17932,162.60707,237.8037,39.54787,37.733284,28.407345
73,59.026936,164.83743,226.34966,39.3521,37.029278,28.36018
74,58.50869,163.29697,230.86108,39.353035,37.27594,28.237064
75,59.862125,162.62479,226.6692,39.549015,37.195145,27.806425
76,54.652554,164.77136,224.84955,39.90811,35.99172,28.548664
77,57.26716,167.0614,211.8491,39.66849,35.168358,28.536999
78,63.746,170.1048,219.45476,39.822567,35.441483,28.219711
79,55.89561,169.6092,242.03812,39.826977,35.30791,27.497551
80,57.832882,165.49736,232.40567,39.233955,35.941086,29.223192
81,57.060955,166.48904,229.61105,39.765327,35.62384,27.714426
82,59.722637,165.9164,219.61914,39.784744,36.093414,27.78738
83,59.576214,149.1781,232.15573,39.773716,39.793777,27.419546
84,59.596676,148.81859,232.96184,38.999634,39.913307,27.633709
85,61.8606,144.5186,234.04556,38.679184,39.905003,27.35125
86,61.81291,161.01816,230.08162,39.318443,39.634117,28.006994
87,55.115204,161.05794,225.83116,39.798615,38.574203,27.977676
88,56.359066,153.06528,225.48233,39.66488,37.637676,27.765034
89,56.67536,149.25499,216.17064,39.507423,39.381516,27.763315
90,58.91716,158.874,210.5059,39.586983,38.222824,27.602703
91,55.07021,154.9336,221.3936,39.73575,37.83291,28.406199
92,60.275303,159.46895,219.88535,39.24477,37.53861,28.281689
93,56.804813,160.59393,228.87611,39.78723,36.70034,29.133068
94,57.92621,162.4149,215.56386,39.579933,36.446114,27.673088
95,52.352604,162.06163,234.31738,39.901817,38.321785,27.72121
96,53.680134,164.15463,233.21149,39.229996,36.802925,27.835793
97,57.05897,165.82248,229.56885,39.47143,35.99524,28.508625
98,58.217564,162.58878,225.05481,39.478596,35.9515,28.33492
99,61.125076,164.03534,223.56616,39.31701,36.813805,28.606707
100,59.348537,163.77254,240.38173,38.88077,36.68203,28.393541
101,55.79091,162.51614,222.22163,39.98861,36.478905,28.32977
102,54.750473,165.50082,234.81693,39.99491,35.391495,28.494175
103,56.769093,156.05498,211.31592,39.355827,36.92462,28.539513
104,60.264885,157.77834,208.89624,39.990356,37.132637,29.418842
105,55.827217,154.2661,212.1118,39.97886,37.79818,27.828945
106,55.544666,156.28952,207.51007,39.75151,38.207283,28.184948
107,49.55147,156.94138,210.95506,39.811375,36.501617,27.95203
108,50.97556,154.85205,225.3506,39.97775,37.171196,27.43823
109,56.37134,153.32771,203.1316,39.904312,38.135567,28.212791
110,56.41183,152.77309,188.63837,39.90274,36.834465,28.652935
111,57.3559,152.76085,229.77255,39.54119,37.544266,27.501629
112,57.41099,155.67445,228.78775,39.768295,39.78299,27.810192
113,52.880722,152.86832,227.94867,39.75192,38.674362,27.393614
114,55.991554,152.9849,229.14426,39.416344,38.580135,27.527597
115,62.7329,155.49332,236.61917,39.15631,39.890625,27.760532
116,58.23266,158.2417,226.68152,39.50123,37.304558,27.61459
117,59.736492,153.78226,224.52312,39.635773,39.174652,27.79865
118,52.973213,156.21347,238.91971,39.227615,39.342957,27.95601
119,68.56545,161.38983,231.27899,38.8619,37.749752,27.791225
120,57.26274,157.87643,232.71149,39.28445,38.18498,28.17023
121,58.704315,164.02829,231.81363,39.673996,36.802803,27.842802
122,53.79648,157.82672,222.66347,38.54532,37.282883,28.657543
123,59.8481,158.85437,223.0105,39.746944,38.281128,28.23361
124,58.73928,156.88795,215.74612,39.934418,38.287292,27.535944
125,65.76743,157.54388,226.6126,39.46376,37.974564,28.015564
126,59.72003,158.8708,211.18552,39.937016,37.33616,27.89048
127,52.61761,156.01086,212.50372,39.772728,36.92795,28.16893
128,50.358765,158.6574,213.1077,39.915108,37.176987,27.6951
129,53.99153,156.74368,222.7799,39.35395,37.062996,28.10615
130,53.891304,157.74564,225.20029,39.378223,37.536705,27.964853
131,52.45553,158.5897,214.2316,39.69921,37.58104,28.11862
132,54.602226,153.52536,214.93893,39.355507,39.931717,28.336231
133,57.905796,149.046,215.16562,38.931747,39.896385,28.258331
134,63.365997,152.14546,217.47012,38.855194,39.02475,28.9082
135,62.12568,157.98906,222.38864,39.293762,38.190594,27.701696
136,61.923016,159.11278,208.4501,39.944977,37.69735,27.84318
137,53.540676,155.83238,213.13483,39.921646,37.758957,27.688553
138,48.773045,154.24503,227.16025,39.684353,37.14792,27.776352
139,48.965847,148.51738,231.29317,39.41222,39.821983,27.278557
140,51.945568,152.98753,231.83284,38.859325,39.85032,27.288544
141,59.147816,149.27112,212.81976,39.556854,39.975594,27.100574
142,55.686703,148.83565,217.18428,39.808212,39.765167,27.559212
143,60.10355,152.4853,214.07596,38.97599,39.909733,27.596008
144,61.23441,161.26091,230.6062,39.76865,38.461002,28.23658
145,56.532932,162.16527,234.50085,39.38701,37.06923,27.046078
146,53.913605,148.90778,217.4399,39.447334,36.88949,27.338867
147,53.801632,149.12535,217.53238,39.82386,39.943794,27.931826
148,54.178757,151.32425,201.77895,39.538155,39.854897,27.567425
149,57.668983,159.3346,241.91673,39.83229,39.891182,27.19355
150,62.62479,153.17339,237.4789,38.89006,38.77925,28.594666
151,61.752525,156.35634,220.25035,39.204086,38.10244,29.096325
152,58.02801,156.25829,224.12662,39.231384,38.596985,28.026768
153,57.259277,148.30528,221.0461,39.358246,38.378185,28.094135
154,54.964718,150.32126,226.91208,39.142723,39.11962,27.606014
155,52.031258,150.39182,224.60536,39.70661,39.52744,27.527267
156,54.950047,147.4943,223.86945,39.237984,39.40808,27.501814
157,55.204678,147.50594,225.1799,39.620384,39.732727,27.22713
158,52.044174,152.02962,216.57736,39.95804,37.622494,27.34996
159,56.28354,156.35353,229.51253,39.98018,36.902107,27.53829
160,62.65567,160.48337,226.65616,39.997234,38.095535,27.902582
161,58.341908,156.60103,224.29239,38.54573,37.33142,27.976377
162,57.093582,162.49063,243.70126,38.734703,37.88617,28.0346
163,63.172565,163.75656,229.40398,39.949837,37.865993,28.369967
164,62.59761,160.6782,226.71909,39.997234,36.535957,27.909489
165,52.55909,162.51447,215.33926,39.888905,35.7714,29.08394
166,56.35884,161.26051,210.55008,39.54436,35.82444,28.697054
167,54.36818,158.36636,210.15338,39.76501,35.46949,29.774525
168,54.36739,160.66226,198.3868,39.73707,36.704407,29.024939
169,55.889034,152.48161,209.21542,39.70797,37.028507,28.89161
170,62.55767,155.27066,210.53983,39.680885,38.354237,28.847311
171,63.704075,154.09984,235.34085,39.645115,37.567097,28.598751
172,57.386757,153.32196,223.59863,39.821136,39.162964,27.673737
173,52.123913,151.39891,218.92192,39.748226,37.88704,27.248333
174,53.103386,152.6852,230.81035,39.39177,38.15519,27.443174
175,54.706554,155.42064,231.79118,39.503006,37.3903,27.249485
176,58.99061,157.85635,210.60664,39.24525,36.43411,28.40856
177,58.956165,160.5989,222.37407,39.939713,37.160583,28.172205
178,58.113354,161.4305,227.97238,39.587692,37.785362,27.681168
179,56.371185,158.44653,223.92645,39.417233,38.896343,28.0243
180,58.395832,158.79137,232.4066,39.675972,38.790997,27.65099
181,51.13772,156.48282,235.28658,39.322952,38.471096,27.474312
182,62.77229,158.33525,225.15067,39.55737,38.91492,28.189983
183,63.021526,159.23372,235.54501,39.303318,38.81886,28.42228
184,59.633606,160.1934,212.09538,39.84376,37.865536,28.251312
185,57.244892,163.16785,228.84259,39.4768,36.79689,29.021116
186,54.322105,162.07182,225.28343,39.581604,36.99134,27.409864
187,61.52024,162.44519,220.76297,39.670883,36.704857,27.306995
188,57.99384,158.50226,228.13126,39.814617,37.845535,27.807941
189,52.797356,155.63527,213.1192,39.850124,37.103386,28.050339
190,51.699917,156.95168,219.65242,39.11239,37.247375,27.868927
191,49.40638,155.25952,223.83653,38.686752,37.16491,27.888422
192,56.041706,150.27036,230.41089,39.60942,36.34903,27.618584
193,48.562496,147.42906,204.85112,39.873474,39.55713,27.87975
194,54.011826,155.70421,207.17883,39.69895,39.59701,28.049484
195,52.781956,157.80298,225.32,39.89064,38.0346,28.04612
196,53.301205,157.60538,229.3921,39.707508,37.56956,27.742712
197,61.15185,160.56696,222.04295,39.768044,38.140587,27.759491
198,52.291714,161.0778,220.09593,39.012764,37.293022,28.120804
199,61.053623,159.73026,224.62048,39.76258,37.125557,27.85728
200,57.265488,162.57901,227.97714,39.610428,37.705017,27.931667
201,57.882065,163.1508,226.66214,39.780415,37.392883,26.803635
202,67.70118,164.52327,231.49792,39.777336,37.421425,27.213474
203,49.421635,157.46303,240.17296,39.429405,37.95305,27.47156
204,61.843086,155.13066,242.1853,38.657112,39.345097,26.790228
205,60.02787,149.51285,236.3039,39.405514,39.442772,28.108173
206,57.036156,156.08261,224.39116,39.506424,39.452774,27.443361
207,61.805405,157.74225,219.60645,39.65535,38.882614,27.715662
208,61.529217,159.1452,226.5851,39.004944,37.97129,27.865234
209,55.39511,148.5994,226.93259,39.077393,39.167,28.093864
210,55.254173,158.14532,224.9575,38.63259,38.431126,27.562847
211,59.86703,153.42169,236.2543,39.50046,38.288452,28.346989
212,60.813026,155.33934,205.76128,39.251984,38.273636,28.15397
213,65.73925,155.49144,223.09586,39.061172,38.967934,28.654793
214,58.9834,153.35071,222.4723,39.168343,39.01686,28.493118
215,55.603264,153.42029,218.35811,39.72979,39.43506,27.82085
216,58.400482,153.9555,213.00278,39.81836,39.640633,27.760918
217,58.1556,151.66397,224.70033,39.43981,37.873745,28.587257
218,61.24542,163.31163,227.43791,39.66119,36.30437,28.578304
219,60.35299,162.43178,218.38817,39.274597,37.274124,29.242346
220,60.376003,162.62665,223.0146,39.301376,36.7098,28.557539
221,61.092922,162.50812,215.68541,39.884834,37.39042,27.801434
222,54.62661,166.99803,228.50188,39.89579,35.530273,27.817215
223,57.321125,167.26926,222.5698,39.464867,34.634895,29.451218
224,59.08542,166.76427,227.31674,39.326454,35.04917,29.343277
225,53.254982,161.15863,221.02966,39.668053,35.72036,29.538654
226,59.155968,166.11555,218.87698,39.61527,35.600487,29.197184
227,59.416206,165.98466,217.57289,39.831276,35.405083,27.915731
228,59.67053,166.15111,215.48723,39.844044,35.605347,29.355896
229,57.49939,159.34035,212.11594,39.5204,36.71969,29.310192
230,58.81559,160.89447,226.54019,39.452065,36.37464,28.864574
231,60.812065,167.85574,221.72215,39.481133,35.28595,28.707794
232,60.846016,167.05544,217.25456,39.852318,34.649864,28.454443
233,59.072937,164.94806,210.01993,39.663097,35.26379,28.69801
234,56.85846,159.22719,226.45616,39.294907,35.261753,28.629564
235,61.44452,163.22003,236.59451,39.629578,37.819122,28.132809
236,61.63733,161.13321,228.80524,39.643974,38.697372,27.82743
237,60.014572,161.62666,221.40062,39.782288,37.29684,28.786518
238,64.94556,160.76999,229.9016,39.94155,38.525097,27.911232
239,60.241776,156.58617,223.35878,39.956238,39.782944,27.784046
240,61.516212,151.00764,239.92194,38.189186,39.95566,27.595104
241,68.29366,150.22485,240.34776,39.037872,39.494423,28.381786
242,65.23742,149.12292,238.46017,38.690636,37.634655,27.985193
243,59.36563,149.07806,226.92284,38.13268,37.77256,27.738922
244,57.367386,159.69197,240.47467,38.70884,38.14692,28.642204
245,64.66131,163.29228,238.84996,39.320404,37.74411,28.058998
246,59.285473,156.53612,241.98378,38.426575,38.270138,28.881533
247,64.442604,152.67151,221.51631,39.899292,38.728195,28.440365
248,54.245804,160.00299,237.77368,39.765266,36.880558,27.805258
249,59.443832,160.39435,238.28024,39.53885,39.6419,27.138071
250,60.984512,158.02144,235.53517,39.36664,39.323196,27.481647
251,62.496605,157.88405,226.27832,39.432896,39.311607,28.206932
252,62.83037,157.58353,234.96873,39.638916,39.564507,27.177902
253,51.235256,159.33157,229.0813,39.84027,39.44384,27.365568
254,56.26895,152.92366,219.90546,39.768917,37.244255,27.383068
255,51.02829,157.77354,216.34618,39.478607,37.345535,27.995335
256,53.162167,158.05988,226.79077,39.58897,37.316154,27.98669
257,55.29546,157.9316,232.89406,39.669567,37.58813,27.879824
258,61.34225,155.99944,231.5055,39.8461,39.79185,27.499958
259,54.110317,154.03813,235.27808,39.827446,39.735157,27.496586
