,k1,k2,k3,a1,a2,a3
0,187.80008,132.04776,155.09026,33.903584,35.996952,26.508598
1,187.725,133.80316,154.78575,34.09726,35.29061,26.485907
2,188.6269,134.92097,153.94385,34.458176,35.176502,26.532833
3,186.97491,131.14905,156.71053,35.19768,34.89638,26.562305
4,186.26671,134.01692,155.43904,34.893703,34.965084,26.75888
5,187.08563,135.25983,154.26024,34.776306,34.4439,26.886993
6,187.65758,134.35693,154.91245,34.817585,34.21728,26.546509
7,189.24265,135.83553,154.85643,35.1491,33.605843,26.412031
8,188.9662,135.87718,154.54192,35.180557,33.545,26.403816
9,189.15302,135.35744,156.5804,35.349174,33.684235,26.68285
10,189.5179,133.35196,156.27063,35.38453,33.69191,26.47995
11,188.02498,137.05621,154.44588,35.277313,33.71393,26.345892
12,190.3819,138.0447,154.98642,35.392498,32.78528,26.229206
13,186.1556,139.69487,154.7784,35.869324,31.984497,26.369318
14,185.85355,142.59557,152.72308,35.910828,31.987053,26.241749
15,186.97168,142.98605,152.3117,35.77687,31.746729,26.13533
16,186.61371,141.74738,154.27803,35.936314,31.745777,26.3106
17,186.7587,141.90677,152.13031,35.941505,31.208763,26.228622
18,186.42537,143.589,154.05667,36.580368,31.480244,26.189533
19,186.10954,144.2184,151.14363,36.25927,31.34431,26.198946
20,189.02562,144.45497,153.06494,36.231762,30.478668,26.2038
21,186.18866,147.39148,152.55196,36.31796,30.408175,26.113928
22,188.7479,148.63393,151.54973,36.451736,29.931957,26.193256
23,190.06467,148.69246,152.99265,36.007717,29.932848,25.840317
24,189.95084,146.92914,152.30388,35.90628,29.9333,26.302874
25,187.88188,148.30554,153.01741,36.273792,29.69202,25.93309
26,188.32425,148.96463,153.06642,36.312405,29.812532,26.053919
27,188.76862,148.98561,151.06258,36.227715,29.5103,25.928236
28,192.18651,153.57056,153.1702,36.04959,28.555775,26.002651
29,192.51335,151.2079,152.26321,36.317284,28.419647,25.937416
30,194.08104,154.23312,151.09122,35.6445,28.224773,25.919939
31,193.23135,153.77953,151.74422,36.284103,27.547073,26.002481
32,192.87689,155.9353,151.73932,36.530163,27.760715,25.76684
33,195.16528,155.57072,152.01369,37.01215,27.452488,26.095947
34,197.02888,156.28929,152.64278,36.89405,27.109325,25.615288
35,197.92264,157.1056,153.69878,35.821037,27.038113,25.709028
36,198.67006,160.95831,153.68144,36.546555,26.616404,25.7369
37,201.94043,158.94072,153.37556,36.59306,26.454315,25.745188
38,201.67332,158.39278,153.27113,36.48342,26.561975,25.808525
39,201.91377,160.38148,153.79616,35.84652,26.204159,25.74728
40,203.82295,160.78647,153.48822,36.007202,26.140057,25.747375
41,204.19019,161.86337,153.48917,36.38659,26.159868,25.7386
42,206.67647,161.49686,154.71805,36.192173,26.134825,25.552204
43,205.57437,160.93854,154.69601,36.32831,26.147326,25.497948
44,206.79501,163.02097,154.0778,36.006752,25.990696,25.733633
45,206.9867,163.93665,154.63307,37.040974,25.850822,25.420715
46,206.72308,162.63232,154.74568,36.828987,25.98429,25.49397
