,k1,k2,k3,a1,a2,a3
0,37.589367,190.32573,51.285835,31.141285,39.648106,34.876957
1,36.686565,190.18073,52.10841,33.790684,39.473244,34.765038
2,36.476337,190.1131,54.05648,34.645195,39.457115,34.622154
3,36.305477,188.74008,53.642796,35.629593,39.452747,34.611828
4,36.383575,189.2097,52.171875,35.648087,39.499657,34.86602
5,37.07475,189.33305,52.788197,36.432434,39.412178,34.638645
6,36.89155,190.0383,52.736885,35.37513,39.089375,34.670742
7,36.65113,190.95988,52.72649,35.38242,39.022934,34.731293
8,36.65212,190.95828,52.205704,34.92553,39.11213,34.644283
9,35.9841,190.1219,51.921635,35.549393,39.14136,34.597496
10,36.0431,191.01326,52.5906,35.894638,38.976456,34.670704
11,37.03997,188.73405,52.665466,35.891865,39.177246,34.688572
12,35.922348,190.18655,52.732887,35.73669,39.23935,34.68117
13,36.478653,189.45386,52.95534,34.7164,39.52231,34.71588
14,36.976997,189.27939,53.63808,34.45723,39.552433,34.689972
15,36.736885,188.97542,53.024475,33.795364,39.38057,34.68161
16,36.52447,189.65433,53.058685,34.016815,39.582397,34.587532
17,37.139496,187.9552,52.821953,33.322083,39.583466,34.77918
18,38.844296,188.0671,53.0963,33.14493,39.794,34.779716
19,36.389362,188.69516,55.295166,34.810574,39.830402,34.575718
20,36.11655,188.32677,53.003185,35.132893,39.89737,34.617325
21,35.56564,188.07953,53.071095,35.433277,39.405876,34.591457
22,34.83995,189.64388,53.024345,36.60062,39.49252,34.62639
23,35.995964,190.1482,54.108643,37.29915,39.093166,34.59396
24,34.932358,189.29,54.09075,36.781387,39.39325,34.60263
25,34.891884,190.31909,54.552563,36.345055,39.75987,34.654125
26,34.52838,189.52248,54.67431,36.11656,39.78985,34.64363
27,36.718605,191.56746,53.55108,33.404182,39.58687,34.64993
28,38.272522,188.35823,53.44292,32.009823,39.98887,34.749756
29,37.77118,188.72072,53.10751,32.651093,39.988186,34.791576
30,37.806248,189.64822,52.983246,32.597775,39.31903,34.763042
31,37.512146,190.4023,52.545284,32.508076,39.69739,34.75824
32,37.027546,189.06023,52.883476,32.95065,39.730255,34.760773
33,37.380547,190.73521,52.849133,32.533485,39.84436,34.70536
34,37.69947,189.39508,53.300987,33.591545,39.617256,34.737186
35,36.73532,189.79796,53.696564,33.318695,39.619217,34.737843
36,36.99932,190.50208,53.567196,33.334274,39.999054,34.72569
37,37.083687,190.4645,54.08385,32.68221,39.98384,34.723915
38,37.03828,190.64116,53.559258,32.468403,39.908943,34.743423
39,37.66945,189.39215,53.44866,32.520668,39.981983,34.756096
40,37.533974,187.66808,53.448757,32.835167,39.917667,34.74546
41,37.703445,191.62073,54.477856,32.109833,39.901432,34.74127
42,36.76002,190.77136,52.296806,32.366974,39.78458,34.683098
43,36.695705,187.52647,53.13195,33.55933,39.849915,34.675785
44,36.13402,191.21649,53.543846,34.266705,39.90335,34.65075
45,37.02172,189.56717,52.906776,32.762856,39.945625,34.712616
46,36.461884,188.46341,53.38729,34.62757,39.639904,34.721397
47,36.345665,189.3197,54.34007,34.43432,39.655426,34.668922
48,36.198452,189.5651,54.551674,35.057526,39.63775,34.67897
49,35.96399,190.11104,55.030674,35.202923,39.693703,34.599094
50,36.900436,187.85245,54.7467,34.09766,39.85199,34.645386
51,37.193108,189.57437,55.07153,34.14596,39.87027,34.654964
52,37.149704,187.27025,52.261894,33.038635,39.526672,34.794647
53,36.990276,187.57758,53.05991,34.77334,39.638336,34.74609
54,37.05723,188.63892,52.7825,33.409492,39.69874,34.75103
55,37.353207,188.3342,52.868256,33.182735,39.671703,34.693657
56,36.937626,191.60764,52.477604,32.414207,39.622604,34.676895
57,37.075596,190.88083,52.55221,32.996407,39.47432,34.789673
58,36.079704,189.19987,52.959774,35.10876,39.23958,34.703697
59,37.215588,189.58499,51.9881,33.811287,39.304108,34.81001
60,37.347404,191.15471,52.323387,33.412052,39.20391,34.7731
61,38.02389,190.69203,52.259182,33.00232,39.187225,34.816772
62,37.91131,191.06252,52.322723,32.998608,39.105804,34.808952
63,37.67055,191.03319,52.26811,33.297825,39.133762,34.797035
64,37.02513,191.9409,52.855194,33.605152,39.3647,34.775135
65,36.88073,190.82022,52.49638,33.386482,39.301456,34.810917
66,36.887455,193.30319,52.589046,32.46772,39.31028,34.7867
67,36.90955,192.89284,52.56163,31.936287,39.40275,34.815205
68,37.093136,190.67314,52.523632,31.377628,39.57168,34.871147
69,38.000515,193.7824,52.348793,31.260319,39.421265,34.800457
70,37.500076,193.99936,52.951046,30.068817,39.94911,34.83071
71,37.787617,193.07364,53.2227,31.922935,39.745354,34.843395
72,38.311115,192.45702,50.448696,31.337797,39.7081,34.99549
73,38.403248,195.38977,52.968098,29.199415,39.695602,34.823483
74,38.007935,195.14711,51.314495,30.438515,39.57085,34.921856
75,37.77018,190.64331,51.1466,29.940632,39.626396,34.687572
76,37.338604,195.8886,53.853363,30.321344,39.5979,34.935074
77,37.735115,195.80309,52.493557,31.205465,39.6079,34.803658
78,37.970493,186.97227,52.76995,33.28914,39.901947,34.73638
79,37.9117,186.96152,52.646618,33.366417,39.80216,34.741333
80,37.025578,188.4012,52.776443,33.8683,39.168106,34.73607
81,37.23439,189.60777,52.76288,33.316444,39.884285,34.77063
82,37.49684,188.25523,52.774384,33.296104,39.88381,34.74531
83,37.731724,189.11414,52.025665,33.108757,39.521404,34.762993
84,37.33916,189.00285,52.8381,33.895096,39.309895,34.74967
85,36.484787,189.16367,52.25622,34.045677,39.23307,34.71918
86,37.251183,188.90279,52.378334,35.339127,39.096348,34.76317
87,37.367264,189.79778,51.99765,35.08033,39.07954,34.7221
88,37.95894,189.56047,51.754513,35.212753,38.97166,34.7116
89,37.75185,190.97693,52.781937,36.18112,39.076218,34.8045
90,38.076397,195.17542,51.896187,30.276453,39.020058,34.79549
91,38.52438,193.93439,52.26994,30.133018,39.256527,34.856792
92,39.045982,193.84627,51.40207,28.959799,39.194912,34.860153
93,39.758175,190.85304,52.32528,29.997799,39.279587,34.89952
94,39.111336,191.96347,52.071728,30.347681,39.563614,34.90351
95,39.620758,194.01308,52.183544,29.718578,39.367554,34.946716
96,40.53689,194.59113,52.273006,27.310282,39.508904,35.021305
97,39.22793,195.35352,52.260723,27.82688,39.60623,34.999847
98,39.60254,192.02632,53.073814,28.160995,39.93389,34.88698
99,39.684166,192.31873,51.364273,27.120893,39.902687,35.03111
100,39.794754,194.54555,51.41575,28.085846,39.58715,34.993546
101,39.486374,193.26965,51.14644,27.356028,39.539402,34.881607
102,39.45678,195.35574,52.38968,27.196144,39.47998,34.938763
103,40.210518,194.80817,51.99285,26.925074,39.734512,34.97955
104,40.18388,196.36852,51.661385,26.603441,39.297882,34.990925
105,41.081192,195.69456,50.924816,26.399628,39.173058,35.022957
106,40.633446,193.83197,51.269,30.480099,39.13765,34.961025
107,39.52207,194.33026,51.461147,29.75247,38.793594,34.891148
108,39.13632,191.21817,52.2612,31.448154,38.83601,34.894814
109,38.979782,194.59593,51.452747,31.114182,39.003143,34.90213
110,39.323513,193.8943,53.012787,29.597801,38.99835,34.931015
111,38.938942,192.23018,52.871975,30.909016,39.037605,34.773335
112,39.67005,190.51189,53.051613,31.08694,39.42735,34.76468
113,38.932617,189.19325,52.72254,31.224236,39.487587,34.85412
114,39.297615,189.06104,52.815334,31.843842,39.545628,34.863834
115,39.753735,189.65773,52.125507,31.882042,39.999924,34.809875
116,39.53131,191.81647,52.115524,27.143513,39.99977,34.836113
117,39.436016,191.60757,52.319134,28.778105,39.948856,34.82899
118,38.99977,191.76007,51.860306,29.55076,39.90634,34.84159
119,39.18434,191.65105,52.21611,28.836105,39.368484,34.943222
120,41.01455,191.3631,52.32603,29.198807,39.424164,34.98028
121,40.3869,190.75475,51.597305,29.235544,39.423218,35.081734
122,40.96049,190.14047,51.567333,27.696987,39.46613,35.045235
123,41.573822,190.52043,52.071243,28.400364,39.615067,35.039692
124,40.924828,189.99709,51.664043,28.643883,39.306995,34.996014
125,41.263866,188.95427,51.814983,29.292564,39.316753,34.972183
126,41.10245,191.64653,52.01312,28.815826,39.42851,34.983753
127,39.181,190.82729,51.54911,29.606445,39.54603,34.982315
128,38.59518,191.2161,52.02408,29.707073,39.599705,34.866287
129,39.07805,192.5028,52.701694,29.580296,39.501556,34.898952
130,39.023483,191.54984,53.449486,30.046917,39.58274,34.850586
131,39.268364,190.53842,53.443966,29.964764,39.66324,34.822784
132,39.316437,191.5299,52.879585,29.78394,39.66402,34.883377
133,39.165302,192.5095,52.00264,29.464937,39.62963,34.902714
134,39.485256,192.97937,52.230045,29.317429,39.605103,34.903877
135,38.518444,193.04514,52.867405,30.283474,39.547363,34.874702
136,38.954105,192.81041,52.62648,29.784866,39.719654,34.94535
137,39.245438,189.85724,51.53259,30.06813,39.369644,34.934383
138,38.931057,193.0219,51.70663,29.978302,39.35003,34.986206
139,38.80866,193.23978,52.18186,30.94066,39.135002,34.836098
140,38.181923,194.63356,51.719513,29.420998,39.279594,34.87081
141,38.031033,192.60278,52.06834,30.374908,39.264442,34.922565
142,39.62289,192.13951,52.474907,29.753242,39.24341,34.905853
143,39.13288,190.31659,52.256855,30.474995,39.640514,34.903866
144,37.97013,188.56868,52.28132,30.742798,39.64376,34.88785
145,37.68914,193.03255,52.884956,31.829388,39.76522,34.719826
146,36.582397,192.622,53.141544,31.59805,39.684944,34.802017
147,36.828335,191.80798,52.794167,32.24266,39.579407,34.840126
148,36.76904,192.55403,53.17025,32.39142,39.534904,34.761116
149,37.548786,192.0182,53.005375,31.97029,39.875618,34.8071
150,37.602715,192.0406,53.370045,31.667423,39.75875,34.829346
151,37.247726,192.39865,52.39225,31.877035,39.550354,34.79972
152,37.421665,192.43686,53.178116,32.220116,39.141945,34.80315
153,38.51004,190.20735,51.1282,31.34658,39.136433,34.718273
154,37.473988,190.45264,51.441082,33.537464,39.138046,34.751663
155,38.467773,190.21399,51.616802,31.677404,39.761635,34.819885
156,38.73722,189.73102,51.27967,30.177738,39.848305,34.894073
157,38.24861,189.97414,51.372826,30.51004,39.964268,34.85856
158,38.927803,189.02486,52.82069,30.747473,39.97119,34.82136
159,40.373913,189.62807,52.935078,29.689192,39.9626,34.935753
160,40.095673,190.87653,52.886703,29.912445,39.581295,34.793705
161,39.47909,189.66913,52.54517,31.395288,39.351963,34.89389
162,39.625103,190.27885,52.299458,31.326176,39.232563,34.868973
163,39.358234,189.66856,51.947227,30.397118,39.334206,34.887905
164,39.661953,191.1849,51.959084,29.801483,39.360863,34.945503
165,39.738316,192.25873,51.776596,29.612202,39.3825,34.93335
166,39.985588,192.40564,52.167694,29.003056,39.401463,34.92916
167,38.751938,190.39651,52.328217,28.81754,39.72519,34.91558
168,37.605305,190.82957,52.367046,32.105236,39.004086,34.86918
169,37.122902,196.01672,52.372707,30.856571,39.33747,34.85448
170,38.417473,190.2658,53.58766,32.321037,39.220467,34.74411
171,38.04313,189.69513,52.981533,34.570732,39.237495,34.763504
172,36.91404,188.84143,52.566463,35.15113,39.399986,34.760506
173,36.94517,189.516,51.83128,35.62635,39.01927,34.74757
174,36.72196,191.08705,51.28738,34.449448,39.009842,34.771347
175,36.975933,191.70688,51.31793,33.927753,39.02841,34.750683
176,37.665306,190.87614,51.788654,33.950394,38.98262,34.872375
177,37.352386,191.06917,52.56074,33.939518,38.87207,34.73574
178,37.203804,191.38242,52.526608,34.0502,39.14586,34.84753
179,37.302315,190.82822,52.02992,33.509537,39.09108,34.826687
180,37.332024,191.19516,51.858418,33.592697,39.282925,34.871613
181,36.77525,191.42856,53.765068,33.889473,39.50161,34.735756
182,36.911648,189.29086,53.921734,33.422565,39.734024,34.709324
183,36.057922,191.00653,52.931923,34.289772,39.55986,34.725887
184,37.09516,191.27943,53.000336,33.681316,39.47503,34.702908
185,36.359253,192.51678,55.167103,34.155373,39.690025,34.589817
186,37.295067,190.81398,51.839424,33.60564,39.320908,34.624214
187,36.61755,190.80405,51.49863,33.919373,38.983574,34.70642
188,36.6209,193.51181,51.903515,32.349113,39.12986,34.67476
189,36.538883,193.47784,52.20396,32.78733,38.94385,34.60677
190,36.73824,192.8148,52.506554,33.201668,38.89487,34.555054
191,36.721043,192.99876,52.461384,33.097,38.91079,34.64155
192,35.7469,191.67174,53.22747,35.603622,39.457184,34.671074
193,36.65766,191.23923,53.04437,34.92195,39.435806,34.6328
194,35.415615,189.1531,53.00951,35.75852,39.505417,34.65661
195,36.78442,190.71892,53.003746,36.250328,38.94735,34.660713
196,36.2362,190.85106,53.646275,34.832817,39.246975,34.69487
197,37.267185,189.3098,52.015095,35.004757,39.387917,34.759514
198,37.490284,191.32784,52.9429,32.172,39.927677,34.76487
199,36.900845,190.55147,53.935497,32.048588,39.96056,34.742546
200,36.91597,190.98923,53.1553,33.075836,39.451195,34.687115
201,36.481133,190.2206,53.759266,34.36863,39.64781,34.67966
202,36.37675,191.13086,53.965694,33.58249,39.528854,34.624153
203,36.623734,191.14917,53.452488,32.423172,39.908257,34.763023
204,38.0782,187.73665,53.388607,31.88277,39.85264,34.762043
205,37.520325,187.61337,51.164898,34.31376,39.602257,34.726162
206,36.594044,188.17331,53.050156,34.546738,39.61374,34.807106
207,36.827225,189.74084,53.962032,33.802483,39.763706,34.68671
208,37.197327,189.15068,54.406002,33.91407,39.66452,34.645676
209,36.52256,189.21567,53.79902,34.004,39.444595,34.79586
210,36.641815,192.72926,54.983665,34.29822,39.618065,34.760258
211,36.56012,189.38818,53.109768,33.72213,39.20501,34.673252
212,36.987015,189.4097,52.68797,33.51763,39.79267,34.721138
213,36.991497,191.1714,52.7754,32.68568,39.723248,34.75179
214,37.099785,190.53008,52.79276,32.833973,39.36241,34.76847
215,36.570827,190.35768,52.194847,34.464325,39.03956,34.62201
216,36.837223,190.58139,52.51786,34.229237,39.53547,34.754692
217,36.780594,188.52446,52.429543,34.55179,39.31092,34.757027
218,37.2551,189.43948,52.483395,34.17103,39.400345,34.749863
219,37.27642,189.32716,53.13054,34.94425,39.429195,34.717514
220,37.3022,190.29358,52.583336,34.341118,39.229782,34.721535
221,37.331226,189.4139,52.4978,31.778393,39.60617,34.7394
222,38.6126,188.80167,52.360863,31.63987,39.612858,34.916424
223,37.55257,190.61705,52.549133,32.119606,39.82348,34.959606
224,37.093445,192.0241,53.036186,32.06521,39.663013,34.837738
225,36.997215,190.84178,53.025635,31.882833,39.806145,34.790344
226,37.051876,193.06528,52.809467,31.549759,39.210846,34.74436
227,37.109016,194.40181,52.912163,30.66354,39.429527,34.730507
228,37.148304,193.54556,53.298344,30.703268,39.668518,34.77434
229,37.53732,192.76099,52.7589,31.325089,39.681713,34.854034
230,37.26355,194.44614,52.09453,30.959183,39.694756,34.873123
231,38.259953,191.54643,51.13577,30.512316,39.47207,34.899025
232,39.392616,192.7823,52.05915,30.423466,39.397415,34.915775
233,40.218754,191.0431,51.905426,30.012314,39.169865,34.92382
234,40.581295,192.31364,51.87204,29.335981,39.48886,34.9638
235,40.18813,189.88498,52.84433,29.467442,39.83216,34.95887
236,39.481117,190.48323,52.10845,29.485746,39.360695,34.83599
237,39.839836,193.16702,52.021667,28.901817,39.408848,34.966373
238,38.809628,193.82924,51.794903,28.919437,39.225327,34.965446
239,39.49331,192.25298,53.048405,28.597042,39.57216,34.945797
240,37.1691,193.94258,52.257637,30.839264,39.58139,34.874493
241,37.306602,193.73483,53.262424,30.950832,39.73915,34.803688
242,37.350216,193.6807,53.609005,31.129503,39.476334,34.783417
243,37.54427,192.81041,52.1863,31.760616,39.59913,34.790108
244,37.59941,192.56526,52.277348,31.265202,39.631935,34.79229
245,38.482937,191.11292,52.975906,31.67757,39.61837,34.797592
246,37.66794,192.40884,53.370968,31.490454,39.629173,34.809395
247,37.48458,192.79054,52.44172,32.09442,39.41059,34.808266
248,37.867344,191.58466,52.436386,32.118195,39.392433,34.859924
249,37.31415,191.81577,51.776974,31.822231,39.361507,34.830334
250,37.090836,191.84004,52.688503,32.38053,39.43244,34.738716
251,37.560062,192.71608,52.171463,32.222878,39.452972,34.850662
252,37.968838,192.85547,52.268524,31.479923,39.336113,34.844505
253,37.98375,192.96213,52.47055,31.411589,39.317665,34.791424
254,38.01085,192.54196,52.433987,31.864079,39.044518,34.86447
255,39.726204,189.78821,52.88118,30.224422,39.521107,34.8085
256,39.955498,189.46518,51.921234,30.66309,39.524883,34.905624
257,37.8503,189.55324,53.25337,31.933855,39.615746,34.6228
258,35.923622,189.10721,53.615913,33.95333,39.60914,34.64224
259,37.48484,188.96187,53.864223,34.121456,39.805237,34.73347
260,36.632523,187.96565,52.965656,33.545185,39.971825,34.72434
261,36.91259,187.68106,54.445015,32.626553,39.967773,34.712112
262,37.27554,188.68442,52.617393,34.089222,39.95757,34.728706
263,36.755226,188.94989,53.86596,32.780693,39.988075,34.641617
264,39.105953,188.4189,52.922295,28.506134,39.99219,34.766968
265,39.311207,191.04456,52.03781,28.192265,39.839306,34.73753
266,38.761993,195.93646,52.246925,28.36711,39.540886,34.924934
267,38.36468,194.77864,51.720097,28.88395,39.432617,34.922497
268,39.2162,194.2783,52.774567,28.59454,39.742157,34.90631
269,40.82249,193.55197,51.908165,28.224407,39.57187,34.980865
270,40.904835,193.7051,51.984238,27.910204,39.17768,34.99373
271,40.762035,194.72614,52.63177,27.362709,39.196156,34.982384
272,38.670334,195.15852,51.592186,27.681286,39.57778,35.02521
273,41.181664,194.78485,51.96717,26.665556,39.0548,34.995213
274,40.627464,192.99475,52.700512,30.358639,39.08052,34.867172
275,40.611324,191.49016,53.03368,28.893557,39.581535,34.97363
276,38.33926,192.78296,51.8266,28.939573,39.6661,34.950115
277,38.46322,193.89232,52.276783,29.695673,39.802433,34.94308
278,38.568935,191.00642,52.356407,29.500668,39.67968,34.914177
279,41.3079,191.67561,52.926647,27.995258,39.558,34.994804
280,41.825043,187.43526,52.032505,30.534573,39.551723,34.954224
281,37.159927,197.05997,52.07966,28.436035,39.64892,34.948463
282,38.135746,198.88278,52.38911,30.07644,39.010426,34.95161
283,37.515118,196.20088,51.580402,29.322512,38.984966,34.834538
284,37.291008,197.8419,51.54786,32.515057,39.00808,34.82919
285,38.762363,192.22139,51.381382,31.837154,38.668686,34.81513
286,38.928795,192.82588,50.834126,32.270897,38.954117,34.870785
287,37.368053,192.9975,51.922768,32.309303,39.02169,34.751995
288,37.39014,193.17319,52.338364,32.343468,39.2234,34.871918
289,37.71207,193.9266,52.18419,32.1147,39.383404,34.863464
290,37.495632,194.53976,51.391373,31.518726,39.825867,34.85018
291,37.811478,193.52664,53.6229,31.03471,39.492443,34.83432
292,37.777065,191.92822,52.096928,31.466003,39.607834,34.79418
293,37.432243,192.09756,51.853268,32.428303,39.277054,34.901924
294,37.81924,190.9837,51.652897,32.078655,39.255074,34.83651
295,37.61447,192.65955,51.98663,32.049656,39.309944,34.794365
296,37.78041,192.8096,52.86412,31.614416,39.20528,34.687225
297,36.830902,190.82446,52.406105,32.519432,38.98828,34.761715
298,37.56974,196.47728,51.349705,29.418661,38.974155,34.827724
299,38.84766,191.87753,51.223244,32.89466,38.72312,34.9405
300,38.980408,193.22533,52.17897,33.107582,38.74415,34.906303
301,38.65439,190.03548,52.440006,33.92968,39.042477,34.811096
302,37.779037,189.82927,52.454796,34.313995,39.199364,34.793236
303,37.93608,189.31615,52.811604,34.137947,39.34523,34.79435
304,36.81213,192.43224,52.751656,32.797848,39.333424,34.75328
305,37.96211,193.38469,52.718693,31.929047,39.38469,34.774426
306,38.3549,191.89421,52.404907,31.043636,39.494495,34.831863
307,38.28016,189.68349,52.619553,31.162806,39.807877,34.80725
308,38.391712,190.28224,52.373646,31.813221,39.852013,34.820576
309,38.670586,190.60757,55.13775,31.153748,39.912983,34.767227
310,36.502926,189.30598,54.10948,32.371544,39.549065,34.728443
311,35.68818,190.03918,54.085155,37.18548,38.925804,34.62862
312,35.905495,189.68065,52.17001,37.235516,38.90783,34.607086
313,35.832127,189.52063,52.387444,35.07283,38.795513,34.537598
314,36.158867,191.20386,52.146793,34.767956,38.914024,34.566635
315,36.427593,191.47581,52.601578,34.630054,38.956615,34.798523
316,36.85976,192.14113,52.56166,35.41033,39.162384,34.6572
317,37.79851,192.54227,52.402843,33.276093,39.18174,34.9187
318,38.23014,192.62054,51.71684,31.228588,39.26979,34.85196
319,38.271954,193.10115,51.93489,31.484291,39.19349,34.870758
320,37.665276,192.84023,52.715076,31.870079,39.2968,34.803093
321,37.61167,192.35915,52.81055,32.246353,39.250088,34.817535
322,38.004574,191.39894,52.83902,32.591934,39.483112,34.739136
323,37.88489,187.82191,52.249626,31.444763,39.870453,34.789036
324,38.577637,188.46208,53.20938,30.8265,39.91692,34.839302
325,39.793453,188.3491,54.558712,30.720043,39.848473,34.8246
326,39.170753,189.08887,54.112015,30.153055,39.87832,34.841198
327,39.221527,190.61198,53.239254,29.87547,39.857193,34.853596
328,39.18644,191.10239,52.07863,30.52827,39.965477,34.871307
329,39.71272,188.05753,52.251152,29.42051,39.988712,34.94541
330,40.61179,188.52257,52.586983,29.628012,39.957977,34.9493
331,40.822834,188.55818,52.78687,29.228188,39.89387,34.886772
332,39.92147,189.73726,51.441372,29.119936,39.5802,34.81935
333,41.049686,190.24336,52.61197,28.53408,39.32513,34.857517
334,41.169254,190.99858,52.52293,28.434483,39.42604,34.95172
335,40.85929,191.15007,52.49205,29.086002,39.326294,34.960155
336,40.283787,192.1252,51.677143,30.51972,39.32808,34.94195
337,39.16599,188.43906,51.83646,31.00108,39.36402,34.926514
338,39.67309,190.46408,51.83743,31.391636,39.084038,34.91618
339,38.526196,190.83835,52.351513,31.46114,39.12721,34.717937
340,38.564278,191.12186,52.417667,31.335583,39.298573,34.80669
341,38.125145,191.88828,51.904896,32.502544,38.99323,34.874756
342,37.79739,193.60808,53.147648,31.991182,38.97079,34.853844
343,36.94634,188.41383,51.98805,31.861574,39.651108,34.750668
344,37.764282,191.20493,52.16346,31.990353,39.799316,34.82563
345,38.19054,191.83472,52.39487,29.798485,39.70259,34.804413
346,38.239548,190.15683,52.784687,30.729076,39.882553,34.72319
347,38.08805,191.1962,52.56818,30.717323,39.860367,34.76963
348,38.575935,192.18234,51.935806,30.161823,39.77021,34.891376
349,38.296238,192.94344,52.78117,30.144747,39.660698,34.831947
350,37.942688,193.26462,51.328712,29.066376,39.665886,34.86294
351,39.46524,193.70123,51.129196,28.927616,39.246246,34.857323
352,39.052174,192.2702,51.0962,29.251656,39.29871,35.031616
353,39.618084,192.75537,52.014996,27.510418,39.710865,34.963165
354,39.52908,193.55199,51.6751,29.56683,39.30143,34.988083
355,39.76218,192.37294,51.482883,27.890406,39.46493,34.786995
356,39.299477,192.46796,51.446953,27.893492,39.897987,34.862186
357,40.52523,191.0107,52.74006,28.217617,39.846226,35.028328
358,40.38119,189.86792,52.459064,29.22477,39.796165,34.980957
359,42.223682,188.46063,53.25151,29.171589,39.793602,34.998642
360,38.662018,189.77913,52.829216,29.98,39.81099,34.927444
361,38.40814,188.63187,51.657257,31.290495,39.84326,35.008614
362,39.26166,193.4121,53.05524,28.846188,39.925797,34.82032
363,39.310966,193.9913,52.755306,28.832455,39.463905,34.944305
364,39.2934,192.27357,50.745388,29.509525,39.704483,34.91883
365,39.128227,194.39052,51.941597,29.584429,39.10772,34.906975
366,38.872707,194.39912,52.023293,28.673073,39.362625,34.861088
367,39.771725,190.51697,52.372448,30.419777,39.943665,34.841797
368,38.929432,191.06032,55.224796,30.53793,39.92637,34.74548
369,38.559925,188.33453,53.42879,31.34552,39.859955,34.845215
370,38.78368,190.01825,53.499966,31.967133,39.553284,34.78109
371,38.439156,190.05206,52.81623,31.365948,39.571655,34.801064
372,37.42154,189.13951,53.030235,32.94863,39.569443,34.767395
373,36.87054,190.91602,52.603546,34.077103,39.301266,34.722626
374,36.967068,190.67227,52.969532,34.0032,39.091534,34.74582
375,36.645294,188.69731,52.422615,34.5193,39.660072,34.700726
376,36.849487,189.32353,52.597946,34.533356,39.51069,34.651695
377,36.933804,190.6633,54.299347,33.95175,39.47602,34.66994
378,36.798843,190.53276,52.54191,33.16196,39.849022,34.68177
379,36.337307,188.7768,51.92446,33.408722,39.78926,34.71592
380,37.04718,189.69167,52.02907,35.172188,39.17915,34.793797
381,37.708385,189.43915,50.843647,34.332756,38.679607,34.6793
382,37.93206,191.73103,51.803978,34.16504,38.73361,34.73734
383,37.291775,194.00519,51.482944,33.50715,39.039986,34.83327
384,36.89763,187.98895,53.271038,32.641563,39.722794,34.72784
385,36.908077,189.3483,52.53561,33.598724,39.655518,34.752403
386,37.29636,188.26578,52.524452,33.655975,39.742825,34.684135
387,37.374058,188.01616,52.934452,34.58841,39.596954,34.755
388,36.782974,188.06584,53.11979,35.366276,39.644684,34.763527
389,36.43403,191.02931,54.072094,32.597862,39.75848,34.65169
390,36.43792,191.6586,52.58937,32.742943,39.672897,34.835854
391,38.088326,192.75645,52.510372,29.519249,39.742203,34.854717
392,38.185543,194.46407,52.020428,29.984951,39.643578,34.846985
393,38.576595,192.69579,53.217102,30.274878,39.555355,34.85977
394,39.45753,193.61984,53.435623,28.844042,39.668446,34.85661
395,39.1352,192.69109,51.31696,29.28209,39.754204,34.900093
396,41.23395,192.61496,52.68347,29.530804,39.308502,34.887623
397,41.146156,189.04851,52.49538,29.344381,39.514587,34.961212
398,39.29067,191.18643,52.547493,29.854115,39.61879,34.935463
399,39.89209,190.13666,52.009872,30.002476,39.72075,34.918236
400,40.272846,190.18237,52.75692,29.447145,39.832233,34.91584
401,39.75644,191.00801,52.46352,29.265163,39.60672,34.952007
402,40.338146,193.82817,51.73299,26.987938,39.750065,34.955456
403,40.41831,193.56151,51.677513,27.137947,39.329193,34.95254
404,40.550583,193.6594,52.43888,27.029217,39.882492,34.878384
405,40.561573,193.76248,52.29,25.647224,39.642464,34.88611
406,39.866417,194.13818,52.520237,25.9778,39.47923,34.782967
407,42.60575,192.74596,51.380783,26.099989,39.58011,35.08029
408,39.88427,194.21992,50.541092,26.158178,39.581642,35.073807
409,41.210373,194.78297,50.512146,25.685894,39.74806,35.045135
410,40.079178,193.42755,50.471493,26.325348,39.8524,35.055416
411,40.67878,192.90714,49.955555,26.465282,39.834984,35.05824
412,39.633263,192.59804,49.82175,27.156212,39.444466,35.05471
413,39.851006,192.56197,50.43414,29.330051,39.43493,35.013165
414,39.890633,191.54315,50.643517,27.498516,39.228058,34.85144
415,40.596886,191.92064,50.65058,26.858343,39.173702,34.86305
416,40.18717,194.96997,52.49062,28.721447,39.27739,34.968597
417,39.164227,197.19707,51.404327,28.148785,38.9825,35.096626
418,38.646713,195.16608,48.8917,28.844177,38.92878,35.04468
419,39.968483,194.29083,49.93838,28.622164,38.96863,34.929485
420,38.338943,194.73892,50.352745,29.95146,38.969536,34.94461
421,39.93715,191.57248,52.631924,29.801964,39.264267,34.92321
422,39.866203,193.40944,52.768852,28.854164,39.360786,34.90633
423,40.05537,193.00609,52.24572,29.302094,39.31173,34.92311
424,39.710106,192.24915,51.859917,30.033756,39.14115,34.98072
425,40.509384,195.71996,51.454857,28.727474,39.0651,34.987053
426,40.54827,194.94199,51.601112,27.863768,39.03352,34.962982
427,40.45163,196.25726,50.3153,27.804914,38.97039,35.04677
428,40.340885,197.06998,50.487885,26.852718,38.990868,35.047638
