,k1,k2,k3,a1,a2,a3
0,43.689228,196.83806,52.591545,30.885012,35.895004,36.641846
1,48.179543,232.46521,46.658085,22.713472,35.816376,35.816074
2,57.18239,238.5957,57.599762,25.216331,27.880928,35.546284
3,52.050674,243.06194,52.58506,23.046455,29.462135,35.734184
4,50.50422,243.07196,60.450214,30.941631,28.330996,35.404514
5,45.46489,243.29924,59.83898,25.809841,32.16371,35.347275
6,45.63599,249.9843,59.18219,27.447147,31.689104,35.28616
7,39.55786,249.90994,59.915154,33.579372,30.70111,35.537544
8,41.428616,228.57816,72.5045,34.61387,34.038773,35.52691
9,41.4437,235.52142,78.623886,35.93361,32.74757,34.787277
10,40.434906,240.1867,78.293304,39.35944,29.301674,35.007183
11,43.625263,239.8218,71.12004,32.02246,31.633385,35.069977
12,45.919315,247.33768,74.656204,30.780087,30.701479,34.934624
13,46.747643,247.99944,78.42413,29.130318,29.8674,35.028934
14,44.06697,245.54703,81.60013,30.72766,31.01933,34.866352
15,43.60546,247.0141,74.86303,33.55571,30.630882,34.909912
16,45.17809,235.58264,80.278015,31.877396,34.433254,34.98278
17,48.04575,226.49977,66.69988,30.347118,34.186943,36.245323
18,38.79412,214.24948,31.634912,34.854034,36.12977,36.23481
19,35.006237,207.85918,27.908287,36.20375,36.54844,36.2902
20,47.22898,222.98923,24.192663,20.197535,35.827625,36.82448
21,53.20007,183.56415,29.529993,23.475264,34.192104,36.739655
22,47.42677,202.6674,32.024002,30.175175,35.858627,36.75873
23,42.102165,206.3128,65.831566,26.59544,38.173603,36.199074
24,41.89349,206.47778,38.428432,33.01448,35.238377,36.874893
25,41.799175,205.09401,38.99933,31.814144,29.644562,36.41499
26,39.878773,224.18593,69.71644,29.899017,31.413658,36.420853
27,52.168266,211.84285,52.01808,27.911789,30.314655,36.27153
28,46.060276,228.61992,49.14475,35.514202,33.495876,36.071198
29,39.024254,238.42693,68.916824,37.46763,28.894367,35.43474
30,45.12842,243.52596,67.24045,27.010784,31.616173,35.10209
31,46.33259,236.2281,68.19195,31.310045,31.67199,35.34967
32,42.02447,235.52586,70.1276,33.780586,31.44905,35.25187
33,49.111755,238.95436,72.16723,33.479965,31.127726,34.95015
34,40.86551,245.62944,73.10794,37.055077,31.288816,34.87545
35,43.15196,246.27296,73.16409,28.605669,31.845995,34.909912
36,49.58175,237.84572,76.52879,32.084858,31.11904,34.918945
37,49.81558,241.6908,70.38213,27.680416,30.504206,34.78157
38,48.355804,246.9109,67.27921,27.737242,30.441334,35.888504
39,48.42948,230.222,67.9182,31.288322,33.507416,35.40879
40,47.042408,231.20605,73.92442,30.527634,33.363934,34.93441
41,44.40063,233.08488,75.75957,26.165764,33.15123,34.921978
42,44.590347,236.55617,69.3449,37.70849,29.12315,34.9679
43,43.2482,245.4825,75.16634,37.66711,28.736792,35.103317
44,41.42525,242.26706,75.19837,35.964367,32.883537,35.012573
45,41.84199,223.39304,74.06947,36.455734,32.559944,35.707535
46,42.028805,215.55327,71.76247,34.47203,32.918526,35.083748
47,46.362396,239.47104,75.54238,33.47391,31.150658,34.935368
48,46.30309,248.44714,73.468124,29.198986,30.690113,35.322704
49,46.824837,242.68098,59.45991,30.574192,31.171947,35.535553
50,46.296696,245.89873,72.43548,26.594973,30.270733,35.624195
51,48.149387,247.40683,67.83794,22.452631,30.58813,35.55915
52,48.855293,241.5794,52.03724,27.137856,32.016453,36.30959
53,45.06394,237.32735,52.896034,25.900885,33.857258,35.36723
54,45.759792,237.46164,59.074665,26.654924,31.106876,36.224293
55,47.83723,236.0934,74.60075,30.700315,31.242249,34.838932
56,39.109734,233.27019,79.204575,28.917828,33.343426,34.7983
57,46.433395,236.36739,76.388756,32.25457,32.956745,34.945576
58,40.990707,238.64072,75.65221,36.527985,31.135933,35.04849
59,44.155334,242.57878,75.68705,36.625935,29.670845,34.947887
60,47.33786,238.88065,74.55256,26.629028,31.126738,34.934525
61,49.117638,239.79605,72.94352,29.580835,31.694927,34.946373
62,40.73202,245.32251,77.270966,28.081924,31.226105,36.207054
63,40.67411,233.2518,82.33055,39.776543,33.33393,34.185555
64,34.904312,235.99866,81.7924,39.24609,32.331467,34.453964
65,34.692417,234.69302,86.996994,38.145573,32.727623,34.57575
66,38.112263,227.82933,80.58619,37.496128,32.064796,34.950188
67,44.238636,239.23506,79.28467,25.254948,31.416986,36.24119
68,43.769135,240.3323,66.41445,24.045027,31.934544,36.7399
69,42.44175,229.78615,70.10435,30.852564,33.577587,34.831562
70,40.48441,235.1001,72.41521,32.485065,30.043514,36.241577
71,45.496822,226.78603,57.60537,28.247314,33.037563,35.72764
72,47.872284,210.09853,53.827564,28.655964,32.3225,36.266228
73,42.779533,233.80559,49.543304,21.44559,31.871517,35.810814
74,52.18289,246.02048,53.81191,21.467943,30.71983,35.791615
75,52.19662,242.86046,49.75218,21.752039,31.589676,35.89896
76,51.158436,226.74767,50.233715,21.136086,34.632626,35.809467
77,46.76089,222.07162,54.226612,25.062883,36.17468,36.232876
78,53.99042,225.96568,60.847813,20.402445,31.4791,35.89892
79,53.005444,216.22356,50.273552,20.266973,32.65306,36.21711
80,51.645542,205.61754,35.398087,20.841316,34.371803,36.253067
81,48.650085,217.06204,44.834045,20.838285,30.987827,36.85385
82,41.63539,209.02666,47.21741,23.292969,36.287445,36.876823
83,40.931046,190.50327,45.807457,37.15052,34.65994,36.194534
84,42.99818,206.62468,51.67807,29.219437,36.237846,36.05117
85,48.861416,204.10936,37.595226,25.65657,35.08232,36.116447
86,46.79622,199.62271,40.07191,24.08979,35.973125,36.0997
87,42.43951,221.25043,47.363827,32.728626,35.045815,36.103172
88,33.06412,215.87642,39.9961,31.333727,38.108917,35.431114
89,34.038456,211.8277,37.92232,33.049957,38.893997,36.05894
90,35.61356,203.53505,44.74802,32.077553,38.83189,35.92787
91,41.862762,213.61232,48.177578,31.57922,36.557884,35.949287
92,42.280327,232.31403,54.618916,26.513681,34.609055,35.68407
93,43.375843,225.94571,69.006874,31.763062,31.708408,35.66221
94,41.8683,233.84482,75.613655,32.284073,31.365673,35.182434
95,46.033775,236.11987,76.7247,29.959064,31.759848,34.978687
96,40.660145,248.85474,76.25587,37.39042,32.35325,34.952564
97,42.914253,235.72704,73.42162,32.190807,32.765438,35.004456
98,42.070652,228.63336,79.09033,35.56017,31.462614,35.33289
99,46.193455,226.31999,73.1414,34.408394,32.55307,34.96372
100,46.86392,228.43393,69.47926,32.46809,31.370808,35.164345
101,47.418633,242.50325,84.23548,27.754131,31.42176,34.984993
102,49.186768,244.32253,82.74869,29.209991,31.517754,35.088493
103,41.917477,246.4558,71.784,36.30012,32.3437,35.00068
104,42.058243,246.81041,77.257645,29.20928,31.419598,35.176056
105,41.88747,232.49525,70.848274,36.445633,32.599987,35.244972
106,41.613052,241.80304,75.402374,33.58784,32.91741,34.890755
107,41.728924,230.64171,76.48516,37.493347,33.563515,34.815186
108,37.209293,234.03142,80.34095,35.66881,32.12758,34.760494
109,44.112064,237.27763,79.90363,28.846313,31.928143,34.746758
110,40.496136,225.13881,77.330605,34.44465,33.444405,35.03295
111,43.939724,234.20187,79.30741,31.657818,33.806114,34.981274
112,44.124943,233.61128,74.249886,32.254868,32.285458,35.735813
113,47.239586,231.78928,65.37532,28.175129,32.210728,35.554886
114,46.139767,233.60582,65.26816,26.801722,31.196482,35.414093
115,47.297516,238.73778,65.44151,26.908058,32.451233,35.282852
116,42.933784,241.75958,72.680435,29.00502,30.823784,35.17658
