,k1,k2,k3
0,38.81077,193.00737,52.58907
1,39.006927,193.03522,52.707615
2,39.294365,193.34119,51.8428
3,39.269913,193.87904,51.96232
4,39.387318,193.62239,52.043564
5,39.480568,193.65166,52.039433
6,39.385616,193.35616,52.346287
7,39.25598,193.34166,52.3593
8,38.858658,193.0625,52.268085
9,39.34159,193.6434,52.14893
10,38.736614,193.4937,52.274273
11,39.074924,193.53723,52.15765
12,39.111652,193.29877,52.360973
13,38.927345,193.13435,52.664577
14,39.142452,193.13959,52.20939
15,39.093506,193.0302,52.636112
16,39.122383,193.3135,52.391357
17,39.003807,193.06044,52.470764
18,39.126923,193.25618,52.455948
19,39.186073,193.2349,52.156113
20,39.448944,193.20018,52.558395
21,38.89771,193.38193,52.50847
22,38.803917,193.3784,52.553173
23,38.893085,193.41559,52.410736
24,39.06714,193.37599,52.44912
25,39.02801,193.08147,52.4271
26,39.20643,192.99124,52.415398
27,38.841988,193.46854,52.209995
28,38.8236,193.32967,52.382965
29,39.334038,193.14574,52.32812
30,38.96823,193.26321,52.44987
31,38.96702,193.364,52.332314
32,38.964817,193.21309,52.154926
33,39.204147,193.14456,52.354733
34,39.020386,193.40962,52.08231
35,39.288517,193.33528,52.46688
36,39.35822,193.13594,52.36073
37,39.28958,193.35843,52.143238
38,38.84822,193.34601,52.429253
39,39.30758,193.27356,52.38144
40,38.855835,193.51323,52.29394
41,39.02336,193.2301,52.322704
42,38.926613,193.16116,52.58584
43,38.92389,193.06508,52.35815
44,38.934456,193.07605,52.357872
45,38.96467,193.07278,52.41083
46,39.120163,193.20735,52.492065
47,38.96083,193.23697,52.1657
48,39.10006,193.52437,52.29715
49,39.221222,193.15672,52.215225
50,39.13697,193.15234,52.6684
51,39.042244,192.98836,52.521313
52,39.21112,193.1609,52.43473
53,39.203148,192.97122,52.531696
54,39.182465,193.62808,52.38377
55,39.125492,193.36536,52.234184
56,39.010933,193.36162,52.3209
57,38.86773,193.4317,52.185482
58,39.085403,193.05217,52.550293
59,39.019157,193.3025,52.547295
60,38.87687,193.34267,52.28022
61,38.88852,193.08055,52.60768
62,39.367737,192.93439,52.441566
63,39.046066,192.99823,52.340576
64,39.2221,193.06082,52.221405
65,39.168217,193.72548,52.20698
66,38.995598,193.1587,52.31156
67,39.653046,193.42894,52.249588
68,39.01422,193.52557,52.24801
69,39.01213,193.46915,52.169178
70,38.96344,193.21953,52.234962
71,39.062393,193.22823,52.36428
72,39.30244,193.1746,52.3572
73,39.204887,193.10948,52.286186
74,39.06109,193.10774,52.13407
75,39.12956,193.75961,52.13473
76,38.995422,193.33652,52.50167
77,38.976807,193.30081,52.50284
78,38.9925,193.07028,52.337658
79,38.989014,193.20094,52.63243
80,39.25306,193.45186,52.032616
81,38.91577,193.44237,52.43823
82,38.731823,193.11153,52.367237
83,39.43686,193.17818,52.398586
84,39.2106,193.26135,52.24343
85,39.199036,193.26057,52.63159
86,39.15478,193.21439,52.43426
87,39.0432,193.37505,52.26298
88,39.047066,193.32364,52.445576
89,39.03625,193.29114,52.468212
90,38.739197,193.34705,52.463497
91,39.181686,193.09203,52.352768
92,39.289417,193.16104,52.4052
93,38.75945,193.23848,52.265984
94,39.07082,193.19061,52.167633
95,39.082138,193.50397,52.279434
96,39.25859,193.59378,52.286488
97,38.959015,193.57088,52.224827
98,38.919594,193.31589,52.19691
99,39.06009,193.0894,52.278175
100,38.70888,193.18375,52.3661
101,39.28733,193.34329,52.49738
102,39.336502,193.34294,52.31644
103,38.835655,193.17888,52.335033
104,39.102825,193.15984,52.19386
105,39.10647,193.48898,52.214947
106,39.047924,193.32182,52.224895
107,38.993477,193.23569,52.265312
108,38.988422,193.28493,52.060993
109,39.077164,193.11682,52.86605
110,39.073128,193.17342,52.415752
111,39.00753,193.37132,52.103313
112,38.954285,193.34349,52.3284
113,39.034286,193.31807,52.406166
114,39.019653,193.45543,52.13107
115,39.166676,193.70425,51.980854
116,39.245033,193.64119,52.29545
117,38.89968,193.54193,52.344852
118,39.051437,193.25182,52.433956
119,38.900337,193.26677,52.42383
120,39.16143,193.44003,52.27584
121,38.814693,193.43202,52.51735
122,39.159653,193.33846,52.07379
123,38.955902,193.78516,51.9321
124,38.891747,193.74083,52.312935
125,39.420624,193.68318,52.21718
126,39.1671,193.04597,52.230816
127,39.07548,193.50435,52.20798
128,39.268547,193.31699,52.20814
129,38.97596,193.44246,52.019283
130,39.4681,192.91818,52.49808
131,38.9526,193.39412,52.35114
132,39.257423,192.97105,52.362705
133,38.938416,192.93945,52.47219
134,39.246117,193.40607,52.396076
135,39.13841,193.23784,52.461
136,38.782677,193.35823,52.48282
137,39.13475,193.41273,52.257732
138,38.79896,193.1189,52.402054
139,38.709824,193.1933,52.56383
140,39.26525,193.23503,52.54611
141,39.157436,193.35294,52.08621
142,39.12048,193.12099,52.66507
143,38.897293,193.46736,52.453236
144,39.19584,193.55093,52.19299
145,39.16121,193.50247,52.034798
146,39.120277,193.51021,51.95306
147,38.993385,193.58167,52.46966
148,38.96495,193.63457,51.982227
149,38.915638,193.49973,52.41322
150,39.109474,193.45953,52.073524
151,39.063457,193.40796,52.052822
152,39.05002,193.39891,52.159084
153,39.005978,193.40242,52.31683
154,39.12738,193.22166,52.297405
155,39.002426,193.17578,52.25043
156,39.058193,193.33522,52.090908
157,38.669907,193.69519,52.35586
158,38.663666,193.08809,52.55445
159,38.484016,193.77542,52.24967
160,39.654594,193.4231,52.211533
161,39.64843,193.36159,51.983574
162,38.572006,193.35756,52.255417
163,39.532417,193.27774,52.28684
164,39.117935,193.17946,52.56568
165,39.184845,192.99506,52.70728
166,39.16217,193.06616,52.418343
167,39.421097,193.43785,52.19753
168,39.166954,193.24925,52.35503
169,39.232586,193.29161,52.148193
170,39.192886,193.32593,52.368626
171,39.267544,193.2298,52.46621
172,38.932327,193.24513,52.375088
173,38.841972,193.23808,52.286118
174,38.775368,193.16023,52.572216
175,38.84087,193.13652,52.301167
176,39.27912,193.43877,52.22847
177,38.775948,193.14655,52.52553
178,39.108368,192.91397,52.433422
179,39.064598,193.36583,52.30737
180,38.870705,193.33904,52.51705
181,39.4631,193.09409,52.434364
182,39.200302,193.35403,52.345085
183,39.285355,193.3295,52.29753
184,39.197464,193.51122,52.09246
185,39.003086,193.4945,52.319035
186,39.16954,193.47284,52.247726
187,39.147053,193.52287,52.2664
188,38.944332,193.24852,52.28642
189,38.922096,193.55824,52.40303
190,39.019165,193.25745,51.970848
191,39.041306,193.4246,51.955444
192,39.040756,193.61964,52.398712
193,39.229576,193.33789,52.047295
194,39.03135,193.66731,51.983433
195,39.04825,193.94006,52.039875
196,39.105095,193.87839,52.057003
197,39.083782,193.81747,52.068592
198,39.20758,193.00589,52.165382
199,39.294205,193.10558,52.357323
200,39.366203,193.37619,52.170685
201,39.257088,193.39008,52.435204
202,38.92964,193.32211,52.369804
203,39.178295,193.37523,52.28542
204,38.946278,193.21616,52.444004
