,k1,k2,k3
0,46.485386,182.67615,45.718567
1,46.231194,183.33672,45.785404
2,45.531372,184.08609,46.36575
3,45.59721,183.97119,47.00704
4,45.750923,183.15962,46.753452
5,45.54309,182.7823,46.723083
6,45.62306,184.39632,46.70541
7,45.67358,184.07872,46.45591
8,45.83293,183.31105,46.58623
9,45.53509,182.92052,46.620823
10,45.659332,184.15128,46.5895
11,45.607906,182.26562,46.707745
12,45.66753,183.59541,46.31478
13,45.991642,182.68933,46.308662
14,45.786625,182.55974,46.722935
15,45.64737,182.26822,46.532696
16,45.762695,183.21378,46.640656
17,45.343075,182.46486,46.66352
18,45.730286,183.64455,46.350487
19,45.532658,183.58218,46.71208
20,45.809055,183.98288,46.398563
21,45.450695,182.68759,46.423073
22,45.528584,183.66861,46.68977
23,45.6886,183.35307,46.58919
24,45.68465,183.27606,46.47347
25,45.67021,184.13309,46.628162
26,45.339962,182.8031,46.77998
27,45.21779,183.11797,47.096786
28,45.06897,182.48712,46.96537
29,45.034172,182.9254,46.90322
30,45.084484,182.2171,47.04117
31,45.21234,183.91733,46.76883
32,45.307358,182.04002,46.914806
33,45.131615,180.57716,46.815308
34,45.25625,184.68124,46.972515
35,45.26462,184.66098,46.932533
36,45.34722,184.5199,46.909378
37,45.077908,180.51921,46.91107
38,45.4468,183.20154,46.853344
39,45.36451,183.86073,46.872807
40,45.300625,183.9363,46.8305
41,45.2168,181.02986,46.9407
42,45.186207,184.09198,46.916897
43,45.605854,184.28833,46.447884
44,45.854435,182.76717,46.49204
45,45.794666,183.08012,46.488716
46,45.9718,182.17604,46.545017
47,45.954277,184.18213,46.47048
48,45.777523,182.9349,46.446934
49,45.80098,183.41547,46.428394
50,45.914787,182.79918,46.169773
51,46.211643,181.10147,46.270355
52,45.681824,184.19931,46.20411
53,46.310356,183.787,46.315327
54,45.8653,182.84251,46.382927
55,45.45996,182.6062,46.60033
56,45.334793,182.6099,47.018967
57,45.25641,184.04117,47.006577
58,45.31848,183.31868,46.836155
59,44.91432,182.0258,47.101017
60,45.241024,182.91313,46.795414
61,45.22848,184.45087,47.00304
62,45.258827,182.7066,46.968185
63,45.22184,183.27242,46.988514
64,45.190136,182.63902,47.13935
65,45.77201,182.84137,46.744576
66,45.779263,182.75075,46.497982
67,45.736107,182.87856,46.400627
68,45.643528,183.64569,46.66978
69,45.432343,183.52483,46.688484
70,45.312557,184.01976,46.657368
71,45.779358,183.10109,46.51752
72,45.70462,184.3264,46.2918
73,45.0729,185.49847,46.8713
74,45.54959,184.99709,46.19344
75,46.110657,183.03462,46.150856
76,45.874336,183.8055,46.104195
77,46.022633,185.18369,46.489494
78,45.377308,180.6213,46.617058
79,45.326767,183.20267,46.96327
80,45.33168,183.61456,46.501945
81,45.462193,184.04262,46.49337
82,45.300354,182.12799,46.908577
83,45.14688,180.19142,46.693188
84,45.13776,182.58772,47.066895
85,45.21727,183.80948,47.09176
86,45.402027,182.63089,46.9526
87,45.467743,182.32324,46.511433
88,45.86003,183.07143,46.549026
89,45.766113,181.92955,46.539314
90,45.936275,181.53294,46.555733
91,45.965584,182.66132,46.3586
92,46.031364,183.08383,46.342945
93,46.118206,181.98264,46.400764
94,45.76289,183.77158,46.60813
95,45.92336,184.34888,46.39901
96,45.961517,183.23909,46.358253
97,45.857006,184.36119,46.286354
98,45.927437,182.39893,46.475967
99,45.615562,183.80318,46.81289
100,45.593533,182.78018,46.653404
101,45.283394,184.27553,46.84699
102,45.56209,185.0018,46.70176
103,45.5056,181.43867,46.839157
104,45.926476,184.9246,46.757973
105,45.614918,186.50577,46.180397
106,45.743298,184.29507,46.406178
107,45.68258,181.647,46.55668
108,45.5109,184.7767,46.497402
109,45.71776,183.8027,46.662395
110,45.310898,183.6221,46.818207
111,45.322357,182.74454,46.830105
112,45.52976,181.68114,46.58623
113,45.596146,184.56358,46.782753
114,45.47682,183.693,46.672394
115,44.905968,181.7278,47.036076
116,45.180546,183.6585,47.197327
117,44.883785,180.62329,46.954994
118,45.599716,182.17578,46.79792
119,45.57934,182.77167,46.66161
120,45.47555,183.8904,46.759727
121,45.80813,183.90094,46.686726
122,45.87173,182.71399,46.27998
123,45.181717,183.32779,46.74613
124,44.806572,182.43663,47.21647
125,45.29922,182.10414,47.088028
126,45.122707,183.5889,47.029938
127,45.26244,183.1009,46.620453
128,45.284702,182.30591,47.08306
129,45.0825,182.79936,46.990086
130,45.31398,183.502,47.028973
131,45.29846,182.98514,46.646416
132,45.323223,183.18835,46.664387
133,45.41328,184.69789,46.588634
134,46.20343,183.34088,46.37776
135,46.45625,183.35658,45.84825
136,46.531784,183.7901,45.741863
137,46.538334,182.68503,46.21223
138,45.51058,183.54993,47.20336
139,45.001137,184.30156,47.032223
140,45.041603,183.21657,47.46576
141,45.58696,180.84714,46.8173
142,45.53008,181.20923,46.62252
143,45.609524,184.95567,46.473206
144,45.765594,183.03035,46.392464
145,45.66386,183.42229,46.552475
146,45.426403,182.63805,46.743187
147,45.665787,182.75467,46.79306
148,45.46955,184.28731,46.632347
149,45.428215,181.88463,46.6965
150,45.205025,184.37979,46.80489
151,45.52362,184.94293,46.68352
152,45.601646,181.90033,46.58717
153,45.579346,185.05261,46.871357
154,45.51354,184.81526,46.37043
155,45.49342,183.0302,46.786655
156,45.5547,183.16441,46.32711
157,45.93239,183.88173,46.34025
158,45.588913,182.60495,46.402077
159,45.424187,183.70587,46.698193
160,45.697624,182.43355,46.724922
161,45.392136,183.12563,46.37613
162,45.53955,183.55893,46.713303
163,45.630013,180.44633,46.685963
164,45.350147,183.34834,46.790825
165,45.617226,183.53725,46.78177
166,45.52651,182.18936,46.923523
167,45.06015,183.92056,46.652283
168,45.718754,183.72966,46.589333
169,45.352192,182.38786,47.017265
170,45.706642,183.27736,46.61045
171,45.709602,182.19438,46.277817
172,45.55177,182.34065,46.62337
173,45.543232,182.97858,46.700073
174,45.5447,181.98822,46.758392
175,45.43356,182.38058,46.738255
176,45.47843,183.81075,46.540375
177,45.803978,183.34525,46.240837
178,45.858524,183.74611,45.991123
179,45.543663,184.59679,46.42759
180,45.579536,182.97775,46.60091
181,45.72314,182.6729,46.70942
182,45.986195,184.59142,46.289635
183,45.91445,182.8695,46.292282
184,45.933907,181.17651,46.48126
185,45.58456,181.33275,46.59242
186,45.740044,183.2857,46.663696
187,45.51649,183.27614,46.76966
188,45.572536,182.67787,46.567154
189,45.221466,182.552,46.784195
190,45.475487,182.03183,46.67679
191,45.290813,182.27135,46.803898
192,45.345634,183.52246,46.951397
193,45.074097,184.5236,46.903603
194,45.17356,183.66023,46.945564
195,45.633324,182.08836,46.816418
196,45.836746,181.87045,46.687767
197,45.649952,183.0102,46.76518
198,45.456978,183.18077,46.653194
199,45.918835,183.51848,46.439034
200,45.876286,183.54935,46.652843
201,45.950047,183.10773,46.483162
202,45.877903,183.12943,46.192955
203,46.10747,184.20271,46.5259
204,45.26611,183.68507,47.053726
205,44.950928,183.27112,47.237488
206,45.11004,184.3842,47.213097
207,45.255127,184.57872,46.886497
208,45.645115,181.958,46.188824
209,46.343204,180.60974,46.22829
210,46.086094,183.21587,46.27207
211,45.78855,181.86964,46.319965
212,46.053745,184.13873,46.247715
213,45.870934,181.49,46.23694
214,46.146015,184.2222,46.26277
215,45.7615,184.27823,46.433212
216,45.808697,181.77426,46.379456
217,45.87581,185.13821,46.464363
218,45.48862,184.21017,46.924114
219,45.762676,184.15105,46.48563
220,45.92406,183.98196,46.36284
221,45.37014,182.23021,46.613617
222,45.329548,183.95554,46.77202
223,45.575485,183.97159,46.57984
224,45.689083,184.04205,46.444866
225,45.73456,184.16684,46.511208
226,45.486942,183.46669,46.36674
227,45.35298,183.85843,46.84755
228,45.688187,182.78082,46.774647
229,45.771683,183.39317,46.338234
230,45.730076,183.34747,46.492886
231,45.708088,183.01431,46.59003
232,45.489586,183.62114,46.9308
233,45.306805,184.21336,46.849724
234,45.168262,183.03436,47.08208
235,45.03831,181.19064,46.837082
236,45.342896,184.96179,46.50599
237,45.88883,182.496,46.427277
238,45.764687,184.67596,46.469006
239,45.89169,182.1862,46.31745
240,45.732773,181.45728,46.728867
241,45.210445,181.15643,46.841595
242,45.341,181.41255,46.986454
243,45.551826,183.74146,46.89207
244,45.366074,183.02081,46.940407
245,45.25013,184.54909,46.966125
246,45.09705,181.98293,46.958286
247,45.40201,184.91116,46.589478
248,45.359394,185.17627,46.881367
249,45.340042,182.83562,46.50192
250,45.27197,184.68346,46.69965
251,45.696507,182.65343,46.358078
252,45.589466,182.967,46.69803
253,45.904045,184.24992,46.32725
254,45.603542,184.04028,46.385258
255,46.06769,183.88387,46.434525
256,45.504337,182.98972,46.5347
257,45.39359,181.59145,46.54622
258,45.485233,183.05429,46.873886
259,45.526096,182.15755,46.472393
260,45.716976,181.69244,46.546345
261,45.619843,184.69414,46.52623
262,45.64691,182.76335,46.691345
263,45.72198,184.1472,46.57778
264,45.655365,183.1401,46.75571
265,45.925297,183.10536,46.45762
266,45.967266,183.88245,46.300114
267,45.813953,184.64818,46.422344
268,46.00486,183.13202,46.025543
269,45.79949,183.11118,46.553253
270,45.740562,183.50089,46.431732
271,45.67357,182.62999,46.59331
272,45.62102,182.682,46.499237
273,45.6307,183.41129,46.688538
274,45.557335,183.80801,46.775787
275,45.545918,183.16801,46.47391
276,45.546764,181.77232,46.77127
277,45.600704,184.8636,46.688255
278,45.80373,183.42595,46.34459
