,k1,k2,k3
0,29.272005,170.73215,55.191948
1,28.079699,183.98122,54.571194
2,26.802975,173.66483,44.498417
3,27.356804,178.60379,56.083874
4,28.646305,175.69458,56.873837
5,29.179771,172.01546,57.2936
6,29.560318,185.27176,51.055393
7,33.90468,162.73976,40.01074
8,17.468224,173.92815,38.02689
9,33.122738,190.40686,41.590073
10,30.956457,192.64386,43.155266
11,24.18837,172.87547,52.43468
12,26.840544,192.91345,47.521713
13,22.840528,173.7355,46.89859
14,32.68224,187.22151,44.016476
15,25.496693,171.72408,46.900845
16,32.610794,166.41982,59.844086
17,22.985323,174.98242,59.288437
18,24.564665,179.96974,55.142284
19,21.485249,191.4781,45.60477
20,21.032776,193.95578,40.0384
21,25.992893,193.72546,54.279755
22,22.92716,177.9379,47.189003
23,26.053688,180.44647,46.261845
24,24.915936,181.28766,48.837997
25,27.79492,185.3281,48.53096
26,28.233824,186.49197,48.460697
27,32.53106,175.76172,46.143627
28,24.022713,174.90324,50.67994
29,23.216993,186.09027,54.86551
30,33.114925,175.68967,44.80306
31,26.500875,189.31285,49.884304
32,24.689375,183.48505,49.437252
33,25.881193,184.48529,48.467823
34,25.502062,181.94357,47.437244
35,24.959372,189.2099,49.836845
36,25.274921,187.45418,48.88563
37,26.158432,184.34122,48.090942
38,27.000578,182.82335,52.30656
39,28.2931,176.82416,46.896706
40,30.023077,181.81615,50.212315
41,29.362198,184.642,50.5757
42,26.603289,183.17801,49.306023
43,23.811502,178.66196,47.75261
44,27.028746,185.41554,52.31081
45,27.193626,175.17766,50.217052
46,28.642788,184.4707,50.99474
47,26.74589,182.77045,48.836456
48,21.012135,185.0667,42.79501
49,31.142578,186.54048,45.84222
50,22.096601,179.38899,54.46175
51,24.77981,194.77144,47.045116
52,26.603863,195.95096,42.515038
53,24.659414,185.48897,45.68264
54,24.811945,180.83441,46.927376
55,34.010773,174.22614,48.141857
56,32.83377,184.72757,38.8195
57,28.72615,175.41557,48.278214
58,26.75976,181.18561,47.15413
59,27.212812,179.2534,42.267002
60,20.433191,184.3612,45.95235
61,22.554455,190.45718,44.005287
62,23.6143,195.59444,44.099476
63,30.529694,180.04028,46.116516
64,25.553799,178.74715,50.486965
65,30.007807,180.69441,49.321053
66,27.57467,178.91928,47.972202
67,25.746048,176.80136,51.435238
68,30.735588,171.35857,55.813225
69,28.752478,169.08205,55.899258
70,27.078758,175.05373,55.228073
71,28.463547,179.86151,48.26802
72,25.482246,179.85707,54.1784
73,25.703772,178.21062,45.551125
74,24.024433,176.62485,55.400715
75,23.819014,187.52641,51.682526
76,30.553587,180.09122,45.4439
77,27.2029,180.9635,40.830048
78,25.811289,183.2919,50.96203
79,27.584171,184.90027,51.60386
80,28.820765,173.80974,51.982647
81,33.434444,170.02493,56.70696
82,28.73706,194.71947,45.525143
83,22.607325,185.36523,39.001606
84,24.388052,176.90343,42.619698
85,28.219063,171.0352,51.799934
86,30.487925,171.6938,50.74743
87,28.91459,176.67812,55.16044
88,26.489178,180.34496,53.800335
89,26.680462,181.59079,48.138313
90,24.883718,183.96053,44.892357
91,25.217276,183.89572,49.843807
92,27.313658,169.54463,56.48281
93,28.177153,169.19815,51.170826
94,26.00589,189.18472,49.665726
95,25.66102,184.44913,48.5596
96,23.320078,193.84625,48.412643
97,22.87484,184.3237,51.78996
98,23.484903,190.89691,50.034172
99,23.278698,191.05154,46.996906
100,21.4911,175.25316,42.99582
101,25.386623,184.89246,44.04516
102,31.487106,178.0457,47.823475
103,27.86657,183.17133,46.547226
104,24.69509,194.56725,52.5374
105,27.156275,172.1601,42.911335
106,25.648766,190.07092,47.18351
107,25.777813,194.66167,51.34237
108,22.402037,184.05334,43.18391
109,28.682962,188.51434,47.276623
110,24.686523,181.26727,49.396996
111,23.692522,180.17386,54.7119
112,32.82646,179.94664,50.04112
113,27.458778,184.02179,41.67911
114,27.3433,191.72842,51.487564
115,32.21986,169.8581,52.488262
116,27.091196,188.89673,39.52552
117,26.237005,180.31973,46.73091
118,27.632551,187.94229,47.453724
119,23.559214,176.23634,51.593536
120,24.39254,174.04968,46.419594
121,28.096094,189.58514,47.922165
122,23.493814,180.47581,48.47838
123,26.131647,192.94089,44.928936
124,24.281452,185.9773,45.44836
125,33.14638,179.79384,47.42158
126,19.494335,184.67787,48.0717
127,31.207699,175.08658,49.834053
128,28.099176,180.06143,42.844536
129,24.86739,191.65166,44.848633
130,24.41772,188.46623,46.28815
131,27.714039,190.00711,50.574753
132,29.765501,183.80273,50.32772
133,27.611221,181.66106,49.82156
134,27.645271,176.1195,51.899334
135,28.606176,181.1265,48.684082
136,29.208437,177.6645,45.63876
137,31.835934,172.46567,54.165382
138,38.225647,170.84065,54.68946
139,22.020605,168.04959,49.537167
140,30.579432,185.3086,51.721046
141,23.818344,182.37099,50.48875
142,25.845125,192.52493,49.230576
143,27.569288,173.53189,46.259624
144,22.10353,180.85258,45.360756
145,26.291487,172.91824,54.61267
146,26.343931,180.15668,51.684708
147,26.62913,180.03351,44.395245
148,34.235676,177.3178,36.486256
149,18.708424,197.15367,44.232903
150,32.857437,191.3407,46.015736
151,18.366438,185.0945,45.511513
152,22.43242,185.52461,45.75458
153,25.45336,186.16776,44.33768
154,25.502708,185.13464,46.68983
155,25.791252,189.62787,51.57689
156,26.323689,174.42511,47.48326
157,29.434586,177.168,51.604103
158,26.823156,176.68924,50.431763
159,35.180733,189.81717,43.653515
160,32.26088,177.74048,36.73148
161,23.304323,177.80014,58.60762
162,24.17596,181.13889,36.5665
163,25.475533,169.07137,58.970318
164,31.9762,170.46172,51.535934
165,25.013287,186.63791,41.039814
166,18.631344,195.14908,35.88242
167,21.218958,184.20363,44.556736
168,28.078386,188.19188,45.13107
169,24.241804,178.99626,43.396667
170,24.118292,188.92076,46.47389
171,24.214872,192.6296,49.296303
172,19.428303,176.3026,46.69315
173,27.382166,175.69029,41.270256
174,24.015244,178.02596,49.038994
175,29.35509,177.43346,53.14646
176,24.928782,174.03255,50.28282
177,31.340473,177.31236,53.63873
178,30.808828,180.43675,52.314476
179,22.173857,186.13402,49.751156
180,18.494267,190.45726,45.105732
181,23.420881,183.6322,45.50071
182,23.061357,186.899,47.600567
183,22.083044,195.07085,43.690685
184,31.249184,175.66544,46.49045
185,27.637375,186.17747,48.879913
186,26.149584,183.10423,47.48684
187,26.155127,187.33975,51.746883
188,27.83386,182.83633,40.80013
189,19.886005,189.74835,40.1321
190,27.151827,188.4058,37.79142
191,24.10194,166.05879,26.688383
192,23.447487,191.12482,52.848736
193,23.292154,192.05077,40.827667
194,25.459463,188.69739,35.86511
195,25.566845,186.05632,39.626663
196,29.510935,180.70113,45.88592
197,30.791306,179.58836,51.247288
198,30.58441,173.10718,51.765995
199,26.780035,169.69812,52.564667
200,18.204031,196.40797,42.057175
201,23.622084,181.35771,47.991165
202,27.858654,184.04352,51.634167
203,27.09391,191.01186,49.03846
204,26.562693,195.16696,46.174637
205,21.79159,169.87366,47.30016
206,23.14114,196.15253,39.86153
207,17.687672,189.51085,41.51341
208,29.289745,185.11063,43.120987
209,28.75508,179.45209,45.149033
210,29.24478,176.74832,47.31114
211,27.05205,184.14294,49.745564
212,30.702297,181.38458,50.50124
213,29.75211,185.84987,47.786915
214,23.904825,178.86761,52.79776
215,26.860182,183.28229,50.246033
216,29.199572,187.31645,50.841854
217,23.246054,186.08797,40.876186
218,17.886778,186.83684,42.25366
219,20.27425,186.35327,40.948498
220,27.19854,186.30515,40.816402
221,26.336098,183.55443,44.873177
222,20.272198,179.40497,38.98825
223,31.725367,197.27519,43.3197
224,30.173983,195.79645,31.428057
225,27.830275,186.96773,33.06626
226,23.34307,188.33467,46.91116
227,21.513268,183.32492,31.20132
228,26.529402,173.58044,29.574997
229,26.504597,184.32881,44.733887
230,26.710354,193.36244,49.040688
231,25.998678,174.3064,47.075302
232,28.606936,185.3369,54.143215
233,26.83108,176.42575,50.24374
234,25.7775,187.95735,46.889153
235,26.63613,183.06166,47.914513
236,23.738592,183.46906,47.51276
237,33.10144,177.0959,49.525864
238,23.867271,176.5869,55.289314
239,33.66168,172.561,56.95396
240,28.51755,185.4855,52.094044
241,26.012363,182.26305,51.346733
242,27.002851,185.47856,52.68719
243,22.940521,186.39989,48.77646
244,33.360764,172.06445,49.502068
245,34.092297,160.23747,50.527348
246,24.008556,180.6873,57.222355
247,26.175346,184.72362,51.41867
248,28.567787,183.18196,49.79376
249,26.879234,188.77534,52.896473
250,22.441507,182.77432,40.67794
251,26.725424,186.36606,49.82077
252,26.282352,186.67586,43.659805
253,22.904516,201.43657,46.22414
254,27.674227,185.3666,45.0285
255,23.28944,184.32486,46.28327
256,27.470297,176.52075,53.073257
257,30.307005,177.42685,50.972157
258,25.68891,174.38779,51.039234
259,29.38406,182.87259,49.482525
260,25.1105,188.01945,45.009254
261,24.736456,179.08397,44.77799
262,24.60102,188.21642,49.677242
263,28.4008,184.3272,49.929104
264,29.671993,168.54971,52.72478
265,32.759724,184.33104,47.401688
266,30.15404,183.73105,48.460518
267,27.049835,173.04427,47.28187
268,30.821579,188.24307,41.89401
269,35.652576,182.54022,37.69492
270,31.180458,175.88115,53.124996
271,23.468054,178.06886,56.489788
272,29.929953,180.81113,50.949093
273,29.5787,177.6635,56.226303
274,22.944738,171.33475,48.765903
275,24.953964,188.9759,47.1026
276,26.432404,186.65833,43.442516
277,23.039474,181.82115,52.422737
278,29.61042,175.08952,51.12773
279,28.189268,171.4057,56.188213
280,28.254944,176.6995,53.171585
281,29.425112,181.67645,47.197388
282,22.040577,179.01979,57.12249
283,27.605421,179.81737,45.446663
284,26.806072,179.1761,46.459682
285,26.956194,171.52258,51.419323
286,29.36974,177.8912,51.093174
287,22.817066,189.45862,46.244095
288,27.31536,175.65259,34.463913
289,21.872334,179.77963,58.703735
290,23.421621,192.40608,41.844757
291,22.547861,191.5435,49.981632
292,26.721022,189.05824,50.178272
293,27.768173,175.2845,55.875614
294,28.846474,176.6104,54.997993
295,29.794264,173.61938,52.18048
296,33.91877,171.35863,55.521626
297,24.919203,174.408,59.58614
298,28.608913,177.12962,56.47159
299,24.686895,177.42769,49.348125
300,25.93366,186.2371,47.96058
301,26.46684,187.78972,50.254635
302,30.097345,181.70287,53.05514
303,20.320992,184.68279,38.88791
304,24.102253,184.45065,42.709053
305,29.190332,176.54782,59.01188
306,27.448334,179.39525,45.947506
307,28.939478,184.25848,48.954395
308,22.900187,186.43088,45.80484
309,27.836744,183.28952,47.32582
310,25.661465,177.52834,53.27266
311,27.976315,177.07077,50.10384
312,27.128706,181.70142,51.06736
313,28.728302,179.76686,52.07059
314,28.648796,173.99057,53.55009
315,27.114412,167.92554,49.135723
316,21.504848,192.84872,42.439632
317,25.397966,175.33348,42.371326
318,17.181232,194.14693,51.7478
319,31.172203,191.22282,44.794247
320,27.57469,170.06776,50.76093
321,27.6489,170.23207,56.136917
322,32.633896,173.65315,49.025726
323,24.991842,174.09238,47.584587
324,19.06644,187.32318,46.486694
325,24.697756,162.05779,48.13966
326,27.880766,191.12708,40.077015
327,27.312138,185.02963,49.13029
328,23.985577,183.82321,49.289276
329,28.768211,180.42358,52.661762
330,28.479591,182.41176,46.84308
331,29.005682,183.28972,49.305393
332,23.40285,187.65762,48.01644
333,29.052126,179.57666,38.408447
334,31.203232,181.62964,36.7462
335,30.378534,180.23265,48.379593
336,24.82756,182.56566,47.47984
337,30.832876,177.05634,48.191795
338,25.089808,167.41681,51.75304
339,28.882769,192.70328,44.105663
340,33.147137,167.92804,39.03816
341,34.402645,166.42009,62.972206
342,36.413105,165.55948,62.346657
343,32.053646,167.79713,55.199413
344,28.718065,179.4273,54.188297
345,28.83241,170.38554,53.377396
346,32.011677,177.79085,52.726864
347,22.484964,186.6023,46.477226
348,25.697794,194.06287,42.042248
349,23.682165,177.07062,48.559387
350,23.990541,185.7089,31.275515
351,22.99155,174.62675,48.041134
352,34.478035,174.52917,49.562916
353,24.909145,177.32178,47.369656
354,30.05928,176.34239,53.46994
355,30.046743,181.97952,44.993732
356,26.319271,176.29082,60.415565
357,19.908121,180.2642,43.919262
358,24.653908,183.58948,45.922546
359,26.158049,181.16245,47.741848
360,29.212019,188.37134,30.482513
361,19.690775,180.19427,38.575687
362,27.45122,180.78984,37.717564
363,27.911383,172.73512,56.4971
364,37.886143,176.226,49.58332
365,36.71206,172.47346,46.208702
