,k1,k2,k3
0,39.905685,193.8305,56.341908
1,38.51564,189.37675,58.690735
2,39.27866,189.91193,54.87817
3,35.446037,194.65686,57.077293
4,42.42634,191.11334,47.84829
5,45.032497,188.58899,47.98175
6,43.117344,201.71335,47.472538
7,36.01669,197.029,56.203346
8,39.531124,195.2112,48.52249
9,35.526875,195.42911,48.38138
10,38.110336,195.48251,49.843193
11,38.078617,196.53014,53.181618
12,38.29202,193.08583,50.094345
13,37.464603,194.63629,55.346313
14,40.35483,192.33362,52.287373
15,38.843033,193.27322,53.056145
16,39.42788,197.46124,53.191532
17,40.15856,190.11049,56.32625
18,38.74332,193.76106,57.553467
19,41.739956,196.14,44.959187
20,36.23052,196.3295,48.399784
21,38.103645,196.97253,55.248512
22,41.502193,194.47403,53.031807
23,38.598175,193.96144,51.193584
24,37.373993,199.22282,47.992912
25,42.758553,196.08337,52.489223
26,36.336864,193.2394,52.595425
27,38.639385,188.8118,52.81891
28,34.43981,193.49048,48.701435
29,43.992,190.2432,48.81031
30,43.89295,192.1495,50.682297
31,36.49445,194.26976,48.565193
32,39.151127,192.5228,53.945934
33,40.671185,189.4494,52.073833
34,37.421734,190.29659,49.939537
35,39.559868,197.19531,50.87037
36,36.87714,193.21591,53.531258
37,37.09703,189.5155,51.90631
38,40.545246,193.51807,52.06464
39,40.65243,191.37985,52.603268
40,42.703682,189.9144,57.320766
41,37.85397,197.38358,53.84828
42,37.96145,194.93361,50.75547
43,39.717308,194.77164,50.428123
44,39.283134,200.4712,51.338776
45,41.789467,190.93135,51.897644
46,40.502056,193.46239,52.774803
47,38.58642,193.18051,52.77225
48,36.77173,194.62329,54.507465
49,35.89798,197.46107,51.597202
50,38.76927,195.63875,54.742
51,36.22248,193.78343,50.45965
52,35.82574,195.99854,48.442688
53,39.042385,196.01573,48.883675
54,38.047943,196.99133,51.411533
55,37.274284,195.966,51.133255
56,36.32721,197.2012,49.309124
57,39.149498,194.402,52.09456
58,38.125122,191.51196,52.99041
59,38.564312,192.28683,53.692154
60,38.473892,190.31575,52.458057
61,40.818447,197.53314,54.587414
62,39.979656,191.93962,53.662193
63,39.599487,193.4071,54.444077
64,38.594734,194.66707,52.988426
65,42.635098,194.51869,52.530525
66,39.045605,190.87436,52.14853
67,41.364147,198.90552,50.723717
68,36.97945,197.756,51.704285
69,39.06163,195.46675,51.973034
70,38.22752,194.89575,52.642784
71,39.650322,192.86423,53.830643
72,38.533188,195.46785,53.735634
73,37.686146,191.62926,53.05576
74,35.834213,196.67656,54.436646
75,38.84032,191.16238,54.9438
76,38.86376,189.69861,53.28125
77,39.14347,196.88191,55.001144
78,40.02862,189.44353,52.992622
79,36.743683,189.53459,50.217083
80,39.552383,194.73991,59.120544
81,36.713497,193.1781,53.624237
82,37.408566,186.70189,53.81641
83,36.59771,196.17734,52.880585
84,39.986847,194.61723,52.300583
85,38.201344,194.18976,51.612793
86,33.018883,191.7524,55.711365
87,32.8035,191.98679,54.05465
88,33.80776,194.04965,55.14692
89,44.73083,192.5538,49.90435
90,41.09536,194.1986,55.569977
91,38.93081,198.45633,52.63459
92,39.18127,192.06992,51.668476
93,41.263283,191.04962,55.105064
94,37.768368,194.55481,53.515858
95,40.73292,194.6802,51.083317
96,41.262135,193.14275,49.677227
97,41.865955,192.5218,56.816166
98,37.280445,196.05357,53.791588
99,41.415466,195.25275,53.146606
100,39.032757,197.28061,53.014317
101,40.055374,193.1448,55.394073
102,37.22487,187.2745,52.435524
103,39.218536,193.0607,50.599197
104,39.164906,197.12343,54.771816
105,34.475754,193.79248,48.857994
106,40.56334,190.24501,50.308746
107,39.90159,195.71608,55.62075
108,38.659435,195.30154,50.719517
109,36.32707,194.02191,57.778732
110,34.620182,189.68944,47.274517
111,40.048603,210.79851,47.44241
112,39.87773,209.66962,49.274433
113,34.75906,206.91226,45.35004
114,34.394978,200.89342,44.376286
115,33.187027,201.12497,44.70479
116,34.34059,200.13216,48.253128
117,35.384125,198.64244,47.919643
118,31.87532,198.4668,46.16968
119,38.082417,196.38075,50.11368
120,38.460327,193.96237,53.905994
121,38.794476,194.22481,52.90286
122,39.563408,194.40262,52.30024
123,38.517437,193.92867,52.243553
124,38.97226,195.23685,52.07886
125,36.8438,190.82611,51.887833
126,37.089935,191.66423,53.950775
127,39.055897,191.70961,53.69259
128,40.17116,192.33917,56.4039
129,38.514496,191.80742,45.54541
130,37.81183,192.13615,48.70667
131,39.00205,202.81046,51.09044
132,40.10795,195.37369,54.79687
133,40.12899,190.02962,55.29332
134,40.393394,192.57953,55.761784
135,36.350536,189.93031,45.958485
136,35.63029,200.05809,47.735123
137,37.204407,197.32925,45.34261
138,37.53714,196.62604,47.20854
139,36.825626,191.92911,51.714878
140,37.220627,196.96333,48.55545
141,38.980026,195.53513,52.06348
142,42.046486,194.23611,51.430756
143,39.790627,190.09402,56.675888
144,37.415596,191.79443,51.96923
145,40.036713,194.3221,54.053135
146,39.682716,194.23756,50.36858
147,34.77127,194.883,51.367374
148,38.263123,191.07768,54.715614
149,39.771736,192.75533,49.458347
150,37.266087,180.29749,54.89096
151,34.49585,179.43643,52.40941
152,36.1154,203.565,53.94107
153,50.616478,194.77753,43.105537
154,33.374634,201.6754,43.11354
155,33.968266,201.30887,43.708427
156,36.70698,201.77457,44.55958
157,32.73055,195.05362,46.074642
158,46.081425,192.66765,50.746292
159,37.100014,194.87218,48.4613
160,40.243923,194.80916,49.67071
161,41.373363,194.31158,53.256123
162,38.69682,193.18918,53.141087
163,38.97831,193.51035,53.515068
164,39.51209,193.43153,53.19259
165,39.164562,193.42322,53.70299
166,38.30434,194.11563,51.513622
167,38.466137,194.0204,52.91926
168,41.10824,197.06609,50.856388
169,39.738243,192.9207,54.776436
170,39.74043,193.23163,54.472908
171,39.079514,193.61804,54.476025
172,39.095577,194.16396,53.522602
173,39.02534,192.93677,53.043114
174,39.891422,194.08531,52.86789
175,36.363228,191.76292,54.411293
176,37.006355,192.78062,50.806015
177,38.812145,195.27942,54.904358
178,37.73791,195.07094,51.58836
179,38.90448,195.80469,51.916355
180,41.062622,195.75314,53.41378
181,40.45859,191.47281,53.21746
182,35.737495,194.76678,47.03067
183,39.703484,191.15817,54.02869
184,39.400036,194.06647,54.675617
185,37.86004,193.64334,52.219986
186,40.852528,198.81401,53.59632
187,42.26622,193.6617,54.26324
188,35.988297,192.73985,53.637768
189,40.846767,196.41422,55.930885
190,38.45367,191.54312,52.730278
191,42.927647,194.38255,52.668064
192,37.96453,188.44608,55.497368
193,36.93233,196.7667,52.404217
194,39.853767,189.66808,51.845642
195,41.59316,196.46918,48.17357
196,35.770397,192.8556,55.07968
197,41.45623,193.60277,48.090015
198,35.46407,193.51662,48.807697
199,39.0378,195.16438,49.17328
200,33.888206,186.41331,51.07047
201,38.907867,200.44917,50.810547
202,38.948612,192.88104,49.987686
203,39.51802,192.25375,56.183155
204,39.191208,202.27573,54.94173
205,43.996494,202.66107,55.183956
206,42.680912,205.10936,47.758217
207,39.555553,181.46794,59.381233
208,35.515625,195.99515,43.684772
209,36.52352,203.55122,48.926365
210,36.516,199.04546,48.470123
211,36.921333,196.92401,48.52115
212,37.853027,197.50998,48.45298
213,37.975998,198.40201,49.072624
214,42.444817,189.41525,52.366806
215,40.324734,201.15767,50.530518
216,37.059864,200.41039,49.70136
217,35.137505,196.36668,48.85951
218,39.13751,192.8612,48.89053
219,35.895893,190.90623,52.02817
220,37.46583,199.43182,49.953453
221,37.016262,196.02847,50.185974
222,37.9807,194.73125,53.501343
223,39.413624,192.92877,54.503902
224,40.28413,192.11543,53.890896
225,37.212116,196.91983,51.38362
226,41.394764,191.65666,53.873894
