,k1,k2,k3
0,174.42715,202.8654,223.64436
1,178.24904,207.34058,217.89044
2,187.28441,203.73122,215.04736
3,183.41364,208.658,209.88216
4,175.27797,200.446,210.11543
5,202.93279,218.76933,218.34175
6,171.32257,198.44043,210.65639
7,21.463268,66.19486,110.09603
8,28.449532,78.363716,126.79855
9,176.56581,202.4536,216.35747
10,71.28936,122.68449,159.891
11,170.7642,196.57953,199.84378
12,70.63243,125.23237,162.61397
13,63.51958,120.98134,150.39519
14,157.76431,188.97707,209.60475
15,113.769356,159.43109,184.85324
16,36.767815,85.524414,125.786766
17,152.24728,188.1492,203.17282
18,110.834854,155.99911,177.21071
19,229.97226,233.12047,228.35283
20,67.11756,117.487434,151.32872
21,15.8843565,50.469917,113.832535
22,26.954754,76.026184,112.80746
23,73.369865,126.5435,160.28534
24,83.43833,135.3045,166.99896
25,192.81256,209.36963,208.39706
26,91.70129,147.36664,172.12073
27,197.21477,210.606,226.58296
28,77.22526,125.08335,157.22931
29,14.647153,49.445908,110.84038
30,41.80902,83.37028,127.94792
31,25.968424,63.4526,122.77985
32,219.90889,221.66678,237.29883
33,169.00732,195.13002,207.7691
34,142.94339,184.33719,187.19083
35,142.39062,180.30887,190.3204
36,172.11603,192.6395,213.39754
37,135.91847,178.2385,185.23726
38,210.66154,215.12204,214.17482
39,101.69796,150.44891,175.08888
40,91.45612,139.10161,171.07033
41,104.37293,154.7059,171.96097
42,202.86082,210.79883,221.4238
43,161.8495,191.55502,206.02406
44,67.257324,120.29176,154.30717
45,152.49448,185.88052,201.12416
46,92.62296,146.31367,166.35632
47,236.7777,238.44041,242.99812
48,29.461735,81.47435,121.39989
49,82.40963,137.12576,163.05191
50,53.121548,101.235344,139.63846
51,121.56207,160.02357,184.01851
52,170.31398,196.5422,209.74136
53,119.47427,163.99728,192.48909
54,229.43909,230.18176,243.17844
55,226.43976,222.2702,224.99904
56,86.648315,135.64055,161.0014
57,82.254776,132.59372,162.12012
58,70.63576,121.10611,159.51437
59,79.731285,137.5431,158.24306
60,129.97644,167.05128,189.53227
61,223.64954,228.48492,230.41838
62,80.76375,127.72836,159.77846
63,197.10619,210.06383,225.10367
64,202.10095,213.67522,225.29842
65,98.338234,144.36792,168.67513
66,75.45584,126.54955,158.89827
67,102.48312,152.42058,174.91383
68,186.25613,208.29558,225.45476
69,229.40154,226.15216,235.3815
70,241.2817,232.52512,249.7436
71,131.67453,170.86452,183.53416
72,133.75186,181.55568,182.50247
73,198.95259,212.1043,211.89474
74,240.13434,242.45593,247.70056
75,97.198135,147.52847,167.65858
76,217.93156,220.68602,238.75871
77,179.86716,206.4729,200.20728
78,50.591267,105.93383,149.10039
79,56.519997,113.74909,145.48412
80,157.5048,188.09042,204.4482
81,192.38904,201.25662,224.47018
82,214.44937,221.3609,243.1086
83,149.01834,184.96468,191.18849
84,134.49811,172.61081,192.14894
85,36.282085,87.57212,132.3078
86,115.4435,162.40666,170.83313
87,227.31532,232.69473,238.1669
88,10.348448,41.805634,112.69616
89,155.04729,189.98482,203.78056
90,149.09488,180.20738,207.26482
91,134.75757,169.84177,203.8348
92,48.81513,97.543015,143.60464
93,59.705235,114.073845,149.96904
94,134.87083,170.94627,193.8162
95,130.63815,172.9882,190.44713
96,29.100817,73.324036,124.0061
97,199.97961,210.72847,225.84291
98,139.01569,174.26115,194.80956
99,39.45545,82.837234,137.48679
100,57.293575,109.316284,150.42592
101,161.1858,194.92883,199.03874
102,175.36742,197.10849,210.77383
103,116.85987,164.4433,182.6745
104,85.70986,138.27078,162.2007
105,151.07002,183.42569,202.83043
106,106.223785,150.9316,168.54604
107,154.09239,182.38889,210.06287
108,238.92078,232.37894,244.51207
109,54.2876,104.88084,142.26277
110,217.773,222.21468,220.49901
111,35.174465,87.717384,133.13106
112,176.98306,198.7645,212.8743
113,60.021908,109.76419,140.47568
114,220.27596,221.8466,237.5807
115,186.86845,205.66275,218.82414
116,84.10756,136.65512,155.53227
117,132.45303,175.58815,191.7744
118,188.71979,204.2427,212.78033
119,149.63039,186.94604,201.60736
120,232.17685,236.39835,246.00761
121,118.52195,157.58008,180.42928
122,224.12253,226.1173,233.66617
123,103.6788,152.40071,171.7615
124,164.48099,193.0779,203.62302
125,81.54273,128.49408,159.11769
126,203.70824,214.80255,218.17781
127,161.97694,191.34865,198.26619
128,113.188675,161.39526,179.01694
129,165.85887,192.49666,201.54074
130,25.709204,67.46486,123.12949
131,53.60051,100.96711,145.26422
132,127.93583,173.5851,186.03891
133,27.431265,75.98244,114.24848
134,151.67252,186.64964,196.56836
135,115.45052,156.13785,181.46977
136,117.130936,163.29692,181.40709
137,213.92352,218.28268,239.37941
138,121.38955,166.95253,184.31857
139,105.74919,150.26689,174.00192
140,145.5073,182.76399,197.02805
141,61.87804,108.11799,142.94693
142,237.64833,229.93022,233.8892
143,205.15926,218.36363,234.73447
144,160.45845,185.24457,204.21812
145,90.368454,142.60057,162.35982
146,216.28876,220.96153,229.39177
147,213.60872,219.14703,221.93681
148,129.49605,169.93292,194.60596
149,85.941376,137.91325,161.09113
