,k1,k2,k3
0,162.81348,52.25604,79.91209
1,219.574,50.56081,106.94842
2,178.86668,49.899628,84.13188
3,235.53639,49.1964,106.28218
4,63.330368,33.24186,14.722861
5,228.04395,52.54428,112.724846
6,245.1499,51.871998,127.97211
7,230.59103,52.1341,107.651115
8,184.71552,56.5268,93.098694
9,166.57072,50.97441,73.57195
10,201.34326,51.62638,99.14486
11,217.95105,52.21165,108.29762
12,154.71834,47.813797,68.958
13,206.42642,50.888107,90.072136
14,229.95345,49.459072,118.52158
15,210.28262,50.791157,101.30209
16,248.68831,52.089165,133.61685
17,106.21151,40.132317,44.537163
18,202.02078,50.05734,98.69937
19,178.80675,51.358467,81.17536
20,189.19577,52.069134,77.40081
21,127.692665,46.678772,51.22098
22,245.29321,49.49716,127.534096
23,232.29758,50.11014,118.436455
24,222.96384,53.264416,117.44468
25,232.45667,50.69325,111.68929
26,186.7187,45.220287,92.62782
27,164.49626,47.688206,78.83669
28,177.05968,48.960358,81.43701
29,193.12955,52.856823,98.14181
30,133.329,49.426224,52.78683
31,73.48262,39.74141,24.80715
32,188.74953,52.505653,100.54698
33,144.48936,52.02396,70.31207
34,159.83438,50.42821,74.02208
35,178.02876,52.98278,93.23385
36,241.15514,52.172695,123.346504
37,203.09512,52.67448,102.113976
38,231.58354,51.28854,115.027374
39,188.94571,49.16637,82.755196
40,64.74694,39.391205,25.296402
41,31.722591,27.076147,13.858762
42,69.65665,35.160976,32.844524
43,114.10789,46.881836,51.477554
44,227.09462,46.918434,109.736275
45,197.2486,54.603146,114.8564
46,170.94817,51.73092,82.418434
47,176.42073,52.134884,81.067635
48,239.8062,49.92447,111.275505
49,52.763012,30.850939,21.215117
50,152.43472,52.455017,64.12978
51,106.97038,44.584957,49.764202
52,79.60219,38.18806,32.382465
53,170.77562,55.246414,82.920166
54,106.254295,41.332867,50.55727
55,137.33022,49.035038,62.238297
56,181.1522,52.403877,81.88285
57,209.54076,51.676003,99.18625
58,92.90432,42.85294,38.925114
59,243.9651,49.984413,125.58274
60,214.83614,49.986515,112.337524
61,185.0273,49.98204,89.37618
62,165.17917,49.17621,73.93064
63,141.46384,48.374672,66.62335
64,95.60178,43.953793,45.147743
65,206.6041,52.758755,95.84439
66,202.09064,49.615303,102.41539
67,248.53384,46.78141,123.23392
68,98.03977,43.0264,44.609707
69,217.07227,50.886517,105.97181
70,100.58141,43.828213,48.32842
71,176.52199,55.63811,85.70766
72,222.93127,48.864223,104.53774
73,88.81601,42.566696,42.385307
74,215.64452,53.514057,119.44322
75,181.19519,52.017673,92.68356
76,223.0298,51.39581,115.482185
77,221.18047,55.585934,118.5595
78,180.15639,53.106197,86.204666
79,241.97557,55.25597,131.62999
80,211.68172,48.631596,107.41414
81,248.1412,50.108448,116.81726
82,157.3681,53.564175,78.10483
83,95.39899,42.314194,41.739433
84,120.27057,48.432102,56.70691
85,204.92459,55.397667,102.25663
86,184.83806,53.859776,85.10663
87,143.92668,52.38726,72.62018
88,94.89948,44.13067,38.33668
89,172.35023,50.973965,77.248276
90,152.97157,53.48878,83.630135
91,225.07054,52.650253,120.98307
92,150.7816,50.85098,65.19103
93,227.44496,51.202343,116.88652
94,24.392801,23.456507,18.84218
95,55.10305,30.037361,23.605194
96,172.96826,55.221622,81.27931
97,131.32584,47.851345,58.300945
98,158.08821,50.664738,76.432434
99,48.79106,36.44626,16.451435
100,114.1069,45.77706,48.59142
101,62.670467,39.041344,22.657291
102,150.28384,49.263004,67.95157
103,182.23157,55.00334,93.92527
104,165.33513,51.218884,79.047775
105,202.29024,52.054012,95.26528
106,149.73335,49.12279,72.25138
107,245.28915,50.32357,122.943695
108,231.25014,51.22889,108.421425
109,237.6514,51.558243,122.90344
110,157.76328,52.33698,73.761955
111,172.21059,50.070072,85.615555
112,237.69742,50.118668,121.853455
113,155.37622,52.235268,78.42768
114,115.724266,46.665867,52.612236
115,212.73756,55.814777,108.72377
116,220.70691,51.283894,103.61923
117,236.4017,50.980648,118.73089
118,186.50139,52.32437,92.13511
119,206.8376,52.288754,101.49813
120,157.92915,48.51831,75.85053
121,165.74539,45.99738,71.40974
122,240.44563,47.329556,128.97166
123,218.81123,51.972507,115.28126
124,241.13646,49.912262,116.757225
125,193.4778,50.62564,96.4806
126,121.82328,44.96889,45.907616
127,222.93814,50.36875,113.43908
128,211.90471,48.42538,102.980125
129,218.00168,52.685963,110.3275
130,197.59052,57.48015,109.644966
131,235.89754,50.37301,122.54559
132,111.548065,40.1317,41.29615
133,183.46823,54.17548,99.792015
134,177.37158,54.89144,91.731575
135,203.33607,53.616146,102.380196
136,202.40201,48.91891,98.9137
137,198.87082,52.619045,94.76302
138,210.62062,47.912815,90.80677
139,163.35056,49.772366,83.890755
140,193.44263,52.6951,103.31136
141,210.85454,50.835938,105.9749
142,227.09204,50.83285,119.2974
143,205.60115,54.936783,102.00479
144,154.05133,44.553814,65.36944
145,243.37848,50.94288,120.87539
146,136.26385,47.660988,62.137413
147,222.23203,49.90258,108.08447
148,190.46185,49.4619,99.87673
149,160.98946,52.740047,84.72388
150,90.62244,40.348152,35.758
151,125.88961,45.60719,51.75144
152,90.14509,44.172104,38.43539
153,227.93906,52.89215,120.07402
154,227.26974,51.528076,117.14599
155,175.95099,47.930897,81.16591
156,237.79639,51.921356,119.46644
157,233.54161,49.465885,121.10152
158,247.75096,51.779137,126.60899
159,220.13426,52.478214,108.690956
160,119.08802,51.74817,60.43005
161,150.88275,46.05504,62.44705
162,72.55051,38.684555,32.545082
163,182.62646,50.63646,83.61321
164,224.67624,52.898525,122.93122
165,147.048,47.081512,69.71778
166,109.06093,42.84045,44.397247
167,102.03634,41.91116,44.525238
168,36.014328,34.719772,18.546608
169,173.5362,53.354645,90.50579
170,221.09229,49.88901,115.4347
171,177.70952,50.98085,88.60746
172,192.98766,54.831524,100.64418
173,94.183846,37.383114,33.561028
174,93.12779,40.603764,34.960556
175,100.16266,43.75481,48.545288
176,79.92348,39.75632,31.868303
177,96.37922,41.867374,42.747963
178,128.68915,46.04397,63.802223
179,136.45947,47.215057,59.769123
180,230.27705,50.777233,116.71781
181,235.58092,51.815052,125.97046
182,219.77856,48.403423,102.42331
183,138.2818,47.128857,62.86968
184,123.83261,47.146744,56.98717
185,238.14792,52.1161,124.80132
186,243.68312,46.867886,124.59018
187,150.53302,50.419456,72.93115
188,77.874504,41.520447,36.825226
189,99.978935,45.543148,46.809425
190,71.596054,38.16926,28.89494
191,184.15358,52.756435,89.434654
192,235.93097,51.37518,118.82904
193,224.27338,51.906967,110.67089
194,179.1011,51.070316,88.78409
195,225.7279,53.724228,113.16713
196,213.18106,49.10309,100.29977
197,199.98314,51.542606,92.89074
198,246.82956,48.35435,121.52549
199,197.28021,53.267162,102.74934
200,205.4384,55.439995,113.48654
201,241.69154,50.42372,123.902054
202,218.98004,53.979828,113.70367
203,158.64807,49.528877,82.006035
204,117.20435,48.669724,48.554806
205,238.8763,49.153397,122.50041
206,129.89124,46.727245,56.180714
207,164.53142,49.587605,75.22402
208,229.46115,50.765053,107.19445
209,156.75308,49.00005,70.78939
210,204.97823,52.835873,103.51985
211,218.77484,50.792515,107.32109
212,173.32431,51.50723,80.82484
213,171.96626,53.799706,89.263
214,119.030464,46.66494,54.431877
215,127.94371,45.305634,54.123203
216,108.142586,47.70373,55.051132
217,204.85388,49.98366,97.35771
218,170.39337,50.02058,84.74182
219,239.2942,49.27041,111.7691
220,217.43211,51.034878,117.875755
221,134.4557,49.75954,58.088627
222,149.15761,44.38077,57.958843
223,248.23395,54.729343,135.90366
224,224.52107,52.794056,111.790184
225,216.06335,51.983162,105.02566
226,236.86385,51.014225,125.16703
227,230.23228,48.813953,111.818954
228,180.47992,52.65412,87.1349
229,234.8412,51.856285,123.02013
230,170.65164,53.8628,91.28786
231,211.81073,51.58424,105.31314
232,218.89548,51.80463,110.621605
233,220.50069,49.7669,119.79695
234,212.1522,53.707947,113.73728
235,206.02419,52.93639,109.285255
236,245.19667,48.18701,120.14854
237,154.23141,47.70877,63.889698
238,141.61514,51.54645,66.46201
239,160.68134,49.867256,74.42506
240,140.00816,50.30081,62.532303
241,18.841276,16.689245,6.3907976
242,219.54852,49.748886,111.130066
243,195.35265,50.459175,97.971825
244,240.08972,50.819252,125.27822
245,170.92365,44.04464,71.828094
246,87.629395,38.47335,36.803406
247,169.2002,44.835197,76.11035
248,151.46219,50.948357,72.40052
249,92.748055,43.87659,38.028175
250,87.88732,41.15604,38.594646
251,195.95335,55.84737,96.92108
252,106.88777,38.78988,39.813698
253,156.79196,48.741688,68.10043
254,181.52895,49.567833,88.004234
255,245.61607,51.897488,118.66562
256,230.33255,49.98554,119.01043
257,112.91397,44.860455,51.314045
258,239.36368,54.63228,121.04447
259,122.98013,43.474968,50.04693
260,234.00476,53.019154,121.58639
261,182.96754,50.831493,86.88642
262,211.69035,53.53041,115.82413
263,187.4265,48.53958,90.611664
264,159.70145,50.285328,69.76011
265,249.32935,51.961483,138.84479
266,128.89937,55.22797,58.155235
267,141.66818,49.495922,70.53478
268,234.29005,49.76434,120.85852
269,239.62883,51.77999,117.396614
270,222.27965,54.432476,120.32541
271,215.56061,52.553596,110.055466
272,239.50957,51.882835,114.13585
273,188.68118,52.441193,92.01569
274,237.12225,49.97305,112.00942
275,205.38107,52.718502,103.48014
276,237.05621,46.14622,124.62345
277,95.69173,40.411625,40.482773
278,80.00847,39.57063,36.0088
279,87.81775,37.41411,39.62669
280,240.4658,47.197063,124.84066
281,200.10992,47.742897,95.1496
282,125.21989,43.54488,52.909424
283,66.45098,36.508106,21.924988
284,223.34589,49.265778,97.38704
285,222.1723,51.639385,108.76064
286,248.49448,50.188896,123.57795
287,90.469536,46.053837,40.385155
288,143.80228,45.95063,66.764786
289,202.51656,52.984413,102.09709
290,118.59402,43.64927,57.088585
291,235.9312,51.348953,119.62261
292,150.03098,50.99518,69.01404
293,141.4145,48.93515,77.48721
294,44.535236,25.2747,13.634774
295,182.58017,47.67982,86.06155
296,236.06473,51.529457,116.87822
297,200.83902,52.78586,116.182724
298,209.66301,49.063515,103.07327
299,233.70335,52.22473,125.367355
300,187.01219,50.110516,95.80745
301,184.09763,54.977818,89.79833
302,112.38125,49.312534,46.655056
303,100.64187,45.15724,46.89234
304,161.0909,46.644165,76.223656
305,209.25768,52.293133,110.52877
306,231.27551,49.35192,122.876396
307,213.6176,48.458736,96.77163
308,204.38379,48.689503,102.832054
309,213.46674,48.879192,103.05382
310,213.12854,51.169914,102.446266
311,206.31541,52.196407,105.2046
312,214.92282,52.993423,102.350746
313,229.14124,49.56593,110.390396
314,190.46591,51.68029,93.18714
315,246.13539,50.64399,121.01588
