,k1,k2,k3
0,16.509647,152.9536,53.219933
1,20.445272,157.48593,52.742996
2,28.177958,170.38734,53.20113
3,39.489025,195.0407,52.47332
4,37.98177,190.18124,51.848183
5,40.737812,205.66283,52.217163
6,34.099392,179.20934,52.611397
7,42.589382,222.63046,52.11312
8,38.46466,192.79025,52.153355
9,38.305428,194.32428,51.85171
10,35.098175,180.029,52.2199
11,35.78108,183.65471,52.44747
12,43.595024,243.55833,52.197456
13,43.07068,244.74097,52.04995
14,42.231483,225.84947,52.433865
15,42.382374,233.09306,51.876892
16,41.983078,224.44707,52.089054
17,42.861588,224.37169,52.076527
18,33.446243,180.31653,52.37234
19,33.659492,178.49995,52.628902
20,39.00936,193.52812,52.202526
21,41.19625,216.74207,52.22656
22,38.5687,187.16214,52.328156
23,30.141693,172.58124,53.013866
24,39.009754,196.15121,51.862392
25,33.62028,178.51056,52.574425
26,42.188515,212.81923,52.278778
27,38.603508,189.49034,52.56558
28,40.586357,203.45624,52.139637
29,39.244366,195.64569,52.209103
30,40.719944,207.70279,51.87633
31,43.487984,245.77342,52.19352
32,39.507217,194.31631,52.411163
33,36.94973,185.74284,52.762756
34,39.645134,200.96518,52.129623
35,38.52812,192.66676,52.40442
36,41.190117,202.97343,52.334972
37,40.596714,205.00883,52.0465
38,41.633446,218.35593,51.999794
39,43.77506,249.59625,52.30634
40,39.258038,191.78032,52.4908
41,36.135963,182.7899,52.60837
42,39.37375,195.89668,52.17947
43,41.720253,207.1473,52.601124
44,44.31168,246.80235,52.561996
45,41.644745,214.97902,51.958923
46,37.569706,188.58258,52.305676
47,40.663704,205.08252,52.24267
48,38.14717,190.97891,52.137283
49,39.138138,196.18182,52.207817
50,35.16633,179.93097,52.432396
51,41.49698,214.8725,52.09311
52,40.688538,205.25787,52.231388
53,33.185318,177.85027,52.459766
54,37.656387,186.01236,52.560562
55,40.595768,204.7815,52.113647
56,40.696953,205.17181,52.121628
57,35.599934,182.47807,52.688908
58,37.066044,185.49529,52.47225
59,31.333641,174.99516,52.61417
60,33.267223,176.62024,52.442764
61,35.35327,181.34378,52.13625
62,41.134956,211.56827,51.892593
63,41.90906,227.01729,51.815544
64,38.38527,192.44183,52.028824
65,43.466656,241.08327,52.07247
66,41.652878,207.89507,52.368073
67,33.206264,176.60458,52.134144
68,39.240677,196.48463,52.296627
69,35.010094,181.66144,52.626015
70,40.48019,206.44893,51.908676
71,38.974304,197.84923,52.003544
72,34.196995,177.53503,52.391674
73,36.035534,182.42847,52.323578
74,37.681915,189.23808,52.32775
75,40.596493,208.35326,52.14676
