,k1,k2,
0,247.60574,232.01007,CNN
1,240.17107,228.28596,CNN
2,248.77249,225.83247,CNN
3,239.89238,247.95091,CNN
4,247.85019,236.35664,CNN
5,244.25536,242.75769,CNN
6,240.29222,243.60437,CNN
7,249.69548,235.76869,CNN
8,249.71965,241.13368,CNN
9,249.40147,211.78894,CNN
10,238.24268,242.36876,CNN
11,242.80493,249.75183,CNN
12,242.31708,237.15823,CNN
13,247.92174,222.5492,CNN
14,247.066,248.08916,CNN
15,248.61372,240.32652,CNN
16,247.31659,233.77197,CNN
17,242.96657,241.6092,CNN
18,248.3253,239.34587,CNN
19,247.09097,248.36855,CNN
20,244.40135,239.0384,CNN
21,249.70561,246.26828,CNN
22,248.64479,231.6251,CNN
23,246.30424,241.52718,CNN
24,245.93018,245.19238,CNN
25,244.80087,248.28058,CNN
26,240.605,241.87186,CNN
27,245.09738,245.54984,CNN
28,248.74623,229.84671,CNN
29,248.8799,248.62819,CNN
30,244.49702,241.01666,CNN
31,249.49907,234.34111,CNN
32,243.64716,233.91055,CNN
33,249.28755,226.64592,CNN
34,249.29431,246.17747,CNN
35,247.9856,241.21056,CNN
36,238.64172,244.32361,CNN
37,246.42168,236.11713,CNN
38,249.40982,230.47633,CNN
39,248.54881,239.88148,CNN
40,244.01363,235.65672,CNN
41,249.11873,217.4736,CNN
42,243.95146,234.90303,CNN
43,249.82043,243.05328,CNN
44,242.71198,225.2518,CNN
45,242.23787,227.62329,CNN
46,249.48698,242.39009,CNN
47,248.97575,236.90944,CNN
48,242.48145,244.483,CNN
49,242.90025,249.01581,CNN
50,244.12965,242.64473,CNN
51,249.75685,244.13338,CNN
52,247.96284,244.6646,CNN
53,247.78703,245.77689,CNN
54,248.09041,245.4017,CNN
55,247.20528,239.43927,CNN
56,244.40361,242.24239,CNN
57,247.59738,224.78838,CNN
58,248.70842,239.69649,CNN
59,241.38336,245.32405,CNN
60,242.76294,239.08533,CNN
61,247.4248,243.728,CNN
62,246.55978,239.00455,CNN
63,249.13815,243.05423,CNN
64,249.73015,233.44756,CNN
65,249.78157,240.2219,CNN
66,249.26222,239.707,CNN
67,249.70276,231.18207,CNN
68,246.23837,246.25092,CNN
69,235.04521,242.9877,CNN
70,248.26653,244.53554,CNN
71,242.68044,241.47006,CNN
72,243.86723,247.09938,CNN
73,248.6205,238.18959,CNN
74,245.9892,241.12302,CNN
75,247.43663,249.5756,CNN
76,241.96747,248.55223,CNN
77,249.18178,247.362,CNN
