,k1,k2,k3
0,228.33276,226.11009,227.76875
1,154.81152,201.7255,211.41762
2,215.76689,226.5272,225.88994
3,236.01569,232.17285,231.10754
4,221.79831,226.20207,225.98305
5,227.2031,224.65636,228.10104
6,244.46149,244.73431,234.8962
7,235.44026,228.57176,230.7163
8,199.04666,216.03137,221.10133
9,195.07877,212.71948,219.23792
10,219.58916,227.39545,226.29427
11,245.94199,236.61264,235.35866
12,243.66553,237.88832,234.46556
13,222.38185,223.13512,226.49423
14,236.99779,232.69551,231.34819
15,180.13364,211.59799,216.23143
16,214.08755,219.00496,223.21939
17,224.48215,226.7414,226.02058
18,211.72627,219.42232,223.38733
19,243.66487,239.19492,233.78064
20,242.09154,233.93411,233.51686
21,220.52182,227.0914,226.76245
22,197.89018,215.10213,218.7074
23,160.43622,206.0543,213.83171
24,123.51082,195.72968,207.12364
25,180.16011,210.85971,216.05536
26,213.4201,222.42657,224.6834
27,240.20374,235.61389,233.14459
28,219.86415,221.2478,225.14323
29,236.35068,234.688,231.48177
30,215.50821,224.84239,225.61174
31,242.06834,237.43166,233.87192
32,236.06735,225.97586,229.50949
33,245.0463,237.01666,234.07603
34,208.51097,221.7026,224.31032
35,174.06468,205.88681,214.683
36,148.13094,200.96121,211.80193
37,175.04617,207.00717,214.9261
38,182.31152,212.70976,217.02463
39,192.78604,214.94475,219.85631
40,180.62584,207.83206,216.3135
41,233.45357,229.81148,230.2886
42,237.8147,230.356,230.82172
43,220.29927,222.06146,226.02258
44,143.76283,204.02359,210.79984
45,178.88513,204.86931,214.78763
46,180.71762,209.6587,217.0496
47,127.21431,199.09192,208.09045
48,183.36769,210.97874,217.56924
49,141.92291,195.77226,209.05075
50,141.77621,200.8241,210.22469
51,120.281715,194.7538,207.84644
52,77.97113,193.70651,203.17041
53,113.289185,197.79356,207.30504
54,101.11409,195.79355,204.57298
55,114.87797,198.06026,207.6505
56,59.091007,191.46495,201.9197
57,55.226788,192.527,201.01106
58,36.88344,191.51965,199.70863
59,107.18835,198.16972,206.38628
60,152.46878,200.70834,211.12634
61,154.04253,210.149,212.6886
62,190.5836,215.26285,219.6969
63,144.67824,202.48354,211.48077
64,131.16057,198.25203,209.00244
65,180.48494,203.9897,213.96626
66,88.95591,194.15126,204.59349
67,184.90039,206.12761,215.92717
68,144.67596,204.4511,211.01149
69,168.0829,206.501,214.28009
70,188.81647,214.3002,218.24193
71,226.00488,226.90456,227.53383
72,226.43741,228.3162,227.74173
73,185.8479,214.22319,218.33043
74,121.392395,197.9302,207.66435
75,112.84964,195.98671,206.71523
76,61.65381,193.47636,202.21272
77,61.592087,190.00018,201.34718
78,98.46441,196.38142,205.52821
79,82.70692,195.83197,204.78961
80,131.51389,196.68309,208.36893
81,118.79792,198.08119,206.39452
82,121.873116,197.38937,207.5426
83,163.26866,206.87643,213.48668
84,127.75278,198.0895,208.26476
85,146.78354,207.8133,211.28432
86,118.164276,200.02634,207.70752
87,154.56914,200.78003,211.33215
88,144.13762,206.323,211.07669
89,158.1487,202.45116,212.57927
90,146.68417,205.46227,211.37375
91,147.75862,204.43199,211.75919
92,180.30453,214.09645,217.00984
93,100.23678,199.93355,206.13028
94,68.00979,193.65141,202.54613
95,74.83441,193.4107,202.79015
96,38.434715,188.1409,200.66154
97,54.999195,192.91434,201.27106
98,20.672085,191.54723,199.39989
99,50.062405,188.35852,201.08743
100,98.35377,191.67517,204.9464
101,140.12468,200.23703,209.52861
102,122.76658,198.30293,207.31013
103,105.5692,201.56682,207.02687
104,47.31458,188.68202,199.99507
105,4.402049,185.85687,196.29134
106,90.10271,197.30127,204.66548
107,140.49901,201.19868,210.56673
108,70.36216,194.94342,203.42009
109,121.0783,196.45969,207.82738
110,126.689095,197.0802,207.25732
111,168.45647,209.77057,214.39117
112,101.121284,198.70401,205.93457
113,105.363686,197.6523,206.56992
114,46.709644,192.92073,201.1169
115,176.76305,211.76784,216.70436
116,175.23354,214.35469,215.40175
117,115.73688,200.34888,206.89717
118,96.980865,191.70055,204.44829
119,101.39013,195.91908,206.28896
120,136.15689,202.09428,209.35002
121,52.358997,194.19722,200.9176
122,111.95488,196.0758,207.28156
123,8.975847,186.51067,197.09798
124,77.58987,192.77802,203.37709
125,61.642963,192.19626,201.40486
126,61.8891,194.97153,201.38553
127,96.049,193.74838,205.32632
128,69.86425,190.03557,201.48605
129,16.26898,189.57222,198.71724
130,50.186565,191.44789,201.12325
131,110.05892,203.68282,207.43575
132,105.77715,204.30463,206.8488
133,158.10265,205.96869,213.07445
134,154.67476,205.64209,212.08504
135,82.116325,198.50099,204.52159
136,80.57141,195.15486,203.64949
137,42.303368,189.27783,200.18904
138,84.691,197.16872,203.88931
139,0.07301387,184.53519,196.8467
140,101.936676,198.90059,207.52225
141,171.30264,201.02388,213.26514
142,196.75902,216.60765,220.70367
143,219.93182,220.19843,224.56894
144,232.48479,230.4532,230.15009
145,237.79568,237.45879,233.0439
146,224.63829,230.76204,227.6497
147,227.00279,228.61105,228.71373
148,248.64317,244.4125,237.13045
149,239.53722,235.8014,232.82164
150,236.40663,232.70178,231.07564
151,233.32326,229.37505,229.83308
152,141.77425,201.33022,209.33559
153,185.57555,213.7665,217.4166
154,175.8349,208.24759,215.33922
155,233.00644,233.28519,230.52248
156,227.75874,229.99847,228.6436
157,222.3064,222.96463,226.16866
158,246.38713,240.99954,235.25941
159,179.1261,210.27757,217.0865
160,204.81978,220.61278,222.71106
161,171.43205,204.09727,212.98984
162,159.27625,203.94064,212.23026
163,95.5205,195.67732,205.20201
164,83.97708,195.07532,203.80635
165,80.2649,194.07274,203.91695
166,36.90627,193.79547,200.47203
167,16.101744,193.85255,198.83134
168,115.72257,193.55731,206.98668
169,20.76587,192.62234,198.52403
170,53.45513,189.29942,200.49835
171,115.574326,199.57819,208.70012
172,137.69774,203.24867,210.55988
173,139.5097,198.99197,209.56395
174,168.62804,212.0667,214.33571
175,202.03134,217.77756,220.9035
176,186.6072,212.17342,217.86656
177,220.03175,224.14923,224.60973
178,224.3908,223.33951,226.60165
179,217.49467,221.7157,224.63425
180,248.24963,237.07909,235.49425
181,231.4526,225.29657,229.33054
182,217.32886,226.58453,225.88702
183,206.99759,217.52771,222.19286
184,188.06523,218.41988,218.85767
185,215.34146,217.9976,222.77736
186,234.35294,233.62859,230.58357
187,242.96472,235.04935,233.68379
188,220.59004,227.80273,225.8299
189,192.41725,215.24838,218.70201
190,118.95841,194.38199,205.38786
191,162.21907,205.49881,213.90845
192,179.66663,208.65651,215.87538
193,231.57254,230.49666,229.9759
194,191.52303,214.2481,219.21968
195,210.44597,220.6467,223.9573
196,214.21199,219.93967,222.93561
197,216.38196,221.91455,224.06839
198,223.62997,224.53482,225.50371
199,206.41127,216.17259,222.09814
200,248.58623,234.12193,234.31575
201,244.91643,240.69666,235.37617
202,244.09067,236.97696,234.94662
203,248.992,240.4184,235.53647
204,244.61018,236.08148,234.75368
205,241.86562,241.4495,235.17766
206,227.43869,226.42514,226.42154
207,218.76135,222.73792,225.04514
208,188.26588,220.04263,218.81883
209,112.4736,191.74103,206.05312
210,76.52205,196.04407,203.99976
211,141.00246,200.6012,209.48584
212,110.8522,195.53282,206.65842
213,52.869133,189.25645,200.02255
214,136.48584,197.26068,209.41632
215,17.984468,186.22537,197.92488
216,13.674825,189.11407,196.76067
217,42.685883,192.10887,199.9018
218,13.171215,188.90096,197.72018
219,81.25727,196.63872,204.60796
220,38.70331,189.98407,199.88646
221,31.84786,190.86337,199.68628
222,78.60957,193.50983,202.51083
223,19.458256,188.3485,198.16653
224,58.857388,195.54681,201.92021
225,147.24857,203.58777,212.02748
226,213.71698,224.90996,225.62703
227,213.76714,225.47276,222.84154
228,213.03537,219.7573,223.71259
229,236.95662,236.73296,231.90436
230,249.41756,240.53795,232.96217
231,226.08371,227.96686,228.04643
232,241.92683,234.86266,233.94557
233,243.97945,236.96184,233.73811
234,240.80725,238.01093,234.68176
235,236.03369,230.32285,231.26236
236,224.82285,227.19693,227.31181
237,243.45859,238.45677,234.4673
238,242.2443,237.1989,234.19919
239,237.18295,233.44641,232.15645
