,k1,k2,k3
0,18.723026,0.45148963,81.90719
1,2.052596,0.36922818,41.233074
2,10.482118,2.660245,8.123632
3,0.84024537,0.96592784,128.63715
4,5.327415,3.3798213,0.28294423
5,11.812357,2.4190743,91.38356
6,4.0587554,0.055591658,35.76659
7,8.379136,4.4682007,10.658047
8,28.430248,1.7536082,71.80626
9,8.163428,0.1355067,36.22888
10,1.7579383,5.1391325,6.125769
11,23.178247,0.81830627,34.20559
12,1.110701,3.732619,156.27596
13,16.318121,0.42742416,22.555317
14,13.270024,1.2408102,0.25724164
15,13.461522,1.4798238,28.197927
16,2.8814058,4.431183,3.7586217
17,3.6562045,0.32784644,72.67609
18,8.786401,1.8286084,34.496056
19,3.2294283,0.62535816,21.121992
20,8.596761,1.5471035,13.891107
21,17.715689,4.2794814,0.2752015
22,1.5129852,0.7123325,5.016065
23,6.24964,3.2468967,70.85906
24,4.93005,5.584584,60.58438
25,1.3758129,6.5063653,21.765657
26,15.980394,2.3633566,52.94071
27,5.243167,0.37405995,85.26743
28,4.9611025,6.368498,119.13862
29,3.6600187,0.13134083,17.465006
30,1.9828277,0.70357466,231.8431
31,2.068143,7.4027944,73.2666
32,10.559214,1.0292711,19.84376
33,2.8151743,0.6063054,36.59773
34,24.554134,1.7039288,3.2040915
35,22.927797,0.1933983,21.865263
36,3.6903338,0.11331209,9.438001
37,10.365529,1.4394894,46.690193
38,25.245098,7.290804,13.51965
39,1.2584907,1.8397162,21.476173
40,12.150131,4.2517834,31.359877
41,2.6992793,1.199525,88.78735
42,5.443768,0.32737708,109.06905
43,9.527419,0.9349156,82.037254
44,5.6874685,1.0099872,24.522978
45,4.8741693,6.0322537,8.993865
46,0.82570696,4.108595,5.57556
47,5.3962655,0.8494668,73.97627
48,9.310818,8.676387,11.286765
49,1.6986526,1.3374887,172.31248
50,19.546415,2.342808,9.013671
51,14.746899,0.5312298,83.18353
52,17.463518,2.2444193,32.480923
53,7.791276,0.30682126,7.387329
54,49.25763,9.671509,27.342674
55,1.0764881,2.0668526,0.54741216
56,1.7324482,1.5467272,7.7930713
57,16.956968,3.657041,60.957718
58,2.8823032,2.2530396,36.55248
59,2.9943058,1.102737,83.647156
60,27.439156,5.2296586,1.7901014
61,20.511776,2.3673687,72.875786
62,1.1456752,2.238056,46.355286
63,1.1519878,0.36489925,31.59762
64,14.524784,1.4078416,30.275986
65,11.409678,3.777028,16.489748
66,22.4613,2.0119448,2.8754768
67,17.428673,1.1425734,35.884804
68,0.61813307,1.3775383,54.936
69,4.9668746,1.3594426,2.6968145
70,4.305654,4.8261743,98.30839
71,2.4500852,2.4783788,47.258186
72,10.09889,2.6891055,49.852318
73,9.501429,0.9910966,32.462193
74,10.142044,4.4830008,6.665064
75,24.398275,1.1070669,26.946726
76,29.677967,3.8529837,0.9383255
77,5.3036118,0.17359549,11.271166
78,1.4935108,2.908189,71.423004
79,4.9646583,0.839483,2.496198
80,3.5993671,5.1446695,77.554375
81,0.44786295,0.7056776,150.38243
82,6.156809,0.627781,129.7881
83,12.316245,1.8624376,9.726163
84,5.3336735,4.104915,6.9120846
85,24.331284,0.40091178,17.356527
86,6.630425,6.880082,20.382595
87,5.7889256,4.58189,45.573185
88,4.2486115,0.3196278,35.620308
89,1.8720381,0.9274801,16.240734
90,26.60361,7.0278625,19.85947
91,16.99566,0.7405983,11.292065
92,8.457366,0.3191426,5.269378
93,7.411567,4.041135,186.55942
94,3.8368473,1.2983571,17.29413
95,22.144764,5.6009707,26.839582
96,13.766294,13.817298,30.741543
97,16.102234,4.845332,56.83258
98,7.3743415,1.4525437,29.642002
99,3.8414714,0.7879799,176.76509
100,1.4405959,1.2497703,193.82253
101,5.815258,3.5144918,56.420223
102,12.116589,4.3789334,19.472193
103,3.8643842,1.5104855,15.839354
104,3.242284,0.7216373,236.0703
105,2.4045036,0.9479021,118.402435
106,22.145092,2.5529644,23.771109
107,11.537738,2.4360254,41.818733
108,6.5396256,0.56394166,237.55995
109,3.8462038,0.4158627,57.91306
110,2.5372057,0.7192117,46.97628
111,6.5853796,5.3049803,78.183136
112,7.393378,1.1676399,232.86295
113,5.412281,2.2367811,183.78854
114,3.2884073,1.1301754,22.737118
115,3.9087274,7.763099,89.756615
116,0.66923517,0.27786148,106.17381
117,5.3354564,2.0912693,104.621254
118,5.7698736,0.112293825,32.746517
119,16.459492,2.7907252,55.14773
120,11.859321,0.54972076,7.815169
121,3.1205983,0.232022,29.865026
