,k1,k2,k3
0,224.91197,238.94624,213.0385
1,225.41689,238.60768,207.58794
2,225.21312,238.06398,206.9402
3,228.73457,239.39833,208.38095
4,226.84044,239.31744,207.07944
5,227.4695,238.91765,215.80891
6,224.69846,239.77461,213.14882
7,228.85721,239.95316,208.94215
8,225.15123,240.58093,215.28679
9,225.96034,237.32478,213.13216
10,227.52158,239.25125,204.38521
11,225.45354,239.49913,210.1047
12,227.53412,240.54785,203.90851
13,228.77605,239.64493,212.10025
14,225.80576,238.80815,208.31152
15,227.02007,237.97044,217.0401
16,227.83075,239.18411,218.95628
17,226.89323,238.00218,211.8765
18,225.96872,238.75438,205.50763
19,226.23392,239.0156,213.39038
20,227.35262,238.24837,211.83252
21,228.51178,238.4721,209.62181
22,227.5323,240.27364,209.73251
23,226.54944,239.11435,208.17131
24,224.77441,239.34735,210.66884
25,226.4849,239.44409,202.36783
26,225.66139,240.60643,214.53603
27,229.0083,238.27895,209.33705
28,228.87073,238.46309,204.68448
29,226.19765,238.3178,200.82831
30,226.21468,238.30792,209.2224
31,225.92787,237.52226,203.31136
32,227.76897,240.45743,204.26263
33,227.16566,237.77242,210.97942
34,228.91393,239.79843,209.18723
35,226.86954,238.23228,215.0043
36,225.94136,237.86105,209.95331
37,227.98224,240.15083,219.3512
38,227.27301,238.88277,212.87814
39,225.58226,239.71347,206.91446
40,229.30133,239.81287,210.25078
41,225.5449,239.50604,205.83496
42,225.83968,239.87144,211.53535
43,230.28629,240.01486,218.84267
44,227.35507,239.34631,214.28082
45,223.32329,238.87434,212.54832
46,225.89745,239.59572,208.87405
47,227.85857,237.4597,206.56117
48,225.02695,241.14842,203.96806
49,227.48274,238.06422,204.0492
50,225.27406,239.68307,212.5894
51,226.32104,238.56906,210.17201
52,228.5397,239.91934,208.4834
53,230.45016,239.38647,205.43141
54,225.60992,239.94995,208.34863
55,227.41783,237.962,213.916
56,226.34756,238.26884,212.30763
57,225.79137,240.20357,206.52655
58,227.28802,239.07605,208.88797
59,230.98085,239.59505,207.62996
60,225.8057,239.1582,209.18796
61,230.52272,239.39569,205.58961
62,226.43356,238.19368,210.98236
63,227.2121,239.16061,213.0083
64,229.99712,239.91426,201.02612
65,227.1554,239.1346,213.02089
66,225.41205,238.19153,210.14127
67,226.14592,239.28697,205.60707
68,227.99356,238.81439,209.50972
69,229.85617,239.5992,218.6921
70,228.3706,239.19345,210.62071
71,228.59349,241.08473,211.43488
72,229.6324,239.42926,215.42644
73,226.04782,239.30014,216.46185
74,226.89697,238.68524,210.45
75,226.64693,238.87682,209.0558
76,227.75865,238.20175,207.28961
77,228.75272,240.43181,207.2788
78,224.94429,238.42194,215.65971
79,227.93948,239.29727,204.61044
80,226.5712,238.22963,210.39037
81,226.30637,238.43361,210.95734
82,229.74599,237.51115,197.89171
83,231.90565,239.45824,208.60281
84,226.98848,240.13849,207.7501
85,225.62856,239.27637,214.5748
86,225.67049,238.41599,208.1039
87,228.44055,239.2958,216.15367
88,225.8129,237.33455,207.4963
89,226.71924,241.27322,208.93448
90,227.33409,238.41647,206.02002
91,227.70677,236.91023,210.08276
92,229.2156,240.45668,207.91597
93,226.17542,238.86261,213.34634
94,227.87173,238.25865,210.02568
