,k1,k2,k3
0,89.35756,151.26529,243.41792
1,176.1535,211.75491,216.6592
2,162.45534,186.56758,206.88773
3,124.38944,161.71468,203.16452
4,146.01257,175.8127,210.81316
5,187.28348,217.71857,201.50104
6,154.12343,186.70871,200.79851
7,86.56307,136.13388,224.82722
8,102.99575,148.30315,197.57005
9,164.6517,197.30145,213.55345
10,168.4421,196.66154,204.33504
11,175.0501,188.09666,190.4944
12,135.90677,159.86513,194.58908
13,156.55173,192.30981,224.97215
14,129.35135,163.51328,222.1418
15,110.164314,146.58481,208.33124
16,133.21944,164.62653,220.99997
17,99.363495,139.41585,209.9289
18,138.73933,170.84651,209.22981
19,168.82002,189.6317,220.23895
20,167.90979,195.77943,217.9026
21,165.2165,183.67139,222.06885
22,194.23834,230.22012,212.5716
23,149.91287,176.05821,187.27928
24,90.55874,139.46574,218.13652
25,129.71326,161.1132,227.5375
26,65.72495,120.430084,247.87666
27,142.71016,166.88206,220.227
28,189.15344,217.02507,183.02963
29,189.33145,204.05559,193.48755
30,171.97523,205.83212,220.25992
31,116.54491,165.82718,226.89017
32,173.79842,191.16145,205.98999
33,152.72075,174.54749,212.04344
34,133.3688,168.01402,221.60435
35,173.74887,201.21823,199.52124
36,188.1495,198.21193,176.25302
37,195.97798,234.8203,213.25317
38,180.87459,208.15332,201.43306
39,95.696045,140.36604,213.54297
40,199.79109,224.95662,200.16754
41,115.603065,155.92245,202.30261
42,152.41907,180.82877,225.19029
43,191.31737,216.45398,208.27823
44,185.59343,211.2692,204.89134
45,207.56633,230.86281,190.624
46,154.16003,180.71924,210.70177
47,89.35647,144.82762,235.67574
48,171.14017,183.16846,209.49414
49,172.35693,196.74443,196.65434
50,87.938416,141.33289,229.94962
51,68.643196,124.444695,246.15634
52,178.09364,208.6337,209.20923
53,189.06403,210.75052,218.13484
54,165.13957,200.62367,221.31789
55,141.49356,165.5885,198.76613
56,107.909744,148.88948,245.77223
57,123.86869,157.84889,221.29381
58,206.88307,226.45427,184.26027
59,131.60019,174.52193,239.55588
60,152.34789,179.58061,218.24866
61,146.01868,175.1133,232.40715
62,147.48276,170.48978,212.64595
63,126.10762,163.6455,204.2048
64,124.97791,170.6253,230.18602
65,197.72003,229.12564,190.53253
66,207.12247,234.83447,188.83054
67,230.56093,244.23907,155.4838
68,161.18175,178.52396,217.08913
69,122.20557,156.60039,218.38852
70,154.99359,184.19466,212.00002
71,219.74623,242.20428,182.30672
72,153.13089,185.08723,226.69638
73,105.13026,153.08151,228.82948
74,136.84755,176.9307,247.58241
75,190.81493,216.71603,199.83293
76,133.07524,169.20332,228.2933
77,202.97646,238.68452,203.34093
78,166.18787,189.88408,200.74031
79,195.2916,210.1509,206.93285
80,160.80794,186.21423,202.69373
81,144.58546,173.85515,226.329
82,126.08133,158.36435,222.53139
83,187.57147,210.34915,199.63322
84,212.15785,234.36104,179.38132
85,155.71938,185.20508,211.3603
86,55.488773,130.13374,226.16328
87,115.714775,144.85248,234.01642
88,103.461945,149.52243,212.67812
89,166.9118,199.33781,218.84181
90,58.105633,126.86267,249.58069
91,53.05975,133.88554,247.34706
92,187.45915,219.72537,201.07224
93,211.4909,248.31819,190.57555
94,98.39103,148.64923,233.45023
95,140.01387,167.1605,214.92113
96,132.86838,161.68922,208.56258
97,182.30353,209.04333,203.66856
98,92.08605,140.39806,241.35878
99,165.51793,186.51372,213.40717
100,177.2166,212.01315,219.08208
101,164.9722,181.23567,206.4484
102,149.78578,164.64607,209.72957
103,98.39877,141.51128,231.57974
104,144.98552,170.28886,205.91417
105,135.49083,168.95714,222.95694
106,100.361984,149.899,232.21414
107,92.00576,136.45444,223.21915
108,75.80668,137.10367,248.3836
109,109.204346,156.1526,231.46167
110,104.638885,148.2493,244.4777
111,125.66672,158.91534,242.21889
112,156.1432,177.73228,200.53047
113,174.17366,206.36766,204.77147
114,141.35788,167.22223,206.5868
115,128.316,162.46,206.08247
