,k1,k2,k3
0,103.65287,70.4384,132.21861
1,94.69099,86.3409,44.37427
2,32.19368,29.961315,84.05237
3,135.7342,225.54764,134.01482
4,228.69606,149.25888,186.77296
5,160.18044,19.348923,168.55501
6,136.49533,117.615555,94.72864
7,96.15564,46.54337,110.583435
8,76.657295,16.755512,246.52899
9,38.303883,194.10387,156.64842
10,2.6144626,107.60849,237.96024
11,160.35905,114.37194,205.0382
12,217.4114,151.99347,136.66492
13,121.40818,192.38454,170.06894
14,15.136025,178.0448,120.82685
15,158.8482,85.32608,37.901806
16,220.08488,37.234787,223.52928
17,7.2194915,40.781475,224.17679
18,151.62482,169.06276,158.18086
19,130.39499,153.37448,145.91483
20,213.2979,33.887802,143.38654
21,46.890472,92.242805,168.04669
22,7.4324374,159.36966,106.85249
23,118.33035,155.54399,199.25648
24,213.17299,168.10109,159.7785
25,0.15037966,186.42459,45.920204
26,47.79461,54.761692,5.144038
27,249.88596,233.0987,34.81489
28,119.57887,106.54415,169.5166
29,244.26726,183.49246,227.01642
30,211.07802,204.81749,91.9169
31,191.84224,124.93891,173.79204
32,238.5597,52.78375,140.95566
33,153.5603,46.643215,223.88403
34,230.69292,161.40608,145.40907
35,79.36664,223.81349,56.601265
36,187.00397,8.956968,136.55042
37,48.637825,225.55893,20.698748
38,23.562084,200.49385,59.922787
39,42.58049,224.85435,104.85061
40,16.41425,60.757904,89.29391
41,140.76865,90.67988,233.52681
42,178.64717,231.16345,23.967735
43,96.50532,141.02872,70.42895
44,175.01398,28.553333,113.41754
45,74.08965,98.54016,181.30307
46,51.83974,101.00957,192.71829
47,151.15338,199.13383,203.61603
48,64.39406,15.359345,128.9352
49,160.30704,142.78943,213.018
50,213.2969,178.1748,0.09934992
51,248.21106,160.53545,29.868433
52,27.495266,9.561196,208.12675
53,71.777985,17.508598,160.76494
54,75.13966,187.37576,47.78201
55,26.837196,189.92322,3.365683
56,211.28836,124.88669,50.367496
57,139.47485,86.513565,225.31491
58,161.70801,39.52851,175.97624
59,12.965232,145.21558,136.55742
60,145.4831,110.055145,183.2933
61,146.63019,21.117228,190.57518
62,38.978565,171.46461,196.46687
63,99.46118,127.29125,117.99931
64,154.49072,65.12399,219.76479
65,236.27664,86.582596,58.549473
66,156.77032,20.874964,115.73779
67,136.834,23.391462,163.81627
68,6.0732546,239.22157,39.648537
69,112.12823,104.2232,78.21391
70,227.71553,48.035854,158.10388
71,57.071804,100.41464,10.887264
72,36.990013,144.2509,67.244125
73,67.38648,127.43135,54.358772
74,148.882,45.316437,204.45486
75,133.68414,130.60982,166.8639
76,119.034584,245.44391,192.89389
77,139.18536,197.59323,116.99894
78,224.14973,86.41737,74.09756
79,175.06348,209.56422,23.298445
80,141.21811,155.41344,167.19463
81,43.000633,141.59962,11.686135
82,114.41962,81.99436,99.63977
83,34.62141,215.47942,84.9338
84,233.63779,191.73979,151.26482
85,79.796875,82.72879,205.8182
86,51.035503,165.06157,21.12871
87,161.70926,124.72164,201.12703
88,16.405682,121.28994,80.7016
89,148.40457,81.05462,244.63188
90,121.19635,15.588712,120.72761
91,237.89507,112.79303,46.584675
92,78.04327,139.03247,142.46954
93,158.415,90.29914,129.53612
94,100.97902,81.775276,88.39695
95,125.73046,7.7909365,4.3776517
96,44.457584,77.9949,192.37723
97,158.73189,247.65344,189.52496
98,25.39265,143.83636,62.613613
99,52.136326,124.401436,129.64062
100,133.67572,199.03775,110.633125
101,114.572395,90.89934,126.32474
102,154.53374,244.0698,71.62934
103,247.27962,133.41252,122.94964
104,172.0006,129.81436,86.67076
105,219.66876,207.23627,108.813774
106,209.9326,222.38785,172.73647
107,43.444454,234.4587,202.9325
108,211.12706,176.58675,75.57065
109,45.431973,196.5355,60.391113
110,133.15477,146.89449,100.77003
111,114.89452,89.16494,139.62686
112,25.734163,125.006325,30.561907
113,134.388,249.02719,213.95241
114,211.60043,80.17537,198.77516
115,208.93388,212.0082,191.91621
116,54.72976,196.96329,224.67639
117,210.31197,126.92504,28.641191
118,170.60432,172.37332,196.09798
119,241.20767,184.5974,81.21126
120,206.56567,238.64429,133.01509
121,205.39523,196.25105,207.56071
122,162.05754,224.21284,41.677826
123,152.68486,225.65974,208.76985
124,33.032166,127.33077,128.0484
125,225.77359,122.57437,143.6875
126,225.90659,234.7441,31.31942
127,20.508425,225.70099,123.47257
128,143.26721,177.17331,194.24507
129,70.50778,34.06312,245.30234
130,80.85646,13.979538,126.01652
131,31.623695,38.16662,208.777
132,22.002052,183.03343,145.80276
133,212.83342,154.17812,167.4239
134,103.19739,34.326756,115.96746
135,9.360112,214.48212,35.54236
136,45.46393,202.80585,248.58194
137,59.585354,49.419758,104.59903
138,22.61936,141.02306,84.459076
139,29.000872,83.15575,36.7934
140,128.32141,155.04483,210.98193
141,99.72868,87.59416,240.25871
142,65.53877,44.176735,24.35699
143,15.041402,229.48157,45.559727
144,231.33034,165.43858,7.7877207
145,224.72545,41.41382,18.235783
146,53.75214,165.37735,53.906254
147,27.769691,100.010735,5.804776
148,143.15796,117.72782,142.71986
149,237.63258,190.95607,64.64298
150,157.20354,205.36559,175.32892
151,15.767607,0.71278393,149.96127
152,220.9259,105.22378,43.857235
153,82.027725,188.28911,182.61969
154,166.5404,104.70884,90.648766
155,4.127032,85.64615,196.31151
156,10.967152,28.15177,226.64795
157,187.46037,226.08182,27.528028
158,7.2102904,91.863495,222.86868
159,233.23694,100.56923,76.52023
160,77.65865,141.01756,136.10162
161,98.61873,235.77856,234.32526
162,119.8825,163.5715,151.19106
163,163.79955,59.771503,15.962619
164,212.3133,217.12665,176.29236
165,147.59042,104.43362,224.44159
166,33.057556,212.15018,90.56501
167,55.65669,17.042767,133.9494
168,87.25564,46.400227,17.123098
169,198.14339,134.17175,45.484024
170,151.39403,112.605316,134.3669
171,58.263668,189.83948,111.940956
172,243.4259,204.28217,208.3075
173,23.060972,15.508625,81.11732
174,216.97716,102.08429,193.48859
175,207.07727,143.12785,218.27475
176,3.910745,145.36038,69.221634
177,88.30452,159.68456,99.70205
178,214.11415,89.89101,121.68721
179,171.90541,8.764848,247.82176
180,56.67302,79.828,163.7076
181,224.07176,248.286,249.79387
182,65.80888,188.7383,142.10141
183,94.02631,147.43987,83.984184
184,216.61818,140.779,53.678844
185,17.415503,43.943027,216.94568
186,71.16456,164.93756,38.272854
187,13.816629,247.69572,63.450268
188,180.05656,67.04608,30.40942
189,65.82305,74.50808,147.06306
190,92.886024,130.7166,179.16522
191,104.73983,94.68287,0.8772981
192,116.6196,237.30408,30.990643
193,205.31581,237.37314,0.33286574
194,143.98561,28.6381,244.14226
195,224.94789,109.69103,150.69225
196,104.73024,139.85573,52.796394
197,173.00153,66.69305,109.58622
198,120.954,174.2527,45.87982
199,240.50298,223.47066,84.58477
200,29.392914,16.544376,30.809143
201,175.27884,215.41083,138.24815
202,56.500404,180.83939,18.097025
203,107.71423,110.34313,158.28801
204,32.511795,212.21426,104.56597
205,11.805305,145.46423,107.75831
206,192.73633,63.470932,100.185425
207,36.90321,229.10783,24.662645
208,44.27941,71.57218,127.40084
209,54.86415,148.12636,83.29776
210,15.349306,207.52269,62.35154
211,47.767162,232.36752,179.1159
212,73.24665,195.3479,180.43735
213,220.77081,108.48989,227.22386
214,96.9034,117.90569,39.260857
215,19.954163,111.93534,66.223434
216,45.828205,234.21547,50.120453
217,207.92706,89.57758,234.47043
218,118.32782,39.773136,115.17524
219,176.15303,140.13344,3.7666411
220,183.36534,128.80936,215.04266
221,160.84595,17.082924,72.21589
222,74.16475,76.60071,130.33867
223,158.00847,197.76921,76.300125
224,177.23296,8.162769,159.82332
225,160.23712,137.96448,8.336381
226,3.6771781,138.59282,195.40648
227,86.451836,105.984924,119.78587
228,100.82404,223.5442,246.92448
229,38.96026,101.53265,223.02197
230,236.61725,206.06123,200.25523
231,140.97488,102.62061,151.87823
232,161.68166,104.59275,200.01987
233,46.25718,158.74228,126.413185
234,146.80579,187.01149,154.71779
235,85.43544,172.38774,187.3041
236,100.779274,91.71815,204.97525
237,29.99445,119.230415,237.54373
238,188.26604,119.497284,231.30833
239,33.080322,95.1047,30.28043
240,15.639553,236.76047,209.36575
241,211.52419,208.11055,35.980106
242,114.18631,157.97772,152.90898
243,145.28757,9.581482,40.369232
244,212.2606,188.0315,33.210487
245,198.83504,56.018593,240.29553
246,39.286983,123.50515,222.44507
247,56.962532,179.69511,94.847496
248,201.73633,145.41713,210.89198
249,199.88832,88.68409,173.10487
250,163.11983,149.93771,5.211617
251,74.62762,57.517803,170.98181
252,212.0586,118.33562,126.549225
253,4.9251504,68.33963,138.17159
254,142.45131,184.00667,80.32927
255,99.75585,45.05833,87.56731
256,130.32329,34.465378,67.02933
257,249.74545,204.96092,248.80818
258,57.436554,193.81024,25.29391
259,25.625849,188.92761,18.878347
260,232.27628,37.938145,20.058167
261,38.237823,210.23485,99.90753
262,137.74901,226.71887,112.03817
263,136.77803,30.790737,133.54572
264,143.10979,90.47873,111.06253
265,92.26088,138.23851,170.0069
266,63.848774,130.98053,219.36185
267,86.71179,10.879783,139.82558
268,35.255863,102.97741,47.74434
269,173.41705,182.6892,223.89058
270,146.35526,146.94376,66.64678
271,153.92648,237.59442,130.6386
272,98.4478,222.02711,223.16177
273,231.33371,225.84668,160.20407
274,229.91554,231.27834,234.98917
275,136.36996,65.479515,209.41365
276,31.097054,50.929363,153.10449
277,157.16283,171.27931,134.04913
278,185.80394,57.99014,175.35442
279,239.53886,163.6377,202.18361
280,47.79126,93.85674,137.6342
281,18.7239,130.30257,216.3277
282,231.55902,153.191,190.40196
283,0.90112996,48.666893,50.645184
284,19.627428,78.28343,9.261823
285,199.60184,18.879622,86.13516
286,161.78957,103.584526,98.012
287,190.41112,6.155502,82.46747
288,102.03877,63.397987,12.898404
289,30.123806,82.103,160.72166
290,109.13282,27.48544,204.27863
291,153.76697,109.31184,12.029971
292,233.02167,116.09407,186.2081
293,55.94427,75.216324,161.70352
294,156.62605,245.73433,216.61299
295,208.17319,199.94698,10.844975
296,61.644512,155.81679,228.97923
297,135.16066,228.59964,114.34694
298,90.12662,199.9274,185.19579
299,32.16185,93.77882,143.80794
300,212.07619,117.10095,12.815097
301,14.248346,48.900066,168.22025
302,200.52296,57.56111,248.43188
303,106.97481,123.36115,214.17224
304,105.62543,29.968916,244.86284
305,62.410297,147.61105,28.152054
306,202.34456,72.65492,48.20442
307,241.72952,99.48133,189.9697
308,7.7531495,14.317763,7.669353
309,195.66922,34.210304,228.05315
310,224.26717,26.64042,158.30786
311,229.70676,98.69188,215.77098
312,55.102,181.35883,142.59862
313,189.56726,66.207275,71.0981
314,97.70203,31.711323,146.19107
315,185.93176,228.45552,99.94092
316,224.5587,228.122,54.598072
317,233.78908,118.96584,138.01036
318,241.77023,19.719055,196.22525
319,215.53604,153.9193,147.77267
320,38.126877,120.39682,101.564415
321,245.06172,15.096864,224.77713
322,93.786896,133.85684,204.65886
323,26.713495,153.32349,93.57438
324,43.87952,48.750256,195.02353
325,125.36836,93.933426,69.160194
326,213.74055,170.91414,83.81758
327,56.185703,157.822,54.129177
328,247.94131,70.13592,138.89536
329,242.66985,193.04745,42.939995
330,104.10662,234.5771,215.09955
331,193.0615,152.58734,100.812225
332,140.74495,190.86833,99.36746
333,85.205444,99.08124,129.79626
334,245.041,159.50893,42.38548
335,25.039837,210.86546,224.70976
336,191.241,112.62628,41.659267
337,45.127724,71.30511,157.92596
338,243.65639,82.3454,51.3341
339,235.08467,92.932594,61.72656
340,21.043514,166.77971,93.28048
341,98.64419,54.575985,137.92792
342,24.943258,240.74898,126.549416
343,14.289803,237.79057,128.57619
344,128.50565,18.028423,202.6586
345,227.15445,160.30804,205.88652
346,105.51448,119.062515,32.01434
347,27.068844,126.23574,139.56645
348,25.193832,76.98195,175.30858
349,249.58939,79.473236,32.682663
350,125.033005,109.61232,152.61456
351,76.52142,59.468925,144.6839
352,161.99196,177.27295,30.939838
353,110.12343,133.33244,120.757324
354,244.8702,61.6424,35.80686
355,46.340683,25.11123,226.62227
356,70.371544,188.94441,173.42308
357,0.4074378,133.7843,9.089735
358,53.26424,34.971478,88.0363
359,101.919586,233.97481,182.2852
360,90.17747,144.68806,61.559277
361,2.3402872,197.06693,40.356297
362,13.120495,7.0497336,232.28438
363,63.090176,122.156456,147.32434
364,58.250217,149.00635,128.74617
365,18.198183,90.347694,74.41252
366,233.24031,121.36732,181.80852
367,176.55328,73.99974,107.341835
368,91.94838,46.937325,197.39337
369,142.0645,188.68553,218.5894
370,77.59448,5.443877,128.84412
371,198.88712,8.905664,150.83568
372,73.5332,228.88376,103.531845
373,123.075005,17.202295,52.393013
374,37.862133,89.93287,113.11395
375,123.498795,167.70705,188.55168
376,241.99016,35.17124,33.6028
377,90.7674,43.307106,205.43262
378,229.21822,107.66235,175.74565
379,142.3208,117.50716,13.985138
380,172.49428,2.7282522,180.38942
381,76.53662,240.16046,7.8927603
382,77.9236,67.904655,130.8534
383,42.55495,201.08777,60.361027
384,188.07532,241.00531,77.05631
385,16.093708,47.126007,101.56843
386,42.15442,117.35306,156.49284
387,155.44994,105.21349,118.34703
388,29.503096,249.83383,10.731714
389,135.90044,142.48532,120.55482
390,84.023476,103.64392,50.85446
391,149.41953,186.47832,1.5612901
392,155.21779,77.837036,81.26987
393,222.22842,143.36217,243.80774
394,127.827126,233.9611,35.720135
395,91.04936,5.3209767,158.18962
396,174.46823,36.10639,44.18736
397,47.472794,35.09442,219.1776
398,81.19609,66.842674,187.38576
399,155.7085,182.30983,126.74093
400,216.92088,187.48795,212.043
401,180.42656,208.53867,209.82489
402,57.745186,128.05235,49.13515
403,31.917618,28.3499,173.59827
404,217.21176,37.83542,191.01088
405,18.713593,94.06004,87.37833
406,217.45285,163.39256,22.662857
407,22.261072,221.74138,222.45764
408,64.92287,3.316536,78.0429
409,110.07983,225.28563,150.97995
410,210.47673,6.232981,142.33025
411,52.56675,226.18079,58.759243
412,187.14635,90.379616,16.749006
413,45.66613,22.377148,155.71132
414,173.06898,185.47545,173.00832
415,34.694736,47.129345,2.8369625
416,38.82201,161.0021,83.33054
417,27.663448,214.52647,240.21513
418,237.82158,7.8647513,114.64847
419,54.19937,35.248806,236.53206
420,53.576435,238.70651,206.04176
421,50.96025,242.87192,19.195154
422,62.818886,188.89116,68.90385
423,56.350147,7.8493657,9.283172
424,167.14868,170.53175,137.0895
425,71.69818,4.5857153,179.98732
426,123.52528,113.7084,227.59334
427,8.37074,25.630186,87.65966
428,180.47156,138.08101,96.5233
429,87.63871,203.42758,156.3852
430,14.626142,230.7267,136.33368
