,k1,k2
0,245.29486,240.5579
1,244.28383,236.00275
2,246.94386,230.41054
3,240.66307,241.10245
4,241.87439,235.76665
5,241.0625,230.64442
6,247.83092,230.16037
7,244.37025,235.71466
8,242.52684,229.38425
9,239.40607,241.33908
10,243.05692,233.59145
11,244.18164,234.03464
12,244.6011,232.10672
13,249.99905,218.23828
14,245.66199,232.87265
15,242.03308,236.48343
16,240.93396,233.28343
17,241.13872,235.6877
18,242.97375,227.16388
19,241.3596,221.54398
20,242.69229,231.69583
21,240.07936,219.8091
22,240.258,233.25249
23,242.61545,234.41606
24,241.5394,230.01074
25,245.07462,234.0284
26,240.88107,229.75905
27,245.73216,220.6707
28,241.53625,232.6929
29,241.74373,238.2042
30,244.38167,228.31862
31,244.09607,237.53725
32,240.38689,228.52626
33,243.01398,228.94582
34,242.71416,229.33647
35,242.27919,228.60286
36,241.41959,239.18065
37,247.77391,224.68289
38,240.95308,219.36295
39,239.17944,232.0733
40,244.55014,227.74698
41,245.44029,239.80475
42,241.97133,229.87415
43,240.47087,239.53201
44,243.16287,224.72148
45,243.25085,237.20302
46,246.6765,228.65327
47,243.93427,235.70976
48,246.44345,229.14021
49,240.52174,234.3005
50,246.223,223.65504
51,243.71353,230.34666
52,243.85847,236.15018
53,242.31136,234.99971
54,239.40227,230.2376
55,240.2658,240.52931
56,246.06354,232.169
57,246.14088,235.10251
58,240.22618,240.34824
59,243.32573,232.10931
60,243.42874,231.28261
61,244.46992,234.99982
62,244.23512,235.41983
63,239.84398,234.88872
64,246.78937,230.22835
65,242.26291,232.12186
66,246.34445,233.13152
67,243.30042,232.85063
68,241.02481,237.81325
69,244.60342,232.50853
70,240.313,232.39618
71,245.99722,229.16936
72,240.7997,226.07011
73,239.71906,231.35081
74,243.19705,236.40099
75,239.62729,239.6238
76,243.92595,230.49628
77,241.08255,237.05336
78,239.96924,235.5666
79,239.36351,238.71918
80,241.85716,237.66135
81,240.1974,235.68796
82,249.30986,235.21973
83,239.94225,235.10129
84,244.07652,229.43317
85,247.04338,234.29466
86,240.7774,240.37816
87,242.13335,225.13629
88,240.79448,228.72055
89,240.66783,230.51799
90,240.68044,237.58685
91,241.33572,231.40776
92,242.96175,224.40009
93,241.06718,238.13968
94,241.77031,224.7305
95,239.39767,246.97775
96,239.48871,244.60648
97,240.95811,230.59322
98,244.01515,219.60472
99,241.45784,232.22185
100,242.20007,238.56723
101,244.41316,231.12482
102,244.6944,229.32819
103,239.26614,247.70421
104,239.39995,226.39595
105,243.14325,232.11754
106,243.04,222.52551
107,242.93854,226.83197
108,248.9068,235.36423
109,240.14717,230.7509
110,241.80934,234.58006
111,239.41751,240.2559
112,247.99976,232.2882
113,240.39198,232.00296
114,245.20851,228.25244
115,244.40105,233.41457
116,243.8674,228.23985
117,247.38252,222.88104
118,245.80537,232.434
119,244.94226,229.11916
120,244.16194,229.90414
121,245.35748,223.24857
122,242.70212,228.07526
123,242.33875,230.04587
124,244.68109,235.2814
125,241.52357,236.56529
126,243.25174,232.54263
127,239.85513,234.84003
128,241.51964,228.54199
129,240.60298,244.71498
130,242.4096,224.16878
131,244.05426,231.92456
132,241.65172,234.91731
133,240.83762,229.93782
134,241.15063,230.09882
135,241.15398,232.96666
136,246.94392,225.79256
137,244.55322,227.76973
138,244.36003,238.19858
139,245.15276,231.96477
140,239.73476,238.52231
141,242.55655,233.28554
142,249.20862,228.39514
143,240.85725,228.89777
144,241.23698,234.69302
145,246.9021,226.42627
146,240.47586,226.27356
147,244.17416,229.56833
148,240.41563,234.03882
149,241.23015,225.00136
150,246.84119,228.5454
151,243.0705,230.287
152,244.96535,229.07611
153,244.36769,233.4885
154,239.39357,246.7792
155,240.81035,211.06592
156,249.14886,230.80042
157,243.3845,236.95529
158,248.14128,221.32785
159,248.47081,234.05035
160,243.55342,226.70712
161,241.57011,234.6727
162,240.89998,225.70418
163,243.23798,235.34904
164,241.9725,226.8061
165,244.96947,228.31174
166,242.26756,241.78043
167,244.36542,224.33366
168,241.42456,230.94408
169,241.77307,227.96082
170,239.7015,234.09634
171,249.52745,227.65913
172,248.10353,227.97884
173,244.29613,235.38365
174,244.7917,233.0331
175,241.88481,234.24338
176,243.64417,230.76201
177,244.73697,229.66704
178,242.61945,233.71715
179,246.3043,232.52576
180,243.05135,233.61168
181,244.32968,225.86424
182,240.32344,238.66357
183,245.90967,232.81598
184,239.28435,241.08739
185,242.67355,224.8518
186,248.69023,227.42169
187,239.67937,240.94437
188,239.1238,248.14827
189,240.26448,241.3101
190,241.65189,231.82683
191,242.47693,236.26839
192,240.65599,235.53642
193,243.05338,220.51152
194,245.43326,230.51018
195,241.5248,231.78217
196,240.49257,230.74109
197,246.80237,229.73453
198,241.23123,236.39058
199,239.96738,227.541
200,244.51677,231.33287
201,245.3653,227.35367
202,249.04813,219.883
203,241.98561,244.6043
204,244.00096,228.6358
205,247.52324,232.45526
206,246.3354,234.91626
207,244.21188,230.87993
208,240.91644,224.42235
209,239.32344,245.81497
210,244.26665,228.06259
211,243.61075,228.01431
212,244.66682,235.79832
213,249.46867,230.45161
214,241.88513,225.8631
215,244.92525,232.8947
216,240.7934,228.47798
217,241.88226,226.54619
218,244.87222,225.63728
219,241.34203,193.17609
220,239.88072,228.02145
221,243.80885,239.37888
222,242.20958,229.888
223,241.52226,227.79633
224,240.30077,236.29903
225,244.13394,218.47772
226,245.57135,231.66705
227,243.55902,225.02332
228,242.30182,233.90317
229,242.55151,227.52876
230,241.03156,241.79456
231,242.21692,224.78079
232,243.00673,230.81143
233,240.8239,223.85545
234,241.78844,227.80899
235,249.01976,224.98817
236,244.35728,232.01253
237,246.63333,226.00658
238,241.89879,233.32564
239,241.03899,233.54387
240,241.21953,232.03114
241,240.621,228.42694
242,239.40143,244.29843
243,238.72299,242.07127
244,248.39856,227.44032
245,241.24689,236.27248
246,240.0194,238.66634
247,239.67682,223.35864
248,246.13713,222.62009
249,247.25177,225.53789
250,244.3647,235.19102
251,241.64124,228.8202
252,240.53294,232.41058
253,247.9639,231.93771
254,245.4921,232.87093
255,248.77399,239.67424
256,240.99579,233.10979
257,240.03998,230.44884
258,242.43842,233.02222
259,246.4476,228.34892
260,239.86539,237.16188
261,248.39418,225.07532
262,245.81047,234.2674
263,239.931,239.8581
264,241.21674,234.40211
265,238.7806,245.23409
266,241.77405,239.01408
267,246.07718,234.10023
268,240.15569,236.94362
269,241.599,234.35472
270,244.10353,227.09108
271,243.97975,222.81593
272,244.06953,94.31979
273,246.6358,231.64622
274,241.94287,235.63542
275,241.59981,236.6406
276,243.22878,222.38675
277,239.42216,247.64235
278,239.9435,234.72441
279,246.7959,236.04147
280,240.83855,227.22874
281,241.51347,239.03767
282,242.96518,231.74176
283,247.36855,226.67184
284,242.42479,229.79242
285,243.70721,227.7253
286,201.45479,89.92128
287,244.70001,228.65276
288,240.51495,241.33939
289,242.15645,235.0913
290,246.3418,232.31943
291,239.85213,238.11491
292,243.87434,224.1476
293,239.8042,234.51546
294,242.8878,229.95743
295,247.37787,234.21544
296,240.03995,238.12117
297,244.58939,227.2245
298,245.06038,240.19855
299,244.78416,227.31673
300,242.73352,223.7373
301,239.07791,238.90253
302,239.37308,247.72346
303,248.16812,218.50626
304,241.44304,234.28944
305,242.78107,242.20293
306,240.17178,237.11238
307,240.32614,231.42258
308,246.62917,235.16722
309,246.87624,227.59177
310,243.14906,233.50563
311,241.865,225.92683
312,241.09671,236.97627
313,244.64857,229.44432
314,240.9321,225.80354
315,244.32974,228.59097
316,244.20381,227.11493
317,249.46176,223.44327
318,240.28996,239.1486
319,243.1461,234.32648
320,242.35347,231.24536
321,249.17613,237.59247
322,249.68668,225.03316
323,244.09749,227.85196
324,246.27394,226.08441
325,243.22893,230.97523
326,241.04659,241.70616
327,243.7131,226.89098
