,k1,k2
0,249.56284,238.74335
1,249.36281,242.60515
2,249.6286,240.08134
3,249.71982,235.01956
4,249.50444,238.7949
5,249.53387,239.15248
6,249.32436,244.69144
7,249.7166,234.26784
8,249.94714,230.26498
9,249.55289,236.93903
10,249.36583,245.8948
11,249.37277,240.33286
12,249.938,231.99995
13,249.47932,246.20836
14,249.25479,247.63939
15,249.93475,230.25359
16,249.95929,230.69453
17,248.95842,249.21954
18,249.90295,233.0813
19,249.69614,237.04486
20,249.94745,230.40671
21,249.66658,238.47505
22,249.749,238.69313
23,249.44197,244.78264
24,249.5893,236.72462
25,249.82442,236.79951
26,249.24457,249.94095
27,249.49954,240.41252
28,249.92484,233.26772
29,249.30339,245.15105
30,249.25967,246.6381
31,249.27235,248.24602
32,249.54297,245.20303
33,249.46574,239.79807
34,249.99469,227.03609
35,249.62888,240.50578
36,249.50267,241.60045
37,249.9417,230.73465
38,249.40263,242.49371
39,249.99246,231.63306
40,249.59372,241.99417
41,249.89041,233.66403
42,249.46039,239.63675
43,249.38692,242.32457
44,249.90869,233.59549
45,249.82962,231.16644
46,249.03183,248.86092
47,249.70758,238.28703
48,249.84138,234.73715
49,249.86505,231.54291
50,249.38515,247.77565
51,249.48592,242.40535
52,249.92984,233.61664
53,249.27467,249.38553
54,249.79724,235.98729
55,249.70381,232.23445
56,249.41222,244.43686
57,249.53297,238.5029
58,249.42488,246.54796
59,249.55063,246.36436
60,249.56366,239.71748
61,249.91779,230.12454
62,249.1954,248.9899
63,249.95879,234.27054
64,249.574,239.84067
65,249.25244,245.73882
66,249.52484,236.95593
67,249.94658,229.96161
68,249.40326,243.23193
69,249.50758,241.44508
70,249.80528,234.46805
71,249.97377,230.50598
72,249.73758,231.5593
73,249.6831,237.64124
74,249.82062,239.20198
75,249.45137,235.30063
76,249.37434,241.8611
77,249.72667,237.04024
78,249.31142,246.0436
79,249.30635,248.7341
80,249.48268,245.93283
81,249.88318,233.49866
82,249.62326,233.95827
83,249.3785,245.11021
84,249.74736,234.95729
85,249.84941,232.03946
86,249.32434,241.1509
87,249.61417,239.17615
88,249.62866,236.43509
89,249.70705,236.95793
90,249.62367,236.92497
91,249.96986,230.17297
92,249.70416,237.12141
93,249.36702,245.3323
94,249.76077,236.92625
95,249.83316,236.65242
96,249.62141,240.6225
97,249.3006,246.85115
98,249.30139,244.73991
99,249.37126,242.19925
100,249.39877,240.12805
101,249.80112,234.86922
102,249.4829,241.46423
103,249.72565,238.09589
104,249.87492,229.99327
105,249.82408,234.23795
106,249.6567,238.65898
107,249.62144,235.93097
108,249.09697,248.02061
