,k1,k2
0,249.62657,246.67073
1,243.60655,247.28468
2,247.94438,246.84717
3,248.98044,246.31958
4,247.6598,246.79364
5,244.9994,247.6932
6,245.42033,246.90474
7,247.64793,247.02185
8,249.68439,246.56877
9,246.93695,247.02159
10,248.25583,246.47473
11,239.62657,247.72507
12,248.1481,246.73502
13,248.4938,246.98563
14,249.41841,246.73518
15,245.8224,246.82114
16,247.86473,247.5237
17,249.21172,246.71004
18,249.25633,247.02936
19,245.49474,246.9655
20,249.85689,246.67892
21,248.8354,246.5808
22,248.72949,247.09277
23,246.10873,246.80661
24,246.91803,247.43005
25,248.58626,246.33887
26,248.64862,247.27344
27,246.94006,247.39241
28,249.70312,246.65852
29,248.4507,247.41243
30,245.38612,247.15817
31,248.52588,246.3496
32,246.68149,246.77966
33,247.45665,246.51898
34,249.08199,247.0502
35,247.41039,246.70314
36,245.25479,246.75981
37,246.42406,247.38414
38,249.77083,246.80049
39,248.5352,245.94978
40,248.0266,246.652
41,248.37376,247.73877
42,244.628,247.15579
43,247.61946,246.60942
44,248.26181,246.5996
45,248.28696,246.44766
46,247.0454,247.11688
47,247.52914,246.72896
48,249.28667,246.30545
49,247.56459,246.51419
50,249.95248,246.73842
51,248.78923,246.22536
52,247.70676,246.74553
53,249.92407,246.23586
54,245.07785,247.49011
55,249.25845,246.87721
56,249.10025,247.42816
57,247.89473,246.37357
58,249.76149,246.9048
59,247.97762,247.44363
60,249.41685,246.42363
61,248.30602,247.26222
62,244.00795,246.74727
63,249.78612,247.00635
64,249.6381,247.03984
65,249.96892,246.57657
66,248.62325,246.57703
67,249.23286,246.41504
68,245.09337,247.03566
69,243.46442,247.06549
70,246.94777,247.32753
71,249.37161,246.4023
72,247.45213,247.26733
73,249.42438,245.60118
74,249.46779,246.90134
75,248.04803,247.00491
76,249.21402,246.93576
77,249.64275,247.22699
78,249.23067,246.76659
79,245.40706,247.49908
80,249.35655,246.59207
81,245.05092,247.17938
82,248.15282,247.43942
83,247.41927,246.92754
84,245.11139,247.40633
85,249.49908,246.56494
86,248.09314,246.70802
87,248.26628,246.58115
88,249.71463,247.42577
89,248.62831,246.53004
90,249.2527,246.0756
91,246.36311,246.7356
92,243.60838,247.68066
93,243.31863,247.14714
94,246.76271,247.3204
95,245.0338,246.83177
96,249.05286,246.69467
97,248.7088,246.3417
98,248.8499,246.75807
99,244.77539,247.48828
100,245.8614,247.30415
101,246.84459,246.90015
102,247.09636,247.05511
103,246.32188,247.09236
104,248.46371,247.49406
105,248.657,246.6972
106,244.06169,247.21246
107,249.36786,246.33356
108,249.35149,246.28851
109,248.09622,246.2903
110,249.09172,247.59923
111,249.71632,246.62021
112,246.29124,247.26588
113,249.00652,246.59033
114,247.56113,246.45718
115,242.4455,247.12611
116,246.16165,246.6387
117,248.57979,246.85658
118,249.543,247.35619
119,246.45052,247.38689
120,245.81868,247.44968
121,249.48438,246.64948
122,249.07492,246.33813
123,248.03926,246.89082
124,246.24301,247.38496
125,245.02998,247.14949
126,247.79063,246.96057
127,242.09776,247.47502
128,249.73216,246.48962
129,249.97699,247.21991
130,244.54477,247.03102
131,248.77905,246.65227
132,247.95299,246.96675
133,249.70999,245.9944
134,247.69923,246.55148
135,247.16534,247.0879
136,245.92609,246.97272
137,247.86002,246.7149
138,248.27985,246.75862
139,249.03712,247.37383
140,247.43513,247.21187
141,249.1114,246.91039
142,247.7638,246.9157
143,247.7282,246.75716
144,246.17801,246.66232
145,248.02763,246.24979
146,249.93713,245.9538
147,248.24052,246.7014
148,245.71808,246.82776
149,248.27997,247.25104
150,248.48509,246.84813
151,249.4265,246.70253
152,245.95737,246.7357
153,247.88791,247.03584
154,249.18765,246.5152
155,249.06467,247.028
156,246.00839,247.48837
157,242.9932,247.09575
158,249.72798,246.5621
159,246.67674,247.15192
160,247.42807,247.44618
161,243.79915,247.17648
162,249.13869,246.36946
163,245.45403,247.21796
164,245.33708,247.40134
165,249.52151,247.00552
166,249.69081,246.88602
167,246.76529,247.40094
168,249.34552,247.16753
169,245.89948,247.14543
170,241.80571,246.99934
171,248.74,246.43149
172,249.3371,246.8703
173,249.22691,247.16718
174,243.41672,246.98703
175,248.66321,246.82858
176,249.8893,246.85449
177,248.53653,246.76178
178,249.47556,246.49066
179,244.71744,247.69078
180,248.99916,247.18236
181,246.43225,246.87123
182,242.78343,246.86327
183,249.28708,246.40794
184,247.30464,247.02834
185,248.57692,247.23555
186,249.55675,246.74779
187,249.84042,246.9893
188,248.00485,247.12242
189,241.9379,247.83678
190,249.19437,247.46179
191,246.51704,246.52527
192,246.84424,247.04312
193,248.94447,246.4441
194,247.8352,247.77846
195,249.34885,246.62878
196,249.74942,246.7403
197,239.72552,247.72083
198,249.50325,247.1777
199,247.18896,246.70547
200,248.89334,246.35439
201,247.62532,247.04454
202,246.78171,247.4411
203,246.32628,246.13187
204,249.71248,246.57928
205,248.96945,246.95914
206,246.43332,246.992
207,244.9665,247.25798
208,244.87291,247.66345
209,249.58778,246.92793
210,245.96858,247.04181
211,247.70255,246.73288
212,244.29866,247.53981
213,245.62726,247.2749
214,246.17566,246.61023
215,247.43692,246.71127
216,246.91512,246.89284
217,248.93431,246.18605
218,248.80582,246.54578
219,247.11961,247.24677
220,244.1591,246.67099
221,249.54372,246.73312
222,247.93857,246.67242
223,248.37224,246.76717
224,242.04436,247.24248
225,245.4249,247.21085
226,249.65005,246.47008
227,248.75641,246.76068
228,248.73462,246.64941
229,247.38173,246.71748
230,245.447,246.98746
231,249.53107,246.7491
232,248.24634,246.77727
233,240.86574,247.14432
234,249.25987,246.25676
235,247.0797,246.61484
236,247.23341,246.85684
237,249.32356,246.436
238,244.00566,246.98956
239,249.92055,246.88055
240,245.22835,247.42563
241,249.05096,246.8651
242,248.57065,246.73923
243,247.46063,247.21597
244,247.89633,246.37706
245,246.77507,247.96431
