,k1,k2,k3
0,87.38509,223.08003,143.27802
1,126.91658,217.31604,172.57346
2,167.91986,234.03644,174.1507
3,166.73418,232.18936,198.16714
4,168.12483,232.2791,202.0537
5,181.2781,241.922,221.32484
6,173.62364,242.22131,214.32191
7,78.211876,221.93001,148.84291
8,171.65251,236.00085,205.52563
9,177.62576,234.07312,197.41351
10,182.13748,232.47731,185.81433
11,211.01083,248.01152,242.19208
12,104.244545,218.1802,152.98999
13,139.51424,240.58199,179.11398
14,166.43048,238.30035,215.52264
15,157.61398,242.09642,190.97151
16,63.071793,215.05283,157.3837
17,173.9504,239.89842,208.8694
18,160.48927,243.54929,199.2423
19,188.9304,243.7816,215.05583
20,177.02142,242.29643,207.94632
21,90.934975,228.2193,153.49782
22,179.65717,239.62935,212.64417
23,182.10136,244.40779,213.7072
24,184.21423,242.41087,234.72308
25,217.16696,243.26317,231.13828
26,200.96948,241.60051,242.34653
27,102.44887,237.96568,151.24973
28,182.98619,247.07298,207.16092
29,147.59459,237.31229,188.64258
30,164.52408,232.80122,203.19328
31,179.86641,236.70303,190.66063
32,187.31847,232.7188,214.99026
33,182.34712,236.1045,232.38206
34,190.43578,233.45168,223.05055
35,141.33665,227.3591,193.76111
36,161.87054,247.13045,201.77869
37,224.78893,245.89484,242.41801
38,183.80576,229.49922,205.36113
39,171.56465,235.1636,194.03798
40,134.60976,230.35567,174.24031
41,185.23349,231.08505,231.9559
42,225.03326,248.18864,224.68237
43,218.67259,211.3241,249.45699
44,111.76402,226.35344,144.89291
45,144.66003,225.20448,194.36711
46,140.74907,242.57907,195.81259
47,185.55534,248.54951,237.42332
48,169.65302,239.58907,192.3355
49,154.53702,237.26901,173.43646
50,144.58487,224.4621,204.67032
51,155.19681,239.96985,198.5586
52,168.1752,239.49434,183.00026
53,185.34697,226.2008,197.01813
54,121.705,198.77866,186.80408
55,77.80788,236.76118,139.71672
56,110.79988,229.5941,152.871
57,125.44215,229.1034,169.52911
58,137.94235,200.0122,161.32399
59,180.86732,233.80673,234.706
60,207.40665,242.37227,228.7411
61,66.47377,220.13759,124.96707
62,214.35538,238.76485,227.28558
63,142.57268,219.9167,164.36177
64,141.93861,226.29123,176.90166
65,90.06087,217.00235,145.58519
66,203.73067,249.81757,241.19308
67,187.53961,232.9249,212.53163
68,156.34358,246.24307,167.5115
69,197.91924,230.38377,231.02917
70,122.645195,219.95943,145.68852
71,162.11978,240.41,208.77364
72,171.05785,228.86082,202.04121
73,165.03883,239.92256,208.9294
74,209.55405,219.22107,200.94214
75,226.24852,236.18321,231.7575
76,218.15747,240.62796,248.38432
77,194.49236,225.65518,205.47015
78,172.25085,236.74667,191.99036
79,155.66194,244.06604,194.4504
80,131.21407,221.65611,181.41107
81,136.31157,238.2818,160.08582
82,162.18297,240.81496,182.61673
83,85.32,203.56532,142.22594
84,151.74974,235.32863,166.05083
85,146.2892,246.3115,204.92624
86,196.7323,243.58916,221.51962
87,126.005455,233.79591,150.17242
88,194.55244,241.99203,227.08485
89,160.42412,231.23572,210.1695
90,153.54501,241.6769,205.83543
91,189.25186,247.91629,207.07492
92,141.74052,237.89061,173.0135
93,140.99147,206.7385,181.6497
94,85.954346,236.63197,168.29489
95,111.76012,213.84067,160.16248
96,182.35637,223.83626,238.74965
97,211.6507,244.70177,218.99776
98,153.07613,241.67294,207.62155
99,125.61523,217.29047,161.96976
