,k1,k2,k3
0,186.09805,189.42502,196.9437
1,210.28615,23.696909,216.1381
2,188.42345,206.18123,196.11139
3,195.78186,96.604294,185.67316
4,224.05602,191.04141,179.70428
5,188.70491,151.89629,165.41507
6,183.36725,158.05855,190.03287
7,225.8729,145.7735,237.32799
8,192.74896,194.20592,170.78441
9,200.89923,130.96722,198.9093
10,190.86711,177.74803,198.31693
11,214.56282,225.57123,234.59985
12,180.66042,102.97464,159.11838
13,215.0259,184.41115,220.02597
14,209.6487,109.158875,177.34703
15,200.90369,155.56436,170.10231
16,226.46869,231.7068,193.91768
17,212.64748,233.31888,223.2372
18,195.61154,205.29494,177.32596
19,188.01799,54.30759,174.0972
20,225.06511,192.99905,210.32355
21,194.43576,157.2052,166.36621
22,201.60927,125.457726,210.73418
23,215.36638,130.71866,158.88371
24,165.61064,121.75733,207.35071
25,203.81781,152.02008,142.8792
26,241.10594,245.63693,203.98318
27,205.55275,247.83109,219.65547
28,232.34645,145.66919,187.445
29,168.32756,61.295616,135.31439
30,165.77754,83.71612,138.66396
31,215.30911,236.0812,193.85191
32,191.70444,224.03554,156.6056
33,223.25783,208.03712,232.6257
34,231.15009,162.60493,233.98026
35,225.80167,172.6497,180.02483
36,236.90384,167.5641,197.77571
37,227.03865,186.18794,217.22374
38,160.595,54.67499,142.17546
39,189.52429,246.72783,167.56921
40,205.52864,203.85773,204.32503
41,190.32973,196.79485,201.26154
42,192.50748,227.10226,157.23488
43,176.08652,116.05443,193.11931
44,172.22308,193.0832,157.17885
45,169.67049,9.185869,195.39809
46,153.92421,105.457825,160.96585
47,233.81638,159.71442,180.16525
48,228.61815,34.287323,226.39622
49,244.36555,23.151917,201.4505
50,195.62534,99.814316,174.51659
51,206.8158,132.38095,194.65181
52,240.75421,151.0635,229.06122
53,213.1188,229.81377,187.9387
54,230.42152,12.033825,222.94666
55,239.39186,178.75157,175.33453
56,185.89818,155.23831,164.60715
57,202.15814,139.44911,188.76685
58,234.05551,87.91783,219.96089
59,213.06638,179.22217,193.39452
60,199.53937,226.54764,199.03342
61,237.45026,166.32347,219.90776
62,220.36699,83.58749,197.75034
63,190.85194,91.449684,174.10345
64,222.55359,166.93332,164.99275
65,202.2148,85.21128,193.36641
66,227.39478,214.34142,230.25612
67,231.41168,238.28505,196.45955
68,224.60513,179.09741,176.47655
69,217.41522,217.84862,199.58575
70,198.62149,150.45801,168.77966
71,163.16127,227.49469,221.91017
72,223.72916,237.24,231.58247
73,236.78203,116.71967,212.97026
74,168.7109,66.836395,178.95256
75,209.54843,167.80836,244.55992
76,210.97473,229.7764,194.31596
77,234.01643,220.17181,207.44206
78,181.01514,153.83891,181.34447
79,221.91496,239.07538,206.82262
80,168.38454,200.06683,183.20619
81,231.49303,92.88931,246.37598
82,185.6291,226.98282,181.04153
83,214.16187,38.026817,167.54053
84,205.51234,112.0849,192.16898
85,230.99252,222.08044,197.93513
86,213.8109,208.37471,214.54634
87,218.07925,116.50689,192.13167
88,199.8666,114.086815,192.75433
89,185.70953,122.37216,202.12428
90,214.32262,171.65912,199.19601
91,218.81119,209.50642,233.95201
92,195.43356,111.49515,224.42252
93,228.03821,240.52585,189.16252
94,149.33305,89.676575,93.170334
95,157.63385,39.810875,178.80392
96,220.73106,167.97621,227.91986
97,173.55655,44.358685,161.8919
98,226.23029,204.42735,188.91617
99,242.48834,211.82619,230.62192
100,146.91522,122.381874,173.5587
101,239.43073,174.98795,214.52061
102,238.74796,187.99586,182.47882
103,197.13686,155.68956,180.10707
104,212.49164,123.349556,171.90833
105,237.65375,248.12221,187.15541
106,179.74123,134.69302,203.59216
107,196.7692,119.95584,172.04323
108,157.4684,51.77775,145.12904
109,225.48732,170.28581,213.7728
110,202.91257,193.26294,186.98407
111,241.217,232.62291,197.18015
112,206.88422,199.18047,175.43492
113,205.84613,207.54593,176.49371
114,220.65642,108.435524,235.3785
115,218.44681,105.94787,190.20651
116,228.53658,229.21771,226.57933
117,226.58217,138.32054,192.72482
118,205.6417,235.67705,195.40782
119,227.30104,81.683846,242.38286
120,185.5278,107.69726,213.95676
