,k1,k2,k3
0,195.92395,249.76851,248.77144
1,198.28061,248.6263,248.9675
2,197.50967,248.85669,239.5449
3,196.57454,248.33603,248.75758
4,200.00247,249.56303,249.48035
5,197.46962,249.77089,242.89005
6,197.167,248.8139,247.38377
7,198.06949,248.32074,236.44969
8,197.06546,249.55815,242.82697
9,194.88539,248.69676,235.47858
10,196.67543,248.53094,248.92355
11,195.40579,249.68605,242.65483
12,199.59042,249.30243,248.4847
13,197.39839,248.5339,249.42126
14,200.44368,249.29947,248.73386
15,198.44923,249.01259,235.69992
16,194.80719,249.78,246.71736
17,197.16904,249.21501,245.42989
18,198.04141,249.43565,243.73622
19,203.08287,247.6589,240.47713
20,195.11299,248.83212,246.61595
21,194.69043,247.61247,245.76433
22,197.0545,249.12656,244.68408
23,198.2655,249.15015,243.52403
24,196.32808,249.93326,246.09863
25,198.51555,249.99731,249.33395
26,195.17924,247.68118,243.34221
27,198.04047,249.5827,241.53879
28,199.13033,246.7533,245.12456
29,194.45801,249.10838,247.449
30,197.41559,249.97783,245.94766
31,200.82614,247.87311,247.68625
32,199.55763,246.68274,242.55336
33,197.01419,248.81058,243.9428
34,197.97253,249.33607,248.11082
35,198.04222,249.43292,231.3401
36,194.7596,247.34789,246.37334
37,198.92273,248.74623,245.84595
38,198.14717,248.93077,238.24239
39,198.25769,249.51425,242.91599
40,196.26384,248.35379,243.16037
41,200.46095,248.37996,249.75801
42,198.73434,249.84285,237.79716
43,196.26483,249.46666,241.17093
44,196.6216,249.34195,247.28052
45,194.12535,249.59036,248.04704
46,198.08911,249.75435,247.77719
47,201.72632,247.81593,247.00735
48,193.12614,248.13594,228.90596
49,199.70667,248.72565,247.03493
50,197.36827,249.57216,245.46446
51,197.77588,249.48096,243.04413
52,200.12144,246.06874,249.39862
53,201.00128,247.33557,226.96011
54,200.65002,248.66998,247.18124
55,197.79836,247.01526,246.52975
56,196.65611,249.16989,247.69064
57,198.04091,249.2166,246.21408
58,202.71799,248.3906,247.90747
59,199.41805,248.78696,243.71916
60,195.11525,249.55351,234.23538
61,197.19876,249.74748,241.51729
62,193.0088,247.22813,239.55197
63,196.38243,249.13214,242.7232
64,197.04764,249.77654,236.09369
65,195.84538,249.50613,243.35062
66,197.46126,247.26772,244.96463
67,197.4649,248.28705,240.5318
68,192.9981,248.17094,235.02908
69,196.73863,249.36536,240.42696
70,199.55458,249.17708,240.0434
71,198.16272,249.6055,243.77469
72,196.65392,248.65909,239.63998
73,197.63641,248.153,233.2331
74,197.56297,249.2124,246.5352
75,195.53056,248.54398,230.41135
76,198.86137,249.97914,247.64886
77,195.58301,249.15283,239.7534
78,198.82259,248.78238,244.3455
79,196.77339,249.66013,247.8792
80,194.21152,249.58057,249.86331
81,197.37825,248.94897,244.01535
82,197.73308,248.04959,240.11275
