,k1,k2,k3
0,239.46423,246.74522,248.0863
1,238.36449,249.82736,249.9441
2,243.80411,249.0386,249.2611
3,244.49414,246.73672,249.30264
4,239.90082,242.90628,249.9402
5,243.64165,246.92812,249.19582
6,241.19977,248.52289,248.49269
7,240.53993,249.29117,245.39168
8,241.17134,247.7462,249.70279
9,243.9415,245.93506,249.06215
10,242.69353,248.64847,248.46469
11,237.53674,248.79884,248.75641
12,244.02924,247.4139,249.48723
13,239.35289,245.27112,249.99925
14,246.73248,246.02586,249.66061
15,234.26003,249.23228,249.41281
16,240.50288,248.8535,248.89682
17,233.92372,247.75688,247.91466
18,238.7576,249.75124,249.35083
19,243.60709,249.76483,247.94308
20,242.66467,249.81844,249.57915
21,240.66893,246.6678,249.2539
22,240.25513,246.1524,249.54701
23,245.7733,249.18391,249.50896
24,245.16495,247.18777,249.09569
25,239.76768,245.99648,248.92365
26,241.83632,249.8149,249.43599
27,239.8181,249.12599,249.94739
28,241.67622,249.50084,248.91386
29,236.70592,248.70934,248.3617
30,248.87337,248.2528,249.5191
31,234.71623,248.73232,248.9315
32,242.57913,249.96233,249.71486
33,238.77333,248.07805,249.2288
34,241.1443,249.41953,249.56107
35,246.90663,249.34789,248.98846
36,240.2422,249.31744,248.04227
37,242.35011,249.50862,249.11389
38,245.95256,249.22028,249.03052
39,242.28844,246.62613,248.73651
40,237.11084,249.12842,247.76077
41,238.27388,249.234,246.66568
42,243.54494,247.85133,248.73346
43,235.25749,249.38586,248.82494
44,238.37743,249.94017,248.90344
45,243.15901,249.62329,245.95187
46,236.40671,248.41725,249.71994
47,234.11774,249.67203,248.9084
48,247.28119,249.88118,248.36852
49,231.9012,249.95111,249.71216
50,239.28503,249.60307,249.47319
51,245.03925,249.40741,249.7294
52,239.58275,249.46861,247.83432
53,237.85847,249.33936,249.48152
54,239.25801,248.38249,249.87846
55,246.52527,246.78018,248.15062
56,244.9101,249.72012,249.59927
57,243.05106,247.84221,246.63857
58,237.86385,246.74818,249.74028
59,242.07645,248.75087,249.32413
60,238.11884,248.46045,249.9512
61,243.03261,247.36443,248.4357
62,235.42082,249.39424,249.20828
63,232.89098,245.9386,249.85513
64,242.231,249.0921,249.744
65,239.63885,249.25273,247.3025
66,237.02986,248.49377,248.19804
67,229.70227,248.93277,249.42554
68,242.46156,249.35933,248.26442
69,244.7101,249.59183,249.54927
70,229.19235,248.64384,249.68051
71,237.83978,249.35681,249.78038
72,246.36357,249.3589,249.61084
73,241.70213,248.4266,249.6851
74,238.64566,248.0521,248.8792
75,249.81355,249.2748,248.97008
76,234.68658,247.50908,249.44295
77,243.36412,249.76619,247.72006
78,241.22679,248.53915,247.86783
79,237.05893,245.43056,249.36789
80,244.34312,248.52032,249.84843
81,237.17078,248.86414,249.96573
82,241.59421,249.96426,249.58841
83,233.38942,249.91232,248.1594
84,247.24542,249.94667,248.3597
85,238.95723,249.79811,249.20831
86,242.50407,247.67268,249.05536
87,244.06244,249.77364,249.9915
88,239.61761,249.06026,249.33417
89,240.44038,249.03195,248.79265
90,244.34613,247.76807,248.1298
91,234.89723,248.60912,249.76408
92,236.4337,249.98775,248.57683
93,247.45573,248.69249,247.49994
94,237.41115,244.32655,247.97404
95,242.36919,249.00194,248.24878
96,241.69966,247.95992,247.61533
97,241.79013,247.50832,247.83324
98,238.10231,249.15709,249.13557
99,237.67865,247.74274,248.13365
100,245.01767,249.33968,248.79475
101,239.28726,246.76018,249.98373
102,244.29774,247.82646,248.70503
103,244.24818,248.56036,248.83844
104,237.9553,249.5164,249.39572
105,235.81555,248.76495,249.91241
106,239.4452,248.11134,249.79745
107,242.31715,249.04999,249.49847
108,243.06252,248.30377,249.57237
109,242.84499,247.53148,248.2035
110,236.9004,249.63,249.19798
111,235.72327,248.53468,249.98447
112,233.78479,246.24501,249.9991
113,242.77406,248.42947,248.04074
114,237.95117,245.45087,248.59799
115,243.02318,248.72116,246.28424
116,242.9777,249.81831,249.57748
117,231.39862,249.6689,249.733
118,247.14862,249.18411,249.51933
119,241.53003,248.569,249.72162
120,240.71693,247.42528,249.7623
121,239.5284,248.49725,249.24394
122,248.2333,249.78088,247.70596
123,245.03513,249.9081,246.87881
124,234.81245,248.07965,248.86563
125,235.89023,248.99736,249.37373
126,237.85527,248.46234,249.25568
127,242.31696,248.95125,246.78339
128,244.04823,249.10838,249.02074
129,242.74564,249.6487,249.79268
130,240.48933,249.84102,248.89558
131,243.76593,249.95132,247.65576
132,237.06805,249.33752,249.79755
133,243.94113,249.24254,249.87457
134,242.60544,249.62047,247.88379
135,242.56665,248.94856,248.8744
136,241.96272,247.5498,249.95064
137,238.93265,248.9245,249.85924
138,246.27954,248.95093,249.79536
