,k1,k2,k3,a1,a2,a3
0,208.65576,149.73247,160.6311,20.24843,25.753489,24.46407
1,165.26248,249.47948,146.98851,24.743702,23.45271,24.956455
2,247.64917,230.23703,123.8358,25.05725,22.883305,25.926428
3,198.76984,194.04454,140.28983,24.63166,25.726282,25.281168
4,131.85606,129.23845,205.20703,24.43923,36.62404,23.904411
5,174.00293,158.50948,184.04831,25.73269,29.011948,23.784588
6,153.99046,147.70972,181.4568,24.98351,30.27068,24.49811
7,228.05533,159.2135,146.77579,23.402346,26.258114,24.961655
8,132.1681,132.89665,220.91122,23.907425,35.3885,23.687407
9,182.07161,179.15344,148.4793,21.317238,23.740944,25.507565
10,215.76001,206.72777,110.14822,22.494713,23.657873,26.227478
11,159.93282,152.7694,121.96649,25.31295,30.720089,24.949387
12,184.89903,123.910805,219.56119,24.087128,28.738073,23.443758
13,143.75467,118.56415,169.49092,23.54687,32.769302,24.482004
14,151.56104,129.43822,71.655014,23.371141,28.28841,24.781792
15,222.74142,196.38617,114.30275,23.440237,26.593351,25.969433
16,174.8705,120.8041,74.47845,22.11496,30.034206,25.691956
17,138.34335,144.2581,174.21927,23.85194,30.658646,24.763664
18,155.80408,160.73172,194.3646,23.630274,27.910896,24.46928
19,202.1878,81.6215,150.78627,21.723698,26.550053,24.577686
20,163.76949,108.88441,123.90085,22.346645,31.887814,24.501251
21,225.78444,98.80736,150.75922,21.304373,27.010818,25.030264
22,192.39943,183.7744,161.2409,24.379847,25.526182,25.147163
23,217.68575,176.5007,141.17944,22.540663,24.771421,24.501356
24,163.71475,173.89944,130.33275,24.022678,27.674711,24.872942
25,172.01859,81.47614,143.36906,22.144615,31.152195,23.882603
26,190.86935,161.45058,57.855225,22.552317,27.521828,26.356194
27,152.19585,150.1074,115.91902,22.445976,28.10577,24.848246
28,205.26996,199.18477,177.35497,24.25803,26.119976,24.95524
29,174.76201,182.7444,212.53815,25.67964,30.053997,24.171925
30,230.85011,219.64561,112.89291,23.674381,22.24819,25.766998
31,183.34067,127.38782,209.91824,24.724033,31.363914,23.35522
32,225.24878,228.13477,152.37073,24.287552,23.62622,25.709637
33,193.00749,186.76118,209.22743,24.28606,25.659502,24.328827
34,159.56068,129.91815,193.651,25.623817,30.368706,23.995892
35,214.70242,160.69058,68.24112,20.107191,23.957329,25.87158
36,162.85521,156.19052,187.56273,24.425983,27.32088,24.898829
37,138.81918,116.12105,108.34522,22.991789,30.466518,25.10601
38,211.01857,189.66113,161.24448,21.759245,23.673153,25.46566
39,192.33345,167.42888,166.0996,23.632019,25.022661,24.805298
40,236.45639,233.93333,228.02934,24.200703,23.675846,26.144768
41,244.57729,155.95512,178.93887,24.886646,23.824919,24.323072
42,179.14049,153.58656,92.90814,21.005075,22.140072,25.853193
43,177.12666,158.51134,208.88335,23.409277,26.060598,24.666332
44,143.41974,90.29148,172.82823,21.584524,35.41236,23.833801
45,144.06483,136.3348,134.88774,25.924496,31.367588,24.388779
46,149.06099,174.22267,201.11156,24.680414,30.140665,24.338715
47,225.56854,194.71658,233.52821,24.703741,26.503162,24.366285
48,195.26056,213.92061,211.55435,23.279036,24.731258,24.667627
49,206.70316,166.26889,144.05046,23.105877,26.811153,25.459114
50,231.58983,220.88351,224.47728,23.180418,24.82391,25.270597
51,213.41037,144.50395,208.50784,23.430326,26.811188,24.183727
52,147.26112,136.73523,215.2506,24.264244,34.169415,23.980637
53,215.31677,140.03407,211.68596,23.452738,27.24716,24.573652
54,202.17723,206.95197,167.57372,24.06013,26.963383,24.6214
55,203.27898,184.23874,201.6309,21.400085,23.938892,24.41426
56,206.14775,111.23871,100.76192,23.115194,28.046623,25.539505
57,149.0532,111.36266,116.48333,24.215515,30.982128,24.384178
58,202.45483,127.639336,130.28766,22.627762,27.40338,25.054613
59,154.96928,108.52532,135.29077,23.318062,35.41581,24.260542
60,179.11368,218.27318,161.27776,24.433722,24.659225,25.065428
61,124.9468,174.48668,203.41321,24.38317,29.3277,23.594545
62,198.18481,162.00883,39.343674,22.733356,25.206945,26.320911
63,169.00832,119.48901,217.13858,24.634747,31.443594,23.582344
64,150.11833,131.08055,242.03043,25.412798,31.662424,23.353577
65,207.29907,154.50775,183.79375,23.96214,25.991037,24.334146
66,225.10071,213.86072,87.43313,23.097492,22.572544,26.532742
67,144.12704,131.26088,92.420975,23.791332,33.19803,24.724453
68,136.78093,155.71623,167.13896,24.182552,27.045115,24.24789
69,246.43901,173.87437,198.80011,24.295456,26.254536,24.419025
70,169.24214,124.77414,227.5978,21.777344,27.456667,23.330734
71,217.09598,132.5051,209.09946,22.252243,28.718845,24.033089
72,201.47343,198.46559,144.96246,22.682365,25.2201,25.5779
73,214.4737,180.00247,54.408665,20.141342,23.90765,26.562304
74,204.60562,228.29787,150.20958,23.449589,23.015623,24.952595
75,203.38509,185.90683,238.15273,23.4365,25.69822,24.386667
76,185.83339,148.5341,134.63089,22.750984,26.343388,25.077183
77,192.8357,174.51572,139.55666,24.978554,27.065292,25.60717
78,159.93382,128.28485,135.28189,24.3036,28.897493,23.94429
79,180.35355,148.40028,92.36446,22.944077,23.569849,25.263338
80,167.24124,91.82072,177.45915,21.26341,29.599434,24.476938
81,247.95467,233.90074,219.86484,24.634602,22.789825,24.932392
82,241.72433,173.95505,87.40344,20.19239,22.94924,26.25087
83,214.67928,229.89882,159.80997,26.15854,24.298782,24.980322
84,156.5477,149.92523,106.11306,22.810436,27.520302,24.744196
85,181.25325,146.49878,88.84061,22.5199,25.466894,25.229034
86,223.83058,223.97046,95.54776,22.361471,23.933691,26.260582
87,133.85081,160.9184,188.34538,24.730417,31.211702,23.659071
88,201.02158,174.83539,165.8056,23.08737,25.953548,24.787317
89,217.75723,155.99553,197.49606,23.156826,26.017086,25.008932
90,210.9009,127.48882,201.07327,23.591822,28.285078,24.578863
91,197.53722,168.91371,181.5817,21.6536,25.222467,24.290665
92,223.15985,185.7805,241.29248,23.83157,25.844484,24.132214
93,146.61908,150.67087,206.22536,23.970156,33.85457,23.996798
94,173.4342,151.3943,139.08192,24.671482,28.399834,24.955498
95,192.70125,146.12686,220.81116,23.420197,26.968975,23.538286
96,227.81464,219.92023,175.46602,22.690525,24.155287,25.67488
97,223.84636,168.45044,163.20302,22.464918,23.900244,25.235966
98,166.93031,129.9669,215.9225,22.631706,27.841673,23.83722
99,218.29901,181.38632,213.93082,24.395855,25.92512,24.829002
