,k1,k2
0,220.5425,243.5835
1,218.80879,249.17482
2,217.58263,242.95453
3,217.2393,248.65323
4,224.52637,243.735
5,240.61256,245.36412
6,223.6024,242.29883
7,220.3017,243.2252
8,218.55298,245.2525
9,222.95064,244.53764
10,234.55325,244.11905
11,246.45703,247.46227
12,225.87099,242.62976
13,224.45247,246.74979
14,217.0037,244.6541
15,219.68767,244.06007
16,222.59543,243.66129
17,223.46666,242.28502
18,222.86646,243.60136
19,241.60097,246.35023
20,225.601,241.2264
21,220.5847,245.61224
22,222.97351,241.11026
23,240.11581,244.91705
24,230.70615,242.60071
25,222.03627,247.77878
26,219.7294,249.35423
27,226.3423,241.94844
28,246.35693,247.4801
29,217.49225,247.97871
30,233.19342,242.4858
31,226.33446,243.38118
32,223.77501,243.42502
33,213.83528,243.51491
34,222.50023,245.24487
35,239.75589,245.63095
36,222.98946,245.1218
37,231.57912,244.06084
38,220.29568,247.35692
39,221.15529,245.46927
40,217.475,243.24959
41,221.03777,243.01144
42,219.34276,247.19759
43,234.76872,244.6299
44,221.1184,241.99458
45,248.11479,247.77075
46,222.65536,246.195
47,220.25394,248.14052
48,222.57208,245.87231
49,232.10045,244.00813
50,220.96461,242.99217
51,224.24054,246.14221
52,217.69676,248.51686
53,221.95609,248.08939
54,219.91855,246.88562
55,248.37231,248.447
56,221.5056,246.02238
57,243.08014,246.9934
58,218.63786,248.65842
59,219.21933,241.91792
60,232.67197,243.82506
61,230.34662,242.74458
62,227.0945,242.44576
63,244.52235,246.83942
64,224.84953,243.34242
65,221.72748,249.35124
66,230.6221,244.55763
67,241.71107,245.84773
68,221.93933,243.7427
69,219.11577,241.95438
70,220.52725,243.38353
71,230.0098,243.4393
72,219.68738,244.2558
73,225.52692,245.60275
74,217.53453,244.8553
75,236.70702,245.54501
76,229.05923,242.5381
77,219.70053,246.89622
78,221.83234,244.57512
79,235.71783,244.60988
80,218.95996,245.15762
81,218.67473,246.78235
82,220.84155,243.26778
83,225.5462,241.76523
84,221.45058,244.92888
85,224.25237,243.52403
86,218.87448,247.80371
87,217.01366,245.49272
88,218.83319,242.77042
89,232.29031,244.07277
90,225.8593,243.32487
91,218.18428,246.95862
92,221.70665,240.59723
93,221.96556,242.49655
94,217.8357,243.25937
95,221.86858,242.28053
96,227.04265,242.45439
97,217.86455,245.89919
98,207.83469,244.84274
99,232.82692,243.61292
100,246.31073,247.76118
101,221.73402,245.10742
102,233.20192,243.84932
103,231.369,243.54964
104,231.6941,243.32973
105,227.97275,244.74426
106,219.59364,242.23468
107,233.50116,244.0824
108,226.91776,243.11981
109,239.0169,245.75786
110,224.94681,241.51733
111,243.12733,247.16876
112,217.5559,247.57237
113,220.15839,249.36752
114,221.34164,245.49858
115,228.99466,244.24509
116,221.46411,242.25362
117,231.22389,243.81564
118,219.30513,243.20287
119,220.3693,247.1299
120,225.84756,241.29094
121,224.02165,245.21785
122,231.41542,243.70372
123,223.55084,248.06746
124,220.08878,247.36313
125,230.55234,243.13255
126,226.29086,242.4447
127,226.67636,242.18184
128,237.88838,245.79
129,217.68306,246.6461
130,218.41365,244.06163
131,224.7051,244.06113
132,225.68507,241.94118
133,223.5101,241.76094
134,229.25777,243.27737
135,219.8738,245.17221
136,223.35876,244.27359
137,223.24863,240.54503
138,218.20946,240.60193
139,219.52332,244.10484
140,221.8779,247.58554
141,235.83705,244.87053
142,222.21501,242.88628
143,237.61105,244.89507
144,219.86398,248.96974
145,244.2235,248.332
146,223.21147,241.42183
147,225.7779,243.89569
148,229.32443,243.44258
149,221.42784,249.6736
150,234.57227,244.4826
151,219.3118,244.43782
152,224.35208,241.11026
153,223.62724,243.686
154,227.50444,242.26396
155,226.15918,244.5705
156,219.90521,247.8046
157,225.18184,243.93047
158,225.42151,242.45905
159,227.38965,242.03362
160,219.91806,247.7323
161,220.76965,246.6116
162,219.22713,242.98817
163,216.40274,245.95891
164,235.19075,243.83803
165,217.47151,245.55464
166,229.55571,242.7228
167,226.2338,242.29456
168,223.50844,241.78648
169,218.6345,247.05089
170,216.99083,247.34215
171,220.59445,244.1509
172,246.76625,247.87772
173,219.88718,240.18492
174,226.39534,241.8696
175,218.5685,244.65775
176,218.11458,247.65068
177,222.39465,249.95534
178,226.93898,242.45168
179,248.45132,248.353
180,221.59865,246.88135
181,246.09149,246.9642
182,248.0743,248.0886
