,k1,k2,k3,a1,a2,a3,g1,g2,g3,n1,n2,n3,b1,b2,b3
0,247.98877,55.472668,211.57658,36.02464,34.233196,31.896078,1.4730822,0.44014558,4.6401033,4.637541,1.6247153,4.4820766,24.099556,45.661907,24.820398
1,218.54437,76.336525,200.2984,32.64013,20.086578,36.25152,2.4121003,0.608874,4.0684776,4.6565185,2.4078507,4.874764,24.401962,42.382698,25.104233
2,224.99193,64.59187,243.92955,35.663643,23.131351,31.59766,4.5863814,0.6857049,2.0454056,4.7406874,1.882951,4.8378477,23.684406,39.67713,25.024836
3,238.33813,68.48703,228.9265,35.546803,21.132084,34.001835,3.0328739,1.5944908,2.2704523,4.8946977,3.6381137,4.4592886,23.817667,45.0159,24.4177
4,218.28308,39.667316,222.69325,38.97561,34.979546,35.964176,3.3653717,0.61015433,1.9565303,3.5319293,1.2287929,4.7090635,23.710178,39.213413,24.442074
5,237.29977,38.13539,241.42896,37.22642,37.282787,31.345076,1.0834731,0.56820536,1.9387169,3.9714453,1.6847897,4.755949,23.494852,40.124924,25.878304
6,214.35468,40.986206,218.06444,37.416946,33.62854,38.20109,1.405468,0.2693408,1.1992441,3.667158,1.2392895,4.036093,24.12013,42.039062,25.326748
7,224.77547,80.67535,229.7584,35.394867,21.622408,32.530663,3.4407763,1.8321806,3.2002,4.9491777,3.2902565,4.9571238,23.819818,39.40258,26.341904
8,216.7718,72.57317,220.20241,35.536064,24.177618,33.753544,2.595185,0.15646787,2.855402,4.1124887,1.9607774,4.401635,23.800718,40.54409,25.676325
9,223.05804,66.72575,197.0074,35.707863,26.741089,39.677883,4.1873446,0.30270702,4.4896135,4.1143026,1.7695718,4.4486537,23.318798,44.91892,23.828754
10,229.76353,67.769165,214.1233,38.187737,22.330654,35.069996,1.3470151,1.1409724,3.2056875,3.6442652,2.4591155,4.8174047,24.014055,41.402374,25.277426
11,209.21768,63.2179,232.14375,36.878952,23.555817,37.448715,3.4724612,0.9062826,0.15271801,3.9520223,1.7083908,4.136806,23.508566,40.682327,24.837763
12,222.8137,78.35874,213.43576,34.73664,23.509607,35.18754,2.2525558,0.9394907,4.3960724,4.6947784,2.3408172,4.7273045,23.548325,41.74003,25.705322
13,209.30746,57.80166,242.56404,35.338707,35.42789,33.67013,4.694645,0.15211284,2.3788314,4.5256333,1.651689,4.2290306,23.746454,37.600754,24.199852
14,229.89459,64.08478,224.40569,36.17272,29.33757,37.78727,2.0664353,0.007258934,1.5378299,4.2129445,1.3637787,3.5988588,24.385963,35.60209,25.685291
15,211.13118,72.35883,220.52138,37.161453,21.842316,39.082863,3.6749854,0.8392518,1.7563695,3.6810393,2.0660853,4.056533,24.223713,42.66767,26.325764
16,243.18022,71.13396,188.2083,35.192436,21.272285,37.13719,2.7524912,0.8610203,4.973232,4.9450407,2.2038875,4.7899847,23.588764,41.697483,24.621977
17,246.10478,50.928875,202.13928,35.69288,35.554337,35.794743,2.201679,0.0038213271,4.2463617,4.8673205,1.5349166,4.2303915,23.381569,39.939014,24.943264
18,222.87108,72.32951,231.14952,38.5192,21.40413,35.708496,2.6170745,1.9803737,2.2852042,3.6658456,3.066616,4.8118134,23.245039,39.08776,24.738825
19,207.22249,68.542015,192.68591,37.528473,26.60781,39.55294,4.234322,0.9479027,4.6303096,3.4364724,2.2816825,4.814256,24.00812,46.22055,25.4677
20,206.98499,62.7769,230.20349,38.82109,25.644543,36.314247,1.9918363,1.5022229,1.6164603,3.7771647,1.9106512,4.718154,24.017319,37.173904,25.340696
21,242.93025,53.467884,221.11539,37.28583,37.768166,34.449486,2.568538,0.07621945,4.0030365,4.238804,1.5471694,4.592988,23.047241,37.352947,25.02027
22,193.03606,76.330505,221.21631,39.98249,25.381142,38.751602,4.23638,1.1521043,1.525255,2.8834343,2.4815269,4.240654,23.563337,39.35247,25.299198
23,213.9726,99.303024,207.48126,37.588707,23.070654,38.75504,2.5667093,0.94554275,3.9917266,3.6379335,2.5252051,4.5592604,24.109943,42.61215,24.965372
24,234.89084,76.56624,232.62169,35.642586,21.422815,33.724907,3.4792318,1.1373434,3.1884825,4.8175335,2.4129336,4.5559926,23.86139,36.509647,24.708023
25,206.72467,77.817825,200.667,38.579792,25.211231,37.233093,4.2038054,1.5876769,4.6723356,3.4243865,3.5006335,4.9175234,23.277925,37.163883,25.533377
26,238.44612,59.041115,237.81815,35.880432,30.637955,29.144127,1.0852454,0.23740344,2.0705757,4.367817,1.6322808,4.7843943,23.476019,38.393417,25.152597
27,230.24419,55.320347,229.034,35.878857,36.840477,35.09453,3.9575734,0.94085443,2.1387591,4.597169,1.5638893,4.386282,23.718868,42.928764,24.55375
28,229.03745,56.652527,194.12796,34.768833,33.43454,37.505386,3.3443136,0.35689336,4.0445514,4.857916,1.9094245,4.775896,23.217104,39.750027,25.634466
29,220.82034,53.38503,190.50833,32.937305,30.490234,38.81901,3.343991,0.4703428,3.5962906,4.2910576,2.1363053,4.1567,24.267048,38.040756,24.569063
30,220.76077,58.59232,220.97731,35.645126,30.646248,35.502724,2.0133395,0.3270765,1.3891585,4.154865,1.8147202,4.0501537,23.107777,34.697308,25.588589
31,231.23865,82.61991,208.70222,33.39818,21.630432,39.509094,4.4117837,0.58299255,2.7189043,4.7556653,2.0193117,4.209194,23.752285,41.815277,25.085102
32,215.56065,55.8271,230.67447,36.38031,33.157993,33.58457,4.004028,0.5510236,1.8079255,4.214733,1.1772308,4.6492105,24.025053,45.09861,24.628199
33,247.40817,54.4737,212.05942,38.5126,38.51091,37.259705,0.444711,1.0276985,3.5768018,4.119839,1.8325181,4.624386,24.419949,35.292606,25.756435
34,227.16815,69.724915,216.00179,39.1875,25.446619,38.747295,3.3688047,1.3582224,2.2385426,3.8745797,2.161797,4.169799,23.09727,42.48013,25.377253
35,237.9625,82.5945,197.51332,34.985622,21.298277,39.21747,2.778971,1.0347452,3.0030384,4.83375,2.7368903,4.1056166,24.0313,38.71606,24.837723
36,248.01466,59.05095,240.744,37.836227,25.62858,36.542145,1.8584353,0.6492127,0.7337555,4.6887164,1.7901535,4.0810328,23.765118,40.64781,25.262537
37,244.8378,65.58683,210.62352,37.309143,25.831688,35.15094,0.3676355,0.2790603,2.524273,4.5487895,1.6843004,4.8442016,22.940353,37.01345,25.16182
38,224.66306,61.190094,191.73344,36.869987,31.28088,38.454666,3.8392797,0.22573695,4.831571,4.163844,1.4711089,4.6673555,23.878761,38.387867,25.417421
39,218.09932,75.28881,194.45949,34.105457,23.277443,35.535133,4.1725097,0.41565818,4.64956,4.7718773,2.362102,4.8705893,23.715464,47.297382,25.640564
