,k1,k2,k3,a1,a2,a3
0,234.45752,58.102215,224.35135,37.31069,31.865856,36.664097
1,233.07082,57.40577,222.57547,37.192863,32.475082,36.871346
2,235.00769,59.94185,217.74678,37.314304,30.990288,37.11735
3,238.7674,56.363167,220.97249,37.109123,33.650692,37.980553
4,237.93039,59.920933,220.464,37.41947,31.018854,37.310566
5,234.41216,62.34445,225.00131,37.206657,30.755375,36.665432
6,238.21469,55.96105,222.61053,37.203003,32.82572,37.24328
7,237.0676,56.391144,220.55139,37.04657,33.469604,37.336006
8,229.74536,60.754894,221.7741,37.433437,30.156572,36.863
9,235.21997,58.228046,219.9673,37.053352,31.839216,37.08887
10,232.26588,56.675278,223.0767,37.21968,32.405636,36.689774
11,236.801,62.63791,221.29672,37.09277,29.098133,37.613174
12,237.93587,58.032368,221.71281,37.026657,31.607176,36.991196
13,238.16414,61.17288,222.6287,37.248543,30.567307,37.31711
14,236.51355,59.977303,222.47327,37.46604,31.609045,36.898396
15,236.41563,57.002247,218.80331,37.20114,31.715279,37.813946
16,234.41206,59.47288,223.56418,37.299244,31.066378,36.841747
17,238.98412,62.935028,222.07362,37.37197,29.134268,37.83619
18,235.88841,60.675503,226.79561,37.16086,31.366852,36.89099
19,236.72995,58.73048,220.42545,37.17218,30.979315,37.318497
20,238.4377,60.40521,221.43283,37.234394,31.37687,37.662193
21,237.77075,61.69377,223.2726,37.36029,29.88985,37.17175
22,237.1393,57.362885,223.68402,37.231377,32.56055,37.241425
23,234.41786,58.508976,219.63422,37.193558,31.514055,37.479095
24,236.82425,57.995678,226.55463,37.204643,31.994488,36.619347
25,235.75923,58.95746,222.71759,37.17833,31.338219,37.373543
26,237.26485,60.85052,222.91388,37.2768,31.33337,37.235428
27,236.82957,58.05552,224.08125,36.950188,31.615442,36.97556
28,236.72415,58.906036,224.29805,37.28665,32.158806,37.09207
29,234.52545,58.07641,219.07417,37.438004,31.89206,37.56333
30,240.0379,59.95983,225.10275,36.84658,32.182755,37.34455
31,237.03996,57.054028,223.09982,36.93853,33.354053,37.35412
32,235.4383,60.611618,222.51024,37.09298,31.655739,37.194775
33,238.18466,60.866985,222.98352,37.15124,30.600315,37.26482
34,239.4109,59.80994,223.65674,37.106842,31.335312,36.98574
35,235.27124,64.05496,220.98322,37.18004,29.328535,36.941032
36,238.65822,62.670177,222.63692,37.12732,30.317505,37.358284
37,235.71815,60.78272,224.58778,37.044273,30.862228,36.550777
38,235.52888,61.279373,219.57869,37.226242,29.807636,37.373405
39,235.25815,57.87902,221.36784,37.340927,32.367523,37.227146
40,235.16519,56.29181,221.67122,37.329926,32.696556,37.434654
41,232.74333,57.940723,221.22755,37.210552,31.50745,37.079746
42,234.30591,58.67115,221.31746,37.36255,31.861425,37.091957
43,238.38211,61.42935,223.70735,36.979454,30.422714,37.5347
44,237.79253,61.064793,224.38895,37.315765,31.109806,37.10704
45,239.01434,58.84068,222.77197,36.932156,31.666954,37.40065
46,235.90042,61.99683,223.69223,37.203163,29.748955,37.271515
47,238.09164,62.945225,223.83968,37.11413,29.774609,37.176403
48,235.63553,59.827473,220.08012,37.210175,31.10243,37.253784
49,236.25266,61.636612,223.21616,37.16593,29.85314,37.137276
50,234.90652,60.639187,224.00032,37.099586,30.957516,37.24224
