,k1,k2
0,247.72943,244.85617
1,249.30843,245.42525
2,248.00267,244.62361
3,249.91367,245.7292
4,249.84512,245.44992
5,249.25146,245.16241
6,249.38947,245.65784
7,247.64522,244.50626
8,249.80963,246.40576
9,249.95589,245.82387
10,245.74959,243.34924
11,248.73119,245.49278
12,248.75258,244.89761
13,249.63855,245.8986
14,249.08775,245.99434
15,247.72243,244.5608
16,249.71292,245.52414
17,247.54887,244.73592
18,249.18285,245.54567
19,247.87602,244.73346
20,249.47612,245.94598
21,248.84668,245.13242
22,247.58098,244.3241
23,249.24469,245.76537
24,248.9314,245.27428
25,245.40239,243.13954
26,245.62817,243.59215
27,249.01678,245.50081
28,248.84978,245.28075
29,249.82521,245.84654
30,248.77116,244.69547
31,247.83775,244.18948
32,249.40593,245.57115
33,248.68071,245.23244
34,249.52525,245.23659
35,249.93541,246.02481
36,249.88904,245.9196
37,247.55457,244.88467
38,247.56299,244.85692
39,248.74022,244.40411
40,249.91779,245.77855
41,248.21652,245.56798
42,247.89658,244.79713
43,249.77892,245.70294
44,248.26794,244.78862
45,249.41722,245.7895
46,248.33412,245.27774
47,249.73392,245.55315
48,247.76854,244.57568
49,248.60022,244.96231
50,246.46483,243.59819
51,249.65033,246.10962
52,247.80296,244.3916
53,248.97678,245.96689
54,247.25018,244.28055
55,246.52898,244.6158
56,248.32484,245.27559
57,248.0537,245.10649
58,248.81859,245.83614
59,247.61694,244.86314
60,249.00537,245.57867
61,247.8446,244.2685
62,245.45721,243.67238
63,249.63092,245.87497
64,249.27899,245.14165
65,249.95264,245.75107
66,249.91426,245.74838
67,247.27495,243.96516
68,247.42253,244.40096
69,248.13606,244.42693
70,246.55154,244.25562
71,249.65579,245.74841
72,248.08827,244.68506
73,249.6055,245.34999
74,249.2381,245.62206
75,249.49829,245.26747
76,246.15594,243.82709
77,249.70139,245.81842
78,248.00183,244.97652
79,248.78458,245.09552
80,245.12524,243.65518
81,248.01231,244.41763
82,248.86534,245.41545
83,249.44743,245.68752
84,247.60316,244.79808
85,248.95154,245.08324
86,247.12404,244.69745
87,245.43883,243.7705
88,249.14316,245.3498
89,248.92563,245.34457
90,249.4209,245.8017
91,245.52336,243.44533
92,248.62624,244.99588
93,248.84564,244.63115
94,249.42278,245.5006
95,246.69626,244.66148
96,248.55385,245.40074
97,247.58224,244.59058
98,249.11969,245.5482
99,249.89732,246.02444
100,246.93213,244.0999
101,246.40408,243.69693
102,249.25195,245.44923
103,249.59479,245.43687
104,245.2698,242.95128
105,248.97522,245.44923
106,247.84918,244.01344
107,246.7003,244.26169
108,248.7833,244.83069
109,249.11478,245.70338
110,248.18788,244.45184
111,249.91129,246.31494
112,249.81877,245.6941
113,249.44746,245.52014
114,249.12816,245.50742
115,249.91235,245.60986
116,249.7801,245.53107
117,249.64171,245.62761
118,249.62158,245.49811
119,247.0834,244.02296
120,247.12334,244.5187
121,249.63547,245.21829
122,247.74664,244.94449
123,249.83304,246.1141
124,249.1993,245.62062
125,249.04301,245.23024
126,249.68834,245.5857
127,248.28157,245.0791
128,249.16669,244.88731
129,248.40535,245.65262
130,244.70401,242.54494
131,247.16444,244.46222
132,249.54324,245.43762
133,247.67429,244.38062
134,248.0189,245.02872
135,249.5018,245.69911
136,248.36426,245.22232
137,249.89613,245.32803
138,241.00389,240.64009
139,249.05144,245.2316
140,249.79018,245.34866
141,247.73157,244.77345
142,249.82474,246.19365
143,249.26634,245.47261
144,248.01874,244.9417
145,249.06578,245.15775
146,248.02145,245.08386
147,248.81396,245.28958
148,248.20084,245.54285
149,249.4008,245.51724
150,249.35463,245.23271
151,245.69615,243.48766
152,249.97661,245.36208
153,249.45937,245.22046
154,249.93839,245.77005
155,249.04443,245.20479
156,249.66031,245.81358
157,248.6065,245.60062
158,246.44302,243.67757
159,249.17377,245.49301
160,249.8213,245.89705
161,248.996,244.92343
162,247.44691,244.13286
163,249.55907,245.89172
164,249.31046,245.00217
165,248.11461,245.04002
166,249.4632,245.59814
167,249.4174,245.52327
168,249.90509,246.24855
169,247.92216,245.0397
170,247.37415,244.69174
171,244.76236,243.16542
172,248.9827,245.77641
173,247.19463,244.4846
174,249.90443,245.89465
175,249.40979,245.46587
176,248.77742,245.50307
177,249.02754,245.06917
178,248.96223,245.5068
179,249.91188,246.01701
180,249.81247,245.63606
181,245.93042,244.1232
182,249.1841,245.14694
183,249.76817,246.17448
184,247.00125,244.41261
185,248.60875,245.5308
186,248.77748,245.11891
187,249.70567,245.7305
188,247.61186,244.66049
189,249.44408,245.43651
190,246.16255,243.765
191,247.5039,244.4941
192,249.35237,245.82425
193,247.73695,243.89792
194,244.40498,242.35927
195,247.10732,244.77802
196,249.64166,245.76054
197,245.2576,243.51054
198,248.60117,245.52866
199,249.69633,245.71843
200,248.25075,244.84094
201,249.48938,245.89879
202,248.98143,245.79521
203,249.31218,245.65933
204,249.2907,245.24883
205,247.61192,244.43463
206,249.58182,246.174
207,247.73125,244.58951
208,249.88417,245.49167
209,247.34412,244.36757
210,249.56926,245.80106
211,249.10078,245.82512
212,249.38905,245.79172
213,246.7996,244.34764
214,249.79086,245.03406
215,249.9848,246.04764
216,249.30225,245.86359
217,249.54659,245.65955
218,249.19926,245.85353
219,246.97589,243.84209
220,247.21707,244.41542
221,248.30574,244.9257
222,248.06094,244.9758
223,248.6601,245.2699
224,245.28752,243.58018
225,246.95743,244.64322
226,246.65147,243.53685
227,249.91605,245.97188
228,248.59712,245.24977
229,249.75595,245.34015
230,247.60703,243.97166
231,249.53621,246.00424
232,247.40195,244.27757
233,248.67636,245.33333
234,248.8199,244.56197
235,247.37744,244.40514
236,248.77562,245.15376
237,248.53731,245.29787
238,247.4311,244.59094
239,248.8406,245.5428
240,248.08147,244.43472
241,249.34657,245.92265
242,249.71194,245.4273
243,248.99687,245.28308
244,248.51453,245.34879
245,248.88297,245.26672
246,246.73373,244.26056
247,247.85782,244.70366
248,248.77052,245.35298
249,248.65947,244.93425
250,247.52942,244.84274
251,248.13664,244.31795
252,248.81157,245.04471
253,248.98674,244.98059
254,249.30746,245.23088
255,248.72606,245.52242
256,249.3439,245.60666
257,244.7268,243.33952
258,247.96492,244.68909
259,249.7211,245.62573
260,248.70311,244.99454
261,248.09372,244.94046
262,249.86699,245.44165
263,247.70203,244.9414
264,249.2798,245.70613
265,247.39612,244.16267
266,247.70454,244.5255
267,249.49115,245.71431
268,249.19496,245.41208
269,249.32347,245.5268
270,248.53111,244.8948
271,249.85559,245.87164
272,248.11037,245.09071
273,248.1275,244.25464
274,249.2727,245.30531
275,248.88022,244.8547
276,248.92809,245.40787
277,249.90541,246.22511
278,249.61894,245.55145
279,248.01385,244.4647
280,249.83049,245.58537
281,243.35936,241.60735
282,248.34877,244.5292
283,249.16159,245.0105
284,248.70016,244.88779
285,247.80783,244.7119
286,245.62143,243.4748
287,249.881,246.33875
288,249.7352,245.25797
289,248.5829,245.1554
290,249.79665,245.9553
291,249.84929,245.65002
292,242.67726,241.64607
293,248.31818,244.78296
294,249.31346,245.72498
295,249.61075,246.05232
296,248.85042,245.27753
297,249.61108,245.65591
298,246.81949,244.20325
299,248.74777,245.29466
300,249.32574,245.16098
301,249.64777,245.53468
302,249.45671,245.38777
303,249.2298,245.76988
304,249.96898,245.5959
305,248.1888,245.00745
306,248.84605,245.38306
307,248.06863,244.97098
308,249.26283,245.44331
309,247.65668,244.56511
310,244.66788,242.71869
311,247.7249,244.52501
312,249.87614,245.32468
313,244.44128,243.08842
314,247.14214,244.67824
315,245.52779,243.32129
316,249.35445,245.75284
317,248.44585,244.69936
318,248.5101,245.32837
319,249.8732,245.54544
320,247.4225,244.79985
321,249.25851,245.55801
322,245.71976,243.08362
323,243.82077,242.29716
324,247.96033,244.83818
325,245.09668,243.04799
326,248.75494,244.9372
327,245.82799,243.29991
328,249.0329,245.05812
329,248.01518,245.33592
330,249.29028,245.89583
331,249.11765,245.12804
332,249.81671,245.38878
333,247.70175,244.84033
334,248.50432,245.35915
335,247.31015,244.28224
336,248.31732,244.60747
337,245.42964,242.99815
338,249.41061,245.29216
339,244.9414,243.13922
340,245.24416,243.3682
341,249.25325,245.3685
342,249.55167,246.18228
343,246.65826,243.58723
344,248.8169,244.9607
345,243.71632,243.07663
346,249.36702,245.80399
347,249.16911,245.76501
348,248.1875,245.29384
349,248.97318,245.15642
350,248.52551,245.05978
351,249.31067,245.77553
352,246.87483,243.55916
353,245.99207,243.06729
354,248.90111,245.51526
355,246.03696,243.77951
356,247.60902,244.5408
357,246.494,243.9753
358,247.80733,245.05028
359,249.81157,245.64478
360,248.9631,245.44691
361,248.2233,244.48717
362,245.668,243.56938
363,249.92659,245.9229
364,249.21265,245.43822
365,243.61182,242.11124
