,k1,k2,k3
0,39.11507,193.12682,51.69403
1,46.423325,192.29268,51.632404
2,48.873817,191.90546,51.029236
3,39.899185,193.14487,52.318966
4,41.70479,192.94449,51.957455
5,48.212696,192.39929,51.341385
6,40.687943,192.8385,52.178074
7,42.16538,193.54979,51.055656
8,39.56649,193.66838,52.076855
9,42.44992,192.85269,52.38267
10,40.580276,192.98862,52.162994
11,36.269836,194.11247,52.78981
12,37.826637,193.6991,52.930023
13,42.694767,192.87485,51.923084
14,39.3274,192.85916,52.449944
15,35.9445,193.23558,53.058002
16,47.764187,191.6064,51.329563
17,35.91375,193.75104,52.82804
18,41.529297,193.2771,51.853687
19,43.703426,193.2929,51.815613
20,37.633667,193.67513,52.679848
21,41.642082,192.26743,51.68476
22,42.45651,192.846,51.813644
23,41.9222,193.31648,51.60103
24,37.90491,193.38034,52.752163
25,41.23223,193.08246,51.952938
26,40.977238,193.66159,52.258244
27,40.73598,193.15771,52.186188
28,36.96749,193.81203,52.46078
29,42.992214,192.74846,51.860428
30,39.01317,193.33795,52.11405
31,44.11253,193.11996,51.302555
32,44.19488,192.85089,52.05256
33,35.460407,193.56331,52.787636
34,35.000343,193.67859,52.87188
35,40.9526,192.78304,52.190765
36,42.467506,193.05188,51.391994
37,38.20397,192.4108,52.289467
38,42.47479,192.69917,52.0958
39,41.07067,193.55728,51.973026
40,43.425907,193.1029,51.95995
41,41.022118,193.0798,52.05313
42,44.261284,192.84038,52.194786
43,40.47427,193.47096,52.205498
44,37.537804,194.27785,52.55091
45,41.53999,192.96039,52.290024
46,36.339184,193.73546,52.22003
47,37.054195,193.83409,52.512432
48,39.38987,193.58604,52.957577
49,41.41071,192.67155,52.518185
50,40.862267,193.25896,52.15013
51,41.11894,192.73155,52.260513
52,43.773632,192.66757,52.226044
53,42.6147,192.517,51.83947
54,38.515316,193.05968,52.134964
55,41.291008,192.97021,51.99664
56,42.305687,193.07411,51.709354
57,40.916313,193.06265,52.23002
58,40.013374,192.7236,52.326252
59,42.935764,193.07867,51.182495
60,38.00535,194.14084,52.335
61,37.994034,193.208,52.658836
62,39.237747,193.16798,52.6536
63,45.54834,192.22693,51.560528
64,45.10164,192.54527,51.448315
65,39.7565,192.8733,52.771675
66,42.76176,193.28795,52.531803
67,43.777576,193.16661,51.90853
68,44.08368,192.261,51.948315
69,41.097706,193.1689,51.89643
70,38.14114,193.63383,52.848175
71,47.39708,192.15881,51.546253
72,44.458393,192.70291,51.317825
73,47.536434,192.28564,51.053463
74,36.226265,193.43924,52.730907
75,34.096592,193.72055,52.681545
76,38.972977,193.58218,51.950672
77,40.33072,193.06474,51.60546
78,41.20734,193.33186,51.698322
79,38.03272,193.75708,52.2236
80,45.86575,192.59761,51.053326
81,40.830593,193.01878,51.836346
82,41.267036,193.11555,51.73739
83,39.88934,193.46852,51.898705
84,38.550205,193.68483,52.262535
85,39.239223,193.45807,52.343407
86,43.209194,192.8709,52.16353
87,42.605247,192.95062,52.068333
88,37.80412,193.33755,52.265533
89,48.57449,191.90327,51.4176
90,37.996685,193.44127,52.05867
91,42.656727,192.53397,51.606026
92,42.450035,192.49069,52.537476
93,42.282104,193.05582,52.45825
94,39.95879,193.026,51.864635
95,44.79452,193.22195,51.537647
96,36.744884,193.45255,52.109413
97,42.117134,193.12833,52.174118
98,37.23858,193.85075,52.35615
99,42.865734,192.73666,51.708744
100,37.759747,193.45644,52.33778
101,44.779102,192.61694,51.348026
102,41.992683,192.84103,51.32438
103,41.21313,192.93086,52.616196
104,39.899555,193.22159,52.580013
105,41.466278,193.07336,51.79751
106,44.681103,193.07843,51.426765
107,41.159023,193.6942,51.97054
108,41.38327,193.3394,51.63986
109,39.89889,192.97733,52.227764
110,41.82383,193.16418,52.032486
111,41.304626,193.52934,51.81982
112,40.748913,193.01079,51.43563
113,41.082584,192.79478,51.8406
114,37.544857,193.83781,52.408585
115,37.34864,193.05489,52.130516
116,40.586906,193.29095,52.252235
117,41.210632,193.23529,51.968147
118,43.34225,192.73705,52.3027
119,37.793972,193.77687,52.87857
120,39.18646,193.34303,52.400715
121,39.93688,193.12378,51.728714
122,41.594368,193.45592,52.028824
123,38.81826,192.87616,52.603054
124,43.691944,192.55905,52.169678
125,42.885963,192.58626,52.01699
126,40.849926,193.02298,52.295555
127,38.618546,193.11905,52.185562
128,39.58697,193.14076,52.836823
129,38.07445,193.43219,52.484013
130,44.72848,192.6389,51.192406
131,41.676422,193.42853,52.177162
132,41.563473,193.30928,51.635315
