,k1,k2,k3
0,46.81152,185.10591,53.809074
1,231.7476,166.09946,65.03779
2,87.97238,170.28812,62.1564
3,72.684494,173.87416,60.815468
4,156.70251,157.15094,64.212494
5,199.14543,154.91385,64.085556
6,87.52303,166.72937,62.900608
7,70.45726,172.68253,58.40213
8,173.2923,153.9091,63.08872
9,196.74251,151.90413,65.49551
10,212.24889,158.20172,62.81545
11,104.83375,164.14677,63.885944
12,68.60574,176.60495,61.37736
13,18.560474,191.11882,41.64005
14,83.45798,167.84726,59.407856
15,152.97325,157.2881,62.182354
16,106.16446,164.14934,62.71107
17,210.95627,157.62558,64.221634
18,166.24887,154.78593,64.165146
19,161.15791,155.7944,62.395657
20,104.11455,164.52632,62.657227
21,122.092926,159.10744,64.69644
22,222.80794,160.08185,61.63849
23,92.89028,166.63515,63.37896
24,155.55186,156.30772,66.91264
25,134.56705,160.37247,62.318935
26,155.62927,155.00941,64.09502
27,58.907978,176.1502,53.630894
28,87.43812,171.27284,63.521633
29,88.72714,169.52681,60.962337
30,27.636438,189.78247,52.636837
31,89.74535,169.3018,62.11579
32,98.802704,168.16818,65.67561
33,50.66553,179.22876,54.152298
34,39.782658,188.54826,55.764145
35,69.82841,177.30635,57.732452
36,45.35953,181.01862,54.841373
37,73.23888,175.60258,59.00174
38,127.454155,160.10896,61.521133
39,4.9807596,199.44284,37.49955
40,41.309387,188.08928,49.629757
41,140.9782,157.12015,63.730434
42,169.47409,154.99963,63.96168
43,120.00119,161.48485,63.338943
44,80.64309,169.96225,61.91737
45,64.91,177.2998,57.964382
46,38.77484,189.65535,54.046482
47,71.968025,175.77487,61.40894
48,208.34073,154.13113,65.70861
49,199.29646,158.4669,65.82532
50,105.71827,164.94287,62.843285
51,57.863705,179.96832,57.73475
52,155.43309,157.04791,64.902115
53,157.96188,154.89107,65.34378
54,117.71976,164.01465,62.73234
55,218.40178,156.76712,65.21196
56,161.18758,154.80927,63.728348
57,162.07788,155.95964,62.025196
58,166.56073,156.68677,65.09884
59,123.7265,159.54543,60.687473
60,116.335464,163.11684,65.397934
61,127.49425,160.77997,61.85527
62,107.25568,164.0576,61.19222
63,27.669006,192.26665,47.03549
64,71.71328,174.81055,61.385925
65,38.515003,185.93546,54.65619
66,48.37607,184.7977,56.478546
67,18.097473,199.58498,46.042534
68,12.873391,201.54276,43.96817
69,17.386938,197.2144,43.33381
70,2.3691688,205.09651,43.67272
71,14.991634,196.57367,43.541454
72,21.442677,193.71657,44.447266
73,24.284435,193.22299,47.27339
74,146.9086,157.29524,64.31645
75,210.08063,154.618,63.515167
76,238.98436,159.10223,68.10143
77,180.65346,152.65051,64.029854
78,168.62001,155.46892,65.06351
79,218.54948,160.89256,64.280014
80,146.51149,155.91374,65.157745
81,145.01605,157.55435,65.59586
82,209.35474,154.57532,66.0955
83,111.01951,163.10127,63.75577
84,185.17284,156.56314,63.49645
85,130.77417,159.8675,63.245525
86,200.36353,153.44473,64.676384
87,236.53387,165.329,64.84388
88,103.829865,164.55623,60.903973
89,155.39227,156.14282,63.916332
90,156.81015,158.34668,65.1543
91,144.11346,154.29027,63.539574
92,115.60728,162.19382,63.001953
93,89.075195,167.48978,60.8057
94,53.67731,183.73396,57.931442
95,76.5253,174.09724,59.13252
96,100.20887,169.42738,59.977333
97,72.87722,175.13354,61.95088
98,57.13695,177.06627,57.890366
99,81.22474,171.74574,62.344303
100,87.290535,169.25693,63.724174
101,105.656685,165.08546,61.9704
102,38.030254,186.4503,51.1219
103,9.781746,196.69615,44.329624
104,49.43346,184.96313,55.15928
105,15.30712,201.13266,45.52299
106,54.93499,182.78722,57.18063
107,10.134227,205.51244,43.04448
108,139.61119,160.54967,64.185135
109,167.72052,154.57835,61.906143
110,204.146,159.02399,62.61941
111,69.97998,175.07999,60.022167
112,56.6197,181.38196,58.919743
113,112.52561,164.5742,63.271854
114,150.33356,155.63261,64.56958
115,99.4901,167.12842,60.489216
116,102.96903,165.08928,62.56226
117,173.66655,155.09193,65.5733
118,216.42317,157.15475,65.20196
119,164.70718,156.48323,64.09531
120,220.81406,156.75722,66.3483
121,243.57953,162.41512,64.30744
122,156.15479,155.48404,63.951073
